Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation
385;243;3;243;R-P24025;V37;V32;Ruderal;V37;0;NA;NA;NA;;S;30;4;NA;-6.826785866;42.34573582;3 - UTM10x10 + Elevation;580
833;244;3;244;R-P24026;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;3;NA;-6.855305085;42.37539332;1 - UTM1x1 + Elevation;660
2140;245;5;245;R-P24027;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;4;NA;-6.798943615;42.32685361;3 - UTM10x10 + Elevation;1000
2126;246;5;246;R-P24028;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;5;NA;-6.797320285;42.29989455;3 - UTM10x10 + Elevation;1000
314;247;3;247;R-P24029;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;2;NA;-6.787157083;42.33264664;3 - UTM10x10 + Elevation;990
336;248;3;248;R-P24030;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;20;NA;-6.857728847;42.37531167;3 - UTM10x10 + Elevation;680
323;249;3;249;R-P24031;V37;V32;Ruderal;V37;0;NA;NA;NA;;NW;20;10;NA;-7.048942545;42.36510634;3 - UTM10x10 + Elevation;960
337;250;3;250;R-P24032;V37;V32;Ruderal;V37;0;NA;NA;NA;;SE;60;2;NA;-7.023439688;42.38401365;3 - UTM10x10 + Elevation;960
359;251;3;251;R-P24033;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;2;NA;-6.803679291;42.32489553;3 - UTM10x10 + Elevation;1000
322;252;3;252;R-P24034;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;1;NA;-6.805775828;42.3194233;3 - UTM10x10 + Elevation;1000
373;253;3;253;R-P24035;V37;V32;Ruderal;V37;0;NA;NA;NA;;;NA;2;NA;-6.776178187;42.39243749;3 - UTM10x10 + Elevation;1250
315;254;3;254;R-P24040;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;NA;15;1986;-6.826418776;42.41958264;3 - UTM10x10 + Elevation;350
988;255;3;255;R-P24041;V37;V33;Ruderal;V39;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;NA;15;1986;-6.871727466;42.40545324;3 - UTM10x10 + Elevation;350
434;256;3;256;R-P24042;V37;V33;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;S;15;10;1986;-6.859602957;42.40586269;3 - UTM10x10 + Elevation;350
440;257;3;257;R-P24045;V37;V33;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;NA;10;1986;-6.849793121;42.40439221;3 - UTM10x10 + Elevation;350
409;258;3;258;R-P24046;V38;V38;Ruderal;V37;6;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;S;10;4;1986;-6.80201604;42.33755677;3 - UTM10x10 + Elevation;880
318;259;3;259;R-P24047;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;;NA;4;1986;-6.815516372;42.40013733;3 - UTM10x10 + Elevation;680
345;260;3;260;R-P24048;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;S;20;2;1986;-6.809750844;42.30488424;3 - UTM10x10 + Elevation;900
313;261;3;261;R-P24049;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Bromo diandri-Carduetum tenuiflori;W;10;3;1986;-6.797320285;42.29989455;3 - UTM10x10 + Elevation;1000
2087;1217;5;1217;R-P24336;V15;V15;Weed;V15B;0;Bidentetea;Bidentetalia;Bidention tripartitae;Bidenti tripartitae-Polygonetum lapathifolii;;NA;10;2012;-6.665383717;42.3672244;1 - UTM1x1 + Elevation;948
175;2214;1;2214;R-P24468;U37;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;NW;100;8;2012;-6.815273097;42.43616221;1 - UTM1x1 + Elevation;376
608;2215;3;2215;R-P24469;V39;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;W;90;10;2012;-6.812628673;42.43264865;1 - UTM1x1 + Elevation;376
1103;2216;3;2216;R-P24470;V39;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;S;100;30;2012;-6.663168896;42.37089703;1 - UTM1x1 + Elevation;940
27;2217;1;2217;R-P24471;U37;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;S;90;20;2012;-6.714726725;42.42146086;1 - UTM1x1 + Elevation;470
2221;2218;5;2218;R-P24472;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;100;4;2012;-6.628567767;42.40261375;1 - UTM1x1 + Elevation;876
1086;2219;3;2219;R-P24473;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;SW;100;6;2012;-6.700276782;42.4237297;1 - UTM1x1 + Elevation;522
25;2220;1;2220;R-P24474;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;SW;100;4;2012;-6.695318936;42.42208899;1 - UTM1x1 + Elevation;477
887;262;3;262;R-P24572;V39;R57;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Chenopodio boni-henrici-Senecionetum nebrodensis;SW;5;30;2012;-6.599197585;42.44128291;2 - UTM1x1 + Centroid;1840
212;263;2;263;R-P24573;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;NE;15;50;2012;-6.594293849;42.27042867;1 - UTM1x1 + Elevation;1000
218;264;2;264;R-P24574;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;40;2012;-6.589108695;42.3498309;2 - UTM1x1 + Centroid;730
237;265;2;265;R-P24575;V38;V37;Ruderal;V38;0;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;15;2012;-6.553448027;42.27710588;1 - UTM1x1 + Elevation;869
368;266;3;266;R-P24576;V38;V38;Ruderal;V39;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;W;3;8;2012;-6.817371617;42.43068973;1 - UTM1x1 + Elevation;366
1143;1883;4;1883;R-P24594;V35;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;;NA;20;2012;-6.792026305;42.41352377;1 - UTM1x1 + Elevation;395
1240;1884;4;1884;R-P24595;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;N;3;5;2012;-6.494715533;42.31132946;1 - UTM1x1 + Elevation;824
1265;1885;4;1885;R-P24596;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;N;3;5;2012;-6.710193216;42.42701045;1 - UTM1x1 + Elevation;489
1188;1886;4;1886;R-P24597;V35;V;Trampled;V35;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;;NA;5;2012;-6.539325868;42.28474679;1 - UTM1x1 + Elevation;868
1185;1887;4;1887;R-P24598;V35;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;;NA;10;2012;-6.673297363;42.33635588;1 - UTM1x1 + Elevation;920
1186;1888;4;1888;R-P24599;V35;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;;NA;3;2012;-6.505503574;42.33080983;2 - UTM1x1 + Centroid;941
1337;1889;4;1889;R-P24600;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;;NA;1;2012;-6.815298298;42.39654291;1 - UTM1x1 + Elevation;738
1351;1890;4;1890;R-P24601;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;;NA;4;2012;-6.661958878;42.26648438;1 - UTM1x1 + Elevation;1044
1271;1891;4;1891;R-P24602;V35;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;N;10;10;2012;-6.706388931;42.40372252;1 - UTM1x1 + Elevation;753
1151;1892;4;1892;R-P24603;V35;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;NE;3;5;2012;-6.54972355;42.34025315;1 - UTM1x1 + Elevation;1014
1189;1893;4;1893;R-P24604;V35;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;S;3;4;2012;-6.669707884;42.35808151;1 - UTM1x1 + Elevation;858
1360;1894;4;1894;R-P24605;V35;H26c;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;S;5;1;2012;-6.8092218;42.41655453;1 - UTM1x1 + Elevation;416
1241;1895;4;1895;R-P24606;V35;R1R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;SW;10;1;2012;-6.769658267;42.40525832;1 - UTM1x1 + Elevation;742
2044;1896;5;1896;R-P24607;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;5;2012;-6.811756281;42.418271;1 - UTM1x1 + Elevation;452
1629;1897;5;1897;R-P24608;V35;R1R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;S;3;1;2012;-6.620773945;42.3938561;1 - UTM1x1 + Elevation;1026
1361;1898;4;1898;R-P24609;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;NA;2012;-6.76577691;42.4215937;1 - UTM1x1 + Elevation;407
2094;1899;5;1899;R-P24610;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;S;3;5;2012;-6.773378052;42.42674593;1 - UTM1x1 + Elevation;439
1363;1900;4;1900;R-P24611;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;S;3;2;2012;-6.763566405;42.4252681;1 - UTM1x1 + Elevation;430
1362;1901;4;1901;R-P24612;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;S;3;1;2012;-6.763566405;42.4252681;1 - UTM1x1 + Elevation;463
1359;1902;4;1902;R-P24613;V34;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;2012;-6.78970925;42.41540135;1 - UTM1x1 + Elevation;395
1183;1903;4;1903;R-P24614;V34;V34;Trampled;V35;3;Digitario sanguinalis-Eragrostietea;Euphorbietalia prostratae;Euphorbion prostratae;Euphorbietum chamaesyco-prostratae;;NA;6;2012;-6.818573607;42.45045881;1 - UTM1x1 + Elevation;407
1305;1904;4;1904;R-P24615;V37;V;Trampled;V35;0;Digitario sanguinalis-Eragrostietea;Euphorbietalia prostratae;Euphorbion prostratae;Euphorbietum chamaesyco-prostratae;;NA;2;2012;-6.809411851;42.45976828;1 - UTM1x1 + Elevation;420
1647;1218;5;1218;R-P24616;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;N;3;3;2012;-6.489870938;42.31147718;1 - UTM1x1 + Elevation;892
1682;1219;5;1219;R-P24617;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;NW;20;10;2012;-6.640694864;42.40222875;1 - UTM1x1 + Elevation;693
1675;1220;5;1220;R-P24618;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;NW;20;2;2012;-6.63362637;42.40605506;1 - UTM1x1 + Elevation;699
1567;1221;5;1221;R-P24619;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;NE;5;15;2012;-6.587236569;42.27425173;1 - UTM1x1 + Elevation;1003
1630;1222;5;1222;R-P24620;V15;V15;Weed;V15A;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;W;15;40;2012;-6.821438029;42.45756654;1 - UTM1x1 + Elevation;540
1925;1223;5;1223;R-P24621;V15;V32;Weed;V15A;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;SW;15;50;2012;-6.804370815;42.41671586;1 - UTM1x1 + Elevation;470
1868;1224;5;1224;R-P24622;V15;V32;Weed;V15A;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;S;3;5;2012;-6.773378052;42.42674593;1 - UTM1x1 + Elevation;430
2103;1225;5;1225;R-P24623;V15;V32;Weed;V15A;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;SW;7;50;2012;-6.804262028;42.41491863;1 - UTM1x1 + Elevation;458
1872;1226;5;1226;R-P24624;V15;V15;Weed;V15A;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;W;20;6;2012;-6.674555103;42.35792606;1 - UTM1x1 + Elevation;960
1942;1227;5;1227;R-P24625;V15;V15;Weed;V15A;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;;NA;10;2012;-6.53447823;42.32811836;1 - UTM1x1 + Elevation;750
1944;1228;5;1228;R-P24626;V15;V15;Weed;V15A;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;NW;5;20;2012;-6.791484291;42.40453751;1 - UTM1x1 + Elevation;699
2038;1229;5;1229;R-P24627;V15;V32;Weed;V15A;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;;NA;7;2012;-6.79224318;42.41711828;1 - UTM1x1 + Elevation;379
1917;1230;5;1230;R-P24628;V15;V15;Weed;V15A;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;;NA;50;2012;-6.803001823;42.4743881;1 - UTM1x1 + Elevation;499
2046;1231;5;1231;R-P24629;V15;V15;Weed;V15A;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;;NA;7;2012;-6.5533469;42.2753081;1 - UTM1x1 + Elevation;860
2042;1232;5;1232;R-P24630;V15;V15;Weed;V15A;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;;NA;10;2012;-6.501782801;42.30751177;1 - UTM1x1 + Elevation;833
2139;1233;5;1233;R-P24631;V15;V15;Weed;V15A;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;;NA;3;2012;-6.815928343;42.44694537;1 - UTM1x1 + Elevation;402
792;1234;3;1234;R-P24632;V15;V15;Weed;V15A;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Holosteo umbellati-Veronicetum persicae;W;100;15;2012;-6.506327354;42.30196998;1 - UTM1x1 + Elevation;826
566;267;3;267;R-P24633;V37;V37;Ruderal;V37;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;80;2012;-6.828515861;42.41411;1 - UTM1x1 + Elevation;353
2081;1235;5;1235;R-P24634;V15;V37;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;5;2012;-6.630083344;42.26029547;1 - UTM1x1 + Elevation;1010
2033;1236;5;1236;R-P24635;V15;V;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;15;2012;-6.591327281;42.34615955;1 - UTM1x1 + Elevation;835
2032;1237;5;1237;R-P24636;V15;V15;Weed;V15B;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;15;2012;-6.593750648;42.34608353;1 - UTM1x1 + Elevation;860
2041;1238;5;1238;R-P24637;V15;V37;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;15;2012;-6.540030457;42.3405532;1 - UTM1x1 + Elevation;1074
2039;1239;5;1239;R-P24638;V15;V37;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;20;2012;-6.7084962;42.39825169;1 - UTM1x1 + Elevation;800
2040;1240;5;1240;R-P24639;V15;V15;Weed;V15B;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;SE;5;10;2012;-6.658216169;42.3692545;1 - UTM1x1 + Elevation;922
1986;1241;5;1241;R-P24640;V15;V37;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;20;2012;-6.712300785;42.42153955;1 - UTM1x1 + Elevation;470
2031;1242;5;1242;R-P24641;V15;V;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;30;2012;-6.815491472;42.4397566;1 - UTM1x1 + Elevation;376
1780;1243;5;1243;R-P24642;V15;V37;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;15;2012;-6.660640244;42.36917703;1 - UTM1x1 + Elevation;945
1736;1244;5;1244;R-P24643;V15;V37;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;10;2012;-6.665383717;42.3672244;1 - UTM1x1 + Elevation;948
2008;1245;5;1245;R-P24644;V15;V;Weed;V15B;0;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;20;2012;-6.744265633;42.42590455;2 - UTM1x1 + Centroid;422
2143;1246;5;1246;R-P24645;V15;V15;Weed;V15B;2;Digitario sanguinalis-Eragrostietea;Eragrostietalia;Spergulo arvensis-Erodion cicutariae;Setario verticillatae-Echinochloetum crus-galli;;NA;25;2012;-6.669323606;42.26804957;1 - UTM1x1 + Elevation;1054
2121;268;5;268;R-P24646;V37;R;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;5;2012;-6.58359246;42.25275488;1 - UTM1x1 + Elevation;1020
374;269;3;269;R-P24647;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;SW;5;6;2012;-6.553245783;42.27351033;1 - UTM1x1 + Elevation;891
425;270;3;270;R-P24648;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;40;2012;-6.455859282;42.31070755;1 - UTM1x1 + Elevation;1250
1006;271;3;271;R-P24649;V37;V37;Ruderal;V39;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;N;3;5;2012;-6.733813531;42.41543733;1 - UTM1x1 + Elevation;693
341;272;3;272;R-P24650;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;4;2012;-6.505303681;42.32721412;1 - UTM1x1 + Elevation;991
2125;273;5;273;R-P24651;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;2012;-6.828515861;42.41411;1 - UTM1x1 + Elevation;351
338;274;3;274;R-P24652;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;15;2012;-6.807093734;42.46164624;1 - UTM1x1 + Elevation;381
1437;275;4;275;R-P24653;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;SE;5;4;2012;-6.700382632;42.42552714;1 - UTM1x1 + Elevation;501
2113;276;5;276;R-P24654;V37;V32;Ruderal;V37;0;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;W;5;6;2012;-6.801401816;42.40781028;1 - UTM1x1 + Elevation;574
934;277;3;277;R-P24655;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;SW;NA;25;2012;-6.649650471;42.26327545;1 - UTM1x1 + Elevation;1020
661;278;3;278;R-P24656;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;N;NA;5;2012;-6.673297363;42.33635588;1 - UTM1x1 + Elevation;902
1131;279;3;279;R-P24657;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;N;15;10;2012;-6.677199256;42.32002271;1 - UTM1x1 + Elevation;1050
1084;280;3;280;R-P24658;V39;R55;Ruderal;V39;0;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;S;40;3;2012;-6.543966388;42.28100147;1 - UTM1x1 + Elevation;866
879;281;3;281;R-P24659;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;W;3;10;2012;-6.794126269;42.40805166;2 - UTM1x1 + Centroid;730
892;282;3;282;R-P24660;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;E;NA;6;2012;-6.787392057;42.41727889;1 - UTM1x1 + Elevation;403
883;283;3;283;R-P24661;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;NW;NA;10;2012;-6.789817624;42.41719861;1 - UTM1x1 + Elevation;397
1107;284;3;284;R-P24662;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;;60;30;2012;-6.69268168;42.41857237;1 - UTM1x1 + Elevation;474
962;285;3;285;R-P24663;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;;NA;8;2012;-6.727176107;42.42645875;1 - UTM1x1 + Elevation;435
942;286;3;286;R-P24664;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;;NA;3;2012;-6.628567767;42.40261375;1 - UTM1x1 + Elevation;906
933;287;3;287;R-P24665;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;;NA;3;2012;-6.727896352;42.39762161;1 - UTM1x1 + Elevation;951
1015;288;3;288;R-P24666;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;;5;7;2012;-6.7084962;42.39825169;1 - UTM1x1 + Elevation;797
882;289;3;289;R-P24667;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;;5;10;2012;-6.669707884;42.35808151;1 - UTM1x1 + Elevation;845
1066;290;3;290;R-P24668;V39;V39;Ruderal;V39;7;Epilobietea angustifolii;Galio-Alliarietalia;Geo urbani-Alliarion officinalis;Geranio robertiani-Caryolophetum sempervirentis;;NA;5;2012;-6.516097979;42.34669323;1 - UTM1x1 + Elevation;1200
