"Relevé number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
"503","R-P21304","Campanula lusitanica","Campanula lusitanica","+",1
"503","R-P21304","Chamaemelum mixtum","Cladanthus mixtus","1",5
"503","R-P21304","Crepis capillaris","Crepis capillaris","+",1
"503","R-P21304","Logfia minima","Filago minima","1",5
"503","R-P21304","Chrysanthemum segetum","Glebionis segetum","+",1
"503","R-P21304","Holcus mollis","Holcus mollis","2",15
"503","R-P21304","Jasione montana","Jasione montana","2",15
"503","R-P21304","Lupinus angustifolius","Lupinus angustifolius","1",5
"503","R-P21304","Molineriella laevis","Molineriella laevis","1",5
"503","R-P21304","Ornithopus compressus","Ornithopus compressus","+",1
"503","R-P21304","Ornithopus perpusillus","Ornithopus perpusillus","1",5
"503","R-P21304","Raphanus raphanistrum","Raphanus raphanistrum","1",5
"503","R-P21304","Rumex acetosella subsp. angiocarpus","Rumex acetosella","1",5
"503","R-P21304","Tolpis barbata","Tolpis umbellata","2",15
"504","R-P21305","Bromus diandrus","Anisantha diandra","+",1
"504","R-P21305","Anthemis arvensis","Anthemis arvensis","+",1
"504","R-P21305","Anthoxanthum aristatum","Anthoxanthum ovatum","1",5
"504","R-P21305","Aphanes inexspectata","Aphanes australis","*",1
"504","R-P21305","Briza minor","Briza minor","+",1
"504","R-P21305","Campanula lusitanica","Campanula lusitanica","1",5
"504","R-P21305","Galium parisiense","Galium parisiense","+",1
"504","R-P21305","Gaudinia fragilis","Gaudinia fragilis","+",1
"504","R-P21305","Chrysanthemum segetum","Glebionis segetum","2",15
"504","R-P21305","Holcus mollis","Holcus mollis","+",1
"504","R-P21305","Lupinus angustifolius","Lupinus angustifolius","1",5
"504","R-P21305","Lupinus luteus","Lupinus luteus","+",1
"504","R-P21305","Medicago arabica","Medicago arabica","+",1
"504","R-P21305","Ornithopus compressus","Ornithopus compressus","1",5
"504","R-P21305","Ornithopus sativus","Ornithopus sativus","e",15
"504","R-P21305","Parentucellia viscosa","Parentucellia viscosa","1",5
"504","R-P21305","Raphanus raphanistrum","Raphanus raphanistrum","f",15
"504","R-P21305","Rumex acetosella subsp. angiocarpus","Rumex acetosella","1",5
"504","R-P21305","Sonchus oleraceus","Sonchus oleraceus","+",1
"504","R-P21305","Spergula arvensis","Spergula arvensis","1",5
"504","R-P21305","Tolpis barbata","Tolpis umbellata","1",5
"504","R-P21305","Trifolium subterraneum","Trifolium subterraneum","y",0.1
"504","R-P21305","Vicia hirsuta","Vicia hirsuta","*",1
"504","R-P21305","Vicia sativa","Vicia sativa","+",1
"505","R-P21306","Anagallis arvensis","Anagallis arvensis","+",1
"505","R-P21306","Anthemis arvensis","Anthemis arvensis","3",37.5
"505","R-P21306","Aphanes inexspectata","Aphanes australis","2",15
"505","R-P21306","Bromus hordeaceus","Bromus hordeaceus","1",5
"505","R-P21306","Campanula lusitanica","Campanula lusitanica","1",5
"505","R-P21306","Chrysanthemum segetum","Glebionis segetum","2",15
"505","R-P21306","Lathyrus angulatus","Lathyrus angulatus","1",5
"505","R-P21306","Lupinus angustifolius","Lupinus angustifolius","+",1
"505","R-P21306","Moenchia erecta","Moenchia erecta","+",1
"505","R-P21306","Raphanus raphanistrum","Raphanus raphanistrum","2",15
"505","R-P21306","Spergula arvensis","Spergula arvensis","1",5
"505","R-P21306","Tolpis barbata","Tolpis umbellata","2",15
"505","R-P21306","Trifolium subterraneum","Trifolium subterraneum","+",1
"505","R-P21306","Vicia hirsuta","Vicia hirsuta","2",15
"505","R-P21306","Vicia lutea","Vicia lutea","+",1
"505","R-P21306","Vicia sativa","Vicia sativa","1",5
"506","R-P22198","Bellis perennis","Bellis perennis","a",5
"506","R-P22198","Chamaemelum nobile","Chamaemelum nobile","+",1
"506","R-P22198","Dactylis glomerata","Dactylis glomerata","+",1
"506","R-P22198","Lolium multiflorum","Lolium multiflorum","4",62.5
"506","R-P22198","Poa anua","Ochlopoa annua","2",15
"506","R-P22198","Plantago major","Plantago major","1",5
"506","R-P22198","Ranunculus repens","Ranunculus repens","a",5
"506","R-P22198","Rumex obtusifolius","Rumex obtusifolius","1",5
"506","R-P22198","Taraxacum officinale","Taraxacum","1",5
"506","R-P22198","Trifolium repens","Trifolium repens","1",5
"507","R-P22199","Agrostis capillaris","Agrostis capillaris","*",1
"507","R-P22199","Dactylis glomerata","Dactylis glomerata","+",1
"507","R-P22199","Hypochoeris radicata","Hypochaeris radicata","+",1
"507","R-P22199","Juncus effusus","Juncus effusus","*",1
"507","R-P22199","Lolium multiflorum","Lolium multiflorum","2",15
"507","R-P22199","Mentha pulegium","Mentha pulegium","y",0.1
"507","R-P22199","Poa anua","Ochlopoa annua","1",5
"507","R-P22199","Plantago lanceolata","Plantago lanceolata","+",1
"507","R-P22199","Plantago major","Plantago major","2",15
"507","R-P22199","Polygonum aviculare","Polygonum aviculare","1",5
"507","R-P22199","Rumex obtusifolius","Rumex obtusifolius","+",1
"507","R-P22199","Trifolium repens","Trifolium repens","a",5
"508","R-P22201","Chamaemelum nobile","Chamaemelum nobile","y",0.1
"508","R-P22201","Dactylis glomerata","Dactylis glomerata","+",1
"508","R-P22201","Holcus lanatus","Holcus lanatus","y",0.1
"508","R-P22201","Hypochoeris radicata","Hypochaeris radicata","y",0.1
"508","R-P22201","Lolium multiflorum","Lolium multiflorum","f",15
"508","R-P22201","Poa anua","Ochlopoa annua","b",5
"508","R-P22201","Plantago coronopus","Plantago coronopus","b",5
"508","R-P22201","Plantago lanceolata","Plantago lanceolata","*",1
"508","R-P22201","Plantago major","Plantago major","2",15
"508","R-P22201","Polygonum aviculare","Polygonum aviculare","b",5
"508","R-P22201","Rumex obtusifolius","Rumex obtusifolius","*",1
"508","R-P22201","Trifolium repens","Trifolium repens","f",15
"509","R-P22202","Bellis perennis","Bellis perennis","2",15
"509","R-P22202","Conyza canadensis","Erigeron canadensis","+",1
"509","R-P22202","Hypochoeris radicata","Hypochaeris radicata","*",1
"509","R-P22202","Lolium multiflorum","Lolium multiflorum","4",62.5
"509","R-P22202","Mentha suaveolens","Mentha suaveolens","y",0.1
"509","R-P22202","Plantago lanceolata","Plantago lanceolata","1",5
"509","R-P22202","Plantago major","Plantago major","f",15
"509","R-P22202","Polygonum aviculare","Polygonum aviculare","b",5
"509","R-P22202","Trifolium repens","Trifolium repens","2",15
"509","R-P22202","Verbena officinalis","Verbena officinalis","y",0.1
"510","R-P22203","Chamaemelum nobile","Chamaemelum nobile","*",1
"510","R-P22203","Dactylis glomerata","Dactylis glomerata","a",5
"510","R-P22203","Conyza canadensis","Erigeron canadensis","+",1
"510","R-P22203","Lolium multiflorum","Lolium multiflorum","3",37.5
"510","R-P22203","Plantago lanceolata","Plantago lanceolata","2",15
"510","R-P22203","Plantago major","Plantago major","a",5
"510","R-P22203","Trifolium repens","Trifolium repens","a",5
"511","R-P22204","Lolium multiflorum","Lolium multiflorum","f",15
"511","R-P22204","Poa anua","Ochlopoa annua","b",5
"511","R-P22204","Plantago lanceolata","Plantago lanceolata","a",5
"511","R-P22204","Plantago major","Plantago major","f",15
"511","R-P22204","Polygonum aviculare","Polygonum aviculare","b",5
"511","R-P22204","Rumex obtusifolius","Rumex obtusifolius","y",0.1
"511","R-P22204","Trifolium repens","Trifolium repens","2",15
"511","R-P22204","Urtica dioica","Urtica dioica","a",5
"512","R-P22206","Bellis perennis","Bellis perennis","y",0.1
"512","R-P22206","Geranium molle","Geranium molle","y",0.1
"512","R-P22206","Hypochoeris radicata","Hypochaeris radicata","y",0.1
"512","R-P22206","Poa anua","Ochlopoa annua","a",5
"512","R-P22206","Plantago coronopus","Plantago coronopus","1",5
"512","R-P22206","Plantago major","Plantago major","2",15
"512","R-P22206","Taraxacum officinale","Taraxacum","y",0.1
"512","R-P22206","Trifolium dubium","Trifolium dubium","o",62.5
"512","R-P22206","Vulpia myuros","Vulpia myuros","b",5
"513","R-P22236","Bromus diandrus","Anisantha diandra","*",1
"513","R-P22236","Anthemis arvensis","Anthemis arvensis","2",15
"513","R-P22236","Bromus hordeaceus","Bromus hordeaceus","1",5
"513","R-P22236","Centaurea nigra","Centaurea nigra","+",1
"513","R-P22236","Dactylis glomerata","Dactylis glomerata","*",1
"513","R-P22236","Echium rosulatum","Echium rosulatum","y",0.1
"513","R-P22236","Conyza bonariensis","Erigeron bonariensis","1",5
"513","R-P22236","Foeniculum vulgare","Foeniculum vulgare","+",1
"513","R-P22236","Fumaria muralis","Fumaria muralis","*",1
"513","R-P22236","Galium aparine","Galium aparine","b",5
"513","R-P22236","Geranium dissectum","Geranium dissectum","e",15
"513","R-P22236","Geranium lucidum","Geranium lucidum","2",15
"513","R-P22236","Geranium molle","Geranium molle","a",5
"513","R-P22236","Geranium robertianum","Geranium robertianum","+",1
"513","R-P22236","Mentha suaveolens","Mentha suaveolens","f",15
"513","R-P22236","Poa annua","Ochlopoa annua","b",5
"513","R-P22236","Sherardia arvensis","Sherardia arvensis","+",1
"513","R-P22236","Silene gallica","Silene gallica","+",1
"513","R-P22236","Silybum marianum","Silybum marianum","u",87.5
"513","R-P22236","Sonchus oleraceus","Sonchus oleraceus","+",1
"513","R-P22236","Stellaria media","Stellaria media","+",1
"513","R-P22236","Urtica dioica","Urtica dioica","*",1
"513","R-P22236","Verbascum thapsus","Verbascum thapsus","+",1
"513","R-P22236","Vulpia bromoides","Vulpia bromoides","b",5
"514","R-P22237","Bromus diandrus","Anisantha diandra","a",5
"514","R-P22237","Bromus sterilis","Anisantha sterilis","1",5
"514","R-P22237","Anthemis arvensis","Anthemis arvensis","+",1
"514","R-P22237","Ballota nigra subsp. foetida","Ballota nigra","*",1
"514","R-P22237","Bromus hordeaceus","Bromus hordeaceus","1",5
"514","R-P22237","Dactylis glomerata","Dactylis glomerata","+",1
"514","R-P22237","Echium lusitanicum","Echium lusitanicum","*",1
"514","R-P22237","Echium rosulatum","Echium rosulatum","a",5
"514","R-P22237","Erodium cicutarium","Erodium cicutarium","+",1
"514","R-P22237","Foeniculum vulgare","Foeniculum vulgare","+",1
"514","R-P22237","Geranium molle","Geranium molle","+",1
"514","R-P22237","Hordeum murinum","Hordeum murinum","a",5
"514","R-P22237","Malva sylvestris","Malva sylvestris","1",5
"514","R-P22237","Mentha suaveolens","Mentha suaveolens","1",5
"514","R-P22237","Silene gallica","Silene gallica","+",1
"514","R-P22237","Silybum marianum","Silybum marianum","u",87.5
"514","R-P22237","Sonchus oleraceus","Sonchus oleraceus","+",1
"514","R-P22237","Trifolium arvense","Trifolium arvense","+",1
"514","R-P22237","Trifolium glomeratum","Trifolium glomeratum","+",1
"515","R-P22238","Amaranthus hybridus","Amaranthus hybridus aggr.","f",15
"515","R-P22238","Anthemis arvensis","Anthemis arvensis","1",5
"515","R-P22238","Chenopodium album","Chenopodium album","2",15
"515","R-P22238","Dactylis glomerata","Dactylis glomerata","+",1
"515","R-P22238","Digitaria sanguinalis","Digitaria sanguinalis","+",1
"515","R-P22238","Echium rosulatum","Echium rosulatum","2",15
"515","R-P22238","Conyza bonariensis","Erigeron bonariensis","1",5
"515","R-P22238","Fallopia convolvulus","Fallopia convolvulus","1",5
"515","R-P22238","Foeniculum vulgare","Foeniculum vulgare","+",1
"515","R-P22238","Geranium robertianum","Geranium robertianum","+",1
"515","R-P22238","Malva sylvestris","Malva sylvestris","1",5
"515","R-P22238","Mentha suaveolens","Mentha suaveolens","1",5
"515","R-P22238","Plantago lanceolata","Plantago lanceolata","+",1
"515","R-P22238","Polygonum aviculare","Polygonum aviculare","a",5
"515","R-P22238","Portulaca oleracea","Portulaca oleracea","+",1
"515","R-P22238","Rumex acetosella","Rumex acetosella","+",1
"515","R-P22238","Rumex obtusifolius","Rumex obtusifolius","+",1
"515","R-P22238","Sanguisorba officinalis","Sanguisorba officinalis","+",1
"515","R-P22238","Silybum marianum","Silybum marianum","3",37.5
"515","R-P22238","Sonchus oleraceus","Sonchus oleraceus","+",1
"516","R-P22239","Anthemis arvensis","Anthemis arvensis","2",15
"516","R-P22239","Avena barbata","Avena barbata","2",15
"516","R-P22239","Bromus hordeaceus","Bromus hordeaceus","b",5
"516","R-P22239","Campanula lusitanica","Campanula lusitanica","y",0.1
"516","R-P22239","Centaurea nigra","Centaurea nigra","y",0.1
"516","R-P22239","Cerastium fontanum","Cerastium fontanum","y",0.1
"516","R-P22239","Cirsium vulgare","Cirsium vulgare","y",0.1
"516","R-P22239","Dactylis glomerata","Dactylis glomerata","*",1
"516","R-P22239","Echium lusitanicum","Echium lusitanicum","y",0.1
"516","R-P22239","Echium rosulatum","Echium rosulatum","i",37.5
"516","R-P22239","Conyza bonariensis","Erigeron bonariensis","*",1
"516","R-P22239","Geranium robertianum","Geranium robertianum","y",0.1
"516","R-P22239","Holcus lanatus","Holcus lanatus","+",1
"516","R-P22239","Malva sylvestris","Malva sylvestris","y",0.1
"516","R-P22239","Malva tournefortiana","Malva tournefortiana","y",0.1
"516","R-P22239","Mentha suaveolens","Mentha suaveolens","*",1
"516","R-P22239","Plantago lanceolata","Plantago lanceolata","y",0.1
"516","R-P22239","Silene gallica","Silene gallica","*",1
"516","R-P22239","Silene latifolia","Silene latifolia","y",0.1
"516","R-P22239","Silybum marianum","Silybum marianum","3",37.5
"516","R-P22239","Sisymbrium officinale","Sisymbrium officinale","*",1
"516","R-P22239","Sonchus asper","Sonchus asper","y",0.1
"516","R-P22239","Sonchus oleraceus","Sonchus oleraceus","y",0.1
"516","R-P22239","Vulpia bromoides","Vulpia bromoides","f",15
"517","R-P22240","Andryala integrifolia","Andryala integrifolia","a",5
"517","R-P22240","Bromus hordeaceus","Bromus hordeaceus","c",5
"517","R-P22240","Crepis capillaris","Crepis capillaris","a",5
"517","R-P22240","Dactylis glomerata","Dactylis glomerata","+",1
"517","R-P22240","Echium rosulatum","Echium rosulatum","g",15
"517","R-P22240","Geranium molle","Geranium molle","1",5
"517","R-P22240","Geranium robertianum","Geranium robertianum","c",5
"517","R-P22240","Lamium maculatum","Lamium maculatum","y",0.1
"517","R-P22240","Malva sylvestris","Malva sylvestris","c",5
"517","R-P22240","Mentha suaveolens","Mentha suaveolens","+",1
"517","R-P22240","Petrorhagia nanteuilii","Petrorhagia nanteuilii","a",5
"517","R-P22240","Polygonum aviculare","Polygonum aviculare","1",5
"517","R-P22240","Pteridium aquilinum","Pteridium aquilinum","b",5
"517","R-P22240","Reseda media","Reseda media","&",1
"517","R-P22240","Rumex obtusifolius","Rumex obtusifolius","1",5
"517","R-P22240","Silene latifolia","Silene latifolia","a",5
"517","R-P22240","Silybum marianum","Silybum marianum","k",37.5
"517","R-P22240","Sisymbrium officinale","Sisymbrium officinale","g",15
"517","R-P22240","Sonchus oleraceus","Sonchus oleraceus","y",0.1
"517","R-P22240","Stellaria media","Stellaria media","&",1
"517","R-P22240","Tolpis barbata","Tolpis umbellata","+",1
"517","R-P22240","Trifolium dubium","Trifolium dubium","&",1
"517","R-P22240","Urtica dioica","Urtica dioica","g",15
"518","R-P22241","Achillea millefolium","Achillea millefolium","+",1
"518","R-P22241","Bromus tectorum","Anisantha tectorum","*",1
"518","R-P22241","Bryonia cretica","Bryonia dioica","a",5
"518","R-P22241","Dactylis glomerata","Dactylis glomerata","2",15
"518","R-P22241","Galium aparine","Galium aparine","*",1
"518","R-P22241","Geranium lucidum","Geranium lucidum","f",15
"518","R-P22241","Geranium molle","Geranium molle","1",5
"518","R-P22241","Geranium robertianum","Geranium robertianum","+",1
"518","R-P22241","Holcus lanatus","Holcus lanatus","+",1
"518","R-P22241","Hypochoeris radicata","Hypochaeris radicata","y",0.1
"518","R-P22241","Leontodon taraxacoides","Leontodon saxatilis ","y",0.1
"518","R-P22241","Lepidium heterophyllum","Lepidium heterophyllum","*",1
"518","R-P22241","Malva sylvestris","Malva sylvestris","+",1
"518","R-P22241","Malva tournefortiana","Malva tournefortiana","y",0.1
"518","R-P22241","Mentha suaveolens","Mentha suaveolens","a",5
"518","R-P22241","Pentaglottis sempervirens","Pentaglottis sempervirens","1",5
"518","R-P22241","Pteridium aquilinum","Pteridium aquilinum","e",15
"518","R-P22241","Ranunculus repens","Ranunculus repens","y",0.1
"518","R-P22241","Rubus ulmifolius","Rubus ulmifolius","1",5
"518","R-P22241","Rumex acetosa","Rumex acetosa","+",1
"518","R-P22241","Rumex obtusifolius","Rumex obtusifolius","+",1
"518","R-P22241","Sonchus oleraceus","Sonchus oleraceus","+",1
"518","R-P22241","Trifolium dubium","Trifolium dubium","2",15
"518","R-P22241","Urtica dioica","Urtica dioica","f",15
"518","R-P22241","Vicia sativa","Vicia sativa","+",1
"519","R-P22242","Brachypodium pinnatum","Brachypodium rupestre","a",5
"519","R-P22242","Chaerophyllum temulentum","Chaerophyllum temulum","+",1
"519","R-P22242","Dactylis glomerata","Dactylis glomerata","*",1
"519","R-P22242","Galium aparine","Galium aparine","+",1
"519","R-P22242","Geranium lucidum","Geranium lucidum","2",15
"519","R-P22242","Geranium pyrenaicum subsp. lusitanicum","Geranium pyrenaicum","+",1
"519","R-P22242","Geranium robertianum","Geranium robertianum","+",1
"519","R-P22242","Lamium maculatum","Lamium maculatum","+",1
"519","R-P22242","Pentaglottis sempervirens","Pentaglottis sempervirens","2",15
"519","R-P22242","Poa trivialis","Poa trivialis","a",5
"519","R-P22242","Pteridium aquilinum","Pteridium aquilinum","1",5
"519","R-P22242","Ranunculus repens","Ranunculus repens","a",5
"519","R-P22242","Silene latifolia","Silene latifolia","+",1
"519","R-P22242","Stellaria holostea","Stellaria holostea","+",1
"519","R-P22242","Urtica dioica","Urtica dioica","4",62.5
"519","R-P22242","Veronica chamaedrys","Veronica chamaedrys","+",1
"520","R-P22243","Aquilegia vulgaris subsp. dichroa","Aquilegia dichroa","+",1
"520","R-P22243","Bryonia cretica","Bryonia dioica","+",1
"520","R-P22243","Chelidonium majus","Chelidonium majus","+",1
"520","R-P22243","Dactylis glomerata","Dactylis glomerata","*",1
"520","R-P22243","Galium aparine","Galium aparine","1",5
"520","R-P22243","Geranium lucidum","Geranium lucidum","+",1
"520","R-P22243","Geranium robertianum","Geranium robertianum","+",1
"520","R-P22243","Heracleum sphondylium","Heracleum sphondylium","+",1
"520","R-P22243","Holcus lanatus","Holcus lanatus","+",1
"520","R-P22243","Pentaglottis sempervirens","Pentaglottis sempervirens","4",62.5
"520","R-P22243","Ranunculus repens","Ranunculus repens","+",1
"520","R-P22243","Rubus ulmifolius","Rubus ulmifolius","1",5
"520","R-P22243","Stellaria holostea","Stellaria holostea","+",1
"520","R-P22243","Urtica dioica","Urtica dioica","1",5
"521","R-P22244","Galium aparine","Galium aparine","1",5
"521","R-P22244","Geranium robertianum","Geranium robertianum","*",1
"521","R-P22244","Lamium maculatum","Lamium maculatum","1",5
"521","R-P22244","Pentaglottis sempervirens","Pentaglottis sempervirens","i",37.5
"521","R-P22244","Pteridium aquilinum","Pteridium aquilinum","+",1
"521","R-P22244","Ranunculus repens","Ranunculus repens","1",5
"521","R-P22244","Stellaria holostea","Stellaria holostea","f",15
"521","R-P22244","Stellaria media","Stellaria media","+",1
"521","R-P22244","Urtica dioica","Urtica dioica","f",15
"522","R-P22245","Chelidonium majus","Chelidonium majus","+",1
"522","R-P22245","Dactylis glomerata","Dactylis glomerata","+",1
"522","R-P22245","Geranium molle","Geranium molle","a",5
"522","R-P22245","Geranium robertianum","Geranium robertianum","+",1
"522","R-P22245","Lamium maculatum","Lamium maculatum","5",87.5
"522","R-P22245","Rubus ulmifolius","Rubus ulmifolius","2",15
"522","R-P22245","Rumex obtusifolius","Rumex obtusifolius","+",1
"522","R-P22245","Scrophularia scorodonia","Scrophularia scorodonia","*",1
"523","R-P22246","Chaerophyllum temulentum","Chaerophyllum temulum","y",0.1
"523","R-P22246","Dactylis glomerata","Dactylis glomerata","*",1
"523","R-P22246","Galinsoga parviflora","Galinsoga parviflora","b",5
"523","R-P22246","Galium aparine","Galium aparine","1",5
"523","R-P22246","Galium mollugo","Galium mollugo","b",5
"523","R-P22246","Lamium maculatum","Lamium maculatum","1",5
"523","R-P22246","Pentaglottis sempervirens","Pentaglottis sempervirens","f",15
"523","R-P22246","Ranunculus repens","Ranunculus repens","f",15
"523","R-P22246","Urtica dioica","Urtica dioica","j",37.5
"524","R-P22254","Anthemis arvensis","Anthemis arvensis","b",5
"524","R-P22254","Anthoxanthum odoratum","Anthoxanthum alpinum","b",5
"524","R-P22254","Arnoseris minima","Arnoseris minima","1",5
"524","R-P22254","Logfia minima","Filago minima","+",1
"524","R-P22254","Hypochoeris radicata","Hypochaeris radicata","y",0.1
"524","R-P22254","Linaria elegans","Linaria elegans","2",15
"524","R-P22254","Linaria saxatilis","Linaria saxatilis","1",5
"524","R-P22254","Ornithopus sativus","Ornithopus sativus","b",5
"524","R-P22254","Rumex acetosella subsp. angiocarpus","Rumex acetosella","a",5
"524","R-P22254","Scleranthus annuus","Scleranthus annuus","+",1
"524","R-P22254","Sedum arenarium","Sedum arenarium","+",1
"524","R-P22254","Spergula arvensis","Spergula arvensis","+",1
"525","R-P22255","Cardamine hirsuta","Cardamine hirsuta","1",5
"525","R-P22255","Cerastium glomeratum","Cerastium glomeratum","1",5
"525","R-P22255","Coleostephus myconis","Coleostephus myconis","+",1
"525","R-P22255","Erophila verna","Draba verna","+",1
"525","R-P22255","Fumaria muralis","Fumaria muralis","2",15
"525","R-P22255","Geranium molle","Geranium molle","a",5
"525","R-P22255","Lotus corniculatus","Lotus corniculatus","+",1
"525","R-P22255","Mibora minium","Mibora minima","1",5
"525","R-P22255","Poa annua","Ochlopoa annua","4",62.5
"525","R-P22255","Raphanus raphanistrum","Raphanus raphanistrum","2",15
"525","R-P22255","Rumex obtusifolius","Rumex obtusifolius","2",15
"525","R-P22255","Spergula arvensis","Spergula arvensis","1",5
"525","R-P22255","Stachys arvensis","Stachys arvensis","+",1
"525","R-P22255","Stellaria media","Stellaria media","3",37.5
"525","R-P22255","Trifolium pratense","Trifolium pratense","+",1
"525","R-P22255","Veronica arvensis","Veronica arvensis","+",1
"525","R-P22255","Vicia sativa","Vicia sativa","2",15
"526","R-P22256","Anthemis arvensis","Anthemis arvensis","1",5
"526","R-P22256","Aphanes arvensis","Aphanes arvensis","2",15
"526","R-P22256","Avena barbata","Avena barbata","1",5
"526","R-P22256","Cardamine hirsuta","Cardamine hirsuta","+",1
"526","R-P22256","Cerastium glomeratum","Cerastium glomeratum","2",15
"526","R-P22256","Coleostephus myconis","Coleostephus myconis","1",5
"526","R-P22256","Erodium moschatum","Erodium moschatum","*",1
"526","R-P22256","Fumaria muralis","Fumaria muralis","1",5
"526","R-P22256","Geranium molle","Geranium molle","y",0.1
"526","R-P22256","Mercurialis ambigua","Mercurialis annua","*",1
"526","R-P22256","Mibora minium","Mibora minima","4",62.5
"526","R-P22256","Myosotis discolor","Myosotis discolor","y",0.1
"526","R-P22256","Poa annua","Ochlopoa annua","3",37.5
"526","R-P22256","Raphanus raphanistrum","Raphanus raphanistrum","1",5
"526","R-P22256","Reseda media","Reseda media","b",5
"526","R-P22256","Rumex acetosella","Rumex acetosella","1",5
"526","R-P22256","Senecio vulgaris","Senecio vulgaris","1",5
"526","R-P22256","Sonchus oleraceus","Sonchus oleraceus","1",5
"526","R-P22256","Stellaria media","Stellaria media","4",62.5
"526","R-P22256","Trifolium arvense","Trifolium arvense","y",0.1
"527","R-P22257","Aphanes arvensis","Aphanes arvensis","a",5
"527","R-P22257","Arabidopsis thaliana","Arabidopsis thaliana","1",5
"527","R-P22257","Cardamine hirsuta","Cardamine hirsuta","a",5
"527","R-P22257","Cerastium glomeratum","Cerastium glomeratum","1",5
"527","R-P22257","Coleostephus myconis","Coleostephus myconis","1",5
"527","R-P22257","Erodium cicutarium","Erodium cicutarium","+",1
"527","R-P22257","Geranium molle","Geranium molle","e",15
"527","R-P22257","Geranium robertianum","Geranium robertianum","y",0.1
"527","R-P22257","Mibora minium","Mibora minima","+",1
"527","R-P22257","Myosotis discolor","Myosotis discolor","1",5
"527","R-P22257","Poa annua","Ochlopoa annua","3",37.5
"527","R-P22257","Plantago lanceolata","Plantago lanceolata","y",0.1
"527","R-P22257","Polygonum aviculare","Polygonum aviculare","+",1
"527","R-P22257","Raphanus raphanistrum","Raphanus raphanistrum","1",5
"527","R-P22257","Senecio vulgaris","Senecio vulgaris","+",1
"527","R-P22257","Sonchus oleraceus","Sonchus oleraceus","1",5
"527","R-P22257","Spergula arvensis","Spergula arvensis","+",1
"527","R-P22257","Stachys arvensis","Stachys arvensis","+",1
"527","R-P22257","Stellaria media","Stellaria media","4",62.5
"527","R-P22257","Veronica arvensis","Veronica arvensis","1",5
"527","R-P22257","Viola arvensis","Viola arvensis","*",1
"528","R-P22258","Cardamine hirsuta","Cardamine hirsuta","1",5
"528","R-P22258","Cerastium glomeratum","Cerastium glomeratum","+",1
"528","R-P22258","Coleostephus myconis","Coleostephus myconis","z",1
"528","R-P22258","Erodium cicutarium","Erodium cicutarium","+",1
"528","R-P22258","Geranium molle","Geranium molle","1",5
"528","R-P22258","Lamium purpureum","Lamium purpureum","*",1
"528","R-P22258","Poa annua","Ochlopoa annua","2",15
"528","R-P22258","Raphanus raphanistrum","Raphanus raphanistrum","+",1
"528","R-P22258","Senecio vulgaris","Senecio vulgaris","+",1
"528","R-P22258","Sonchus oleraceus","Sonchus oleraceus","1",5
"528","R-P22258","Stachys arvensis","Stachys arvensis","+",1
"528","R-P22258","Stellaria media","Stellaria media","4",62.5
"528","R-P22258","Veronica arvensis","Veronica arvensis","+",1
"529","R-P22259","Anthemis arvensis","Anthemis arvensis","+",1
"529","R-P22259","Cardamine hirsuta","Cardamine hirsuta","1",5
"529","R-P22259","Cerastium glomeratum","Cerastium glomeratum","+",1
"529","R-P22259","Coleostephus myconis","Coleostephus myconis","*",1
"529","R-P22259","Erodium cicutarium","Erodium cicutarium","+",1
"529","R-P22259","Fumaria muralis","Fumaria muralis","+",1
"529","R-P22259","Geranium molle","Geranium molle","+",1
"529","R-P22259","Mibora minium","Mibora minima","b",5
"529","R-P22259","Poa annua","Ochlopoa annua","a",5
"529","R-P22259","Raphanus raphanistrum","Raphanus raphanistrum","2",15
"529","R-P22259","Rumex acetosella","Rumex acetosella","+",1
"529","R-P22259","Rumex obtusifolius","Rumex obtusifolius","y",0.1
"529","R-P22259","Senecio vulgaris","Senecio vulgaris","+",1
"529","R-P22259","Sonchus oleraceus","Sonchus oleraceus","1",5
"529","R-P22259","Stachys arvensis","Stachys arvensis","y",0.1
"529","R-P22259","Stellaria media","Stellaria media","4",62.5
"530","R-P22260","Anthemis arvensis","Anthemis arvensis","+",1
"530","R-P22260","Aphanes arvensis","Aphanes arvensis","*",1
"530","R-P22260","Cardamine hirsuta","Cardamine hirsuta","b",5
"530","R-P22260","Cerastium glomeratum","Cerastium glomeratum","1",5
"530","R-P22260","Coleostephus myconis","Coleostephus myconis","*",1
"530","R-P22260","Erodium cicutarium","Erodium cicutarium","a",5
"530","R-P22260","Logfia gallica","Filago gallica","y",0.1
"530","R-P22260","Fumaria muralis","Fumaria muralis","+",1
"530","R-P22260","Geranium molle","Geranium molle","+",1
"530","R-P22260","Hypochoeris radicata","Hypochaeris radicata","y",0.1
"530","R-P22260","Lamium amplexicaule","Lamium amplexicaule","+",1
"530","R-P22260","Lamium purpureum","Lamium purpureum","*",1
"530","R-P22260","Mibora minium","Mibora minima","f",15
"530","R-P22260","Agrostis truncatula subsp. commista","Neoschischkinia truncatula","y",0.1
"530","R-P22260","Poa annua","Ochlopoa annua","4",62.5
"530","R-P22260","Plantago lanceolata","Plantago lanceolata","+",1
"530","R-P22260","Raphanus raphanistrum","Raphanus raphanistrum","a",5
"530","R-P22260","Rumex acetosa","Rumex acetosa","y",0.1
"530","R-P22260","Rumex acetosella","Rumex acetosella","+",1
