"Releve.number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
323976,"R-P23976","Geranium molle","Geranium molle","y",0.1
323976,"R-P23976","Lolium perenne","Lolium perenne","y",0.1
323976,"R-P23976","Malva neglecta","Malva neglecta","y",0.1
323976,"R-P23976","Poa anua","Ochlopoa annua","+",1
323976,"R-P23976","Polygonum persicaria","Persicaria maculosa","*",1
323976,"R-P23976","Polygonum aviculare","Polygonum aviculare","+",1
323976,"R-P23976","Senecio vulgaris","Senecio vulgaris","+",1
323976,"R-P23976","Setaria verticillata","Setaria verticilliformis","*",1
323976,"R-P23976","Sonchus oleraceus","Sonchus oleraceus","+",1
323976,"R-P23976","Stellaria media","Stellaria media","*",1
323976,"R-P23976","Veronica agrestis","Veronica agrestis","+",1
323976,"R-P23976","Veronica arvensis","Veronica arvensis","y",0.1
323976,"R-P23976","Vicia sativa","Vicia sativa","1",5
323977,"R-P23977","Amaranthus hybridus subsp. hybridus","Amaranthus hybridus aggr.","i",37.5
323977,"R-P23977","Chenopodium album subsp. album","Chenopodium album","1",5
323977,"R-P23977","Convolvulus arvensis","Convolvulus arvensis","+",1
323977,"R-P23977","Digitaria sanguinalis","Digitaria sanguinalis","a",5
323977,"R-P23977","Bilderdykia convolvulus","Fallopia convolvulus","+",1
323977,"R-P23977","Polygonum persicaria","Persicaria maculosa","y",0.1
323977,"R-P23977","Polygonum aviculare","Polygonum aviculare","+",1
323977,"R-P23977","Portulaca oleracea","Portulaca oleracea","*",1
323977,"R-P23977","Setaria verticillata","Setaria verticilliformis","a",5
323977,"R-P23977","Sonchus oleraceus","Sonchus oleraceus","y",0.1
323977,"R-P23977","Stellaria media","Stellaria media","+",1
323978,"R-P23978","Amaranthus hybridus subsp. hybridus","Amaranthus hybridus aggr.","e",15
323978,"R-P23978","Chenopodium album subsp. album","Chenopodium album","+",1
323978,"R-P23978","Convolvulus arvensis","Convolvulus arvensis","+",1
323978,"R-P23978","Digitaria sanguinalis","Digitaria sanguinalis","1",5
323978,"R-P23978","Bilderdykia convolvulus","Fallopia convolvulus","1",5
323978,"R-P23978","Polygonum persicaria","Persicaria maculosa","+",1
323978,"R-P23978","Portulaca oleracea","Portulaca oleracea","*",1
323978,"R-P23978","Senecio vulgaris","Senecio vulgaris","+",1
323978,"R-P23978","Sonchus oleraceus","Sonchus oleraceus","y",0.1
323978,"R-P23978","Stellaria media","Stellaria media","+",1
323978,"R-P23978","Vicia sativa","Vicia sativa","+",1
323979,"R-P23979","Amaranthus hybridus subsp. hybridus","Amaranthus hybridus aggr.","e",15
323979,"R-P23979","Bromus diandrus","Anisantha diandra","+",1
323979,"R-P23979","Chenopodium album subsp. album","Chenopodium album","+",1
323979,"R-P23979","Digitaria sanguinalis","Digitaria sanguinalis","1",5
323979,"R-P23979","Lolium perenne","Lolium perenne","+",1
323979,"R-P23979","Polygonum persicaria","Persicaria maculosa","+",1
323979,"R-P23979","Ranunculus repens","Ranunculus repens","y",0.1
323979,"R-P23979","Stellaria media","Stellaria media","+",1
323979,"R-P23979","Urtica dioica","Urtica dioica","y",0.1
323980,"R-P23980","Amaranthus hybridus subsp. hybridus","Amaranthus hybridus aggr.","1",5
323980,"R-P23980","Chenopodium album subsp. album","Chenopodium album","+",1
323980,"R-P23980","Digitaria sanguinalis","Digitaria sanguinalis","y",0.1
323980,"R-P23980","Bilderdykia convolvulus","Fallopia convolvulus","+",1
323980,"R-P23980","Polygonum persicaria","Persicaria maculosa","+",1
323980,"R-P23980","Polygonum aviculare","Polygonum aviculare","y",0.1
323980,"R-P23980","Setaria verticillata","Setaria verticilliformis","+",1
323980,"R-P23980","Urtica urens","Urtica urens","y",0.1
323983,"R-P23983","Hirschfeldia incana","Hirschfeldia incana","y",0.1
323983,"R-P23983","Lolium perenne","Lolium perenne","+",1
323983,"R-P23983","Malva neglecta","Malva neglecta","2",15
323983,"R-P23983","Poa annua","Ochlopoa annua","1",5
323983,"R-P23983","Plantago lanceolata","Plantago lanceolata","y",0.1
323983,"R-P23983","Polygonum aviculare","Polygonum aviculare","+",1
323983,"R-P23983","Raphanus raphanistrum","Raphanus raphanistrum","y",0.1
323983,"R-P23983","Solanum nigrum","Solanum nigrum","y",0.1
323983,"R-P23983","Stellaria media","Stellaria media","a",5
323983,"R-P23983","Urtica urens","Urtica urens","e",15
323984,"R-P23984","Anthriscus caucalis","Anthriscus caucalis","+",1
323984,"R-P23984","Malva neglecta","Malva neglecta","+",1
323984,"R-P23984","Poa annua","Ochlopoa annua","+",1
323984,"R-P23984","Tanacetum parthenium","Tanacetum parthenium","+",1
323984,"R-P23984","Trifolium repens","Trifolium repens","y",0.1
323984,"R-P23984","Urtica dioica","Urtica dioica","*",1
323984,"R-P23984","Urtica urens","Urtica urens","2",15
323985,"R-P23985","Carduus tenuiflorus","Carduus tenuiflorus","+",1
323985,"R-P23985","Chenopodium muralis","Chenopodiastrum murale","f",15
323985,"R-P23985","Lamium amplexicaule","Lamium amplexicaule","+",1
323985,"R-P23985","Lolium perenne","Lolium perenne","+",1
323985,"R-P23985","Malva neglecta","Malva neglecta","e",15
323985,"R-P23985","Plantago lanceolata","Plantago lanceolata","y",0.1
323985,"R-P23985","Polygonum aviculare","Polygonum aviculare","y",0.1
323985,"R-P23985","Senecio vulgaris","Senecio vulgaris","y",0.1
323985,"R-P23985","Urtica urens","Urtica urens","2",15
323988,"R-P23988","Erodium moschatum","Erodium moschatum","+",1
323988,"R-P23988","Malva neglecta","Malva neglecta","5",87.5
323988,"R-P23988","Polygonum aviculare","Polygonum aviculare","+",1
323988,"R-P23988","Senecio gallicus","Senecio gallicus","+",1
323988,"R-P23988","Stellaria media","Stellaria media","+",1
323988,"R-P23988","Trifolium repens","Trifolium repens","+",1
323988,"R-P23988","Urtica urens","Urtica urens","1",5
323988,"R-P23988","Veronica arvensis","Veronica arvensis","+",1
323989,"R-P23989","Asplenium billotii","Asplenium obovatum","*",1
323989,"R-P23989","Cardamine hirsuta","Cardamine hirsuta","y",0.1
323989,"R-P23989","Galium aparine","Galium aparine","a",5
323989,"R-P23989","Galium mollugo","Galium mollugo","*",1
323989,"R-P23989","Geranium lucidum","Geranium lucidum","a",5
323989,"R-P23989","Geranium molle","Geranium molle","+",1
323989,"R-P23989","Geranium robertianum","Geranium robertianum","4",62.5
323989,"R-P23989","Sedum albura","Sedum album","b",5
323989,"R-P23989","Umbilicus rupestris","Umbilicus rupestris","y",0.1
323989,"R-P23989","Urtica dioica","Urtica dioica","1",5
323989,"R-P23989","Veronica hederifolia","Veronica hederifolia","+",1
323990,"R-P23990","Bromus diandrus","Anisantha diandra","+",1
323990,"R-P23990","Bromus sterilis","Anisantha sterilis","e",15
323990,"R-P23990","Anthemis arvensis","Anthemis arvensis","+",1
323990,"R-P23990","Anthriscus caucalis","Anthriscus caucalis","2",15
323990,"R-P23990","Bromus hordeaceus","Bromus hordeaceus","y",0.1
323990,"R-P23990","Carduus tenuiflorus","Carduus tenuiflorus","+",1
323990,"R-P23990","Geranium dissectum","Geranium dissectum","+",1
323990,"R-P23990","Geranium lucidum","Geranium lucidum","e",15
323990,"R-P23990","Geranium molle","Geranium molle","4",62.5
323990,"R-P23990","Geranium rotundifolium","Geranium rotundifolium","+",1
323990,"R-P23990","Hordeum murinum subsp. murinum","Hordeum murinum","a",5
323990,"R-P23990","Hypochoeris radicata","Hypochaeris radicata","+",1
323990,"R-P23990","Senecio jacobaea","Jacobaea vulgaris","y",0.1
323990,"R-P23990","Lactuca serriola","Lactuca serriola","a",5
323990,"R-P23990","Malva sylvestris","Malva sylvestris","+",1
323990,"R-P23990","Senecio vulgaris","Senecio vulgaris","y",0.1
323990,"R-P23990","Sisymbrium austriacum subsp. chrysanthemu","Sisymbrium austriacum","+",1
323990,"R-P23990","Stellaria media","Stellaria media","+",1
323991,"R-P23991","Bromus sterilis","Anisantha sterilis","*",1
323991,"R-P23991","Asplenium billotii","Asplenium obovatum","+",1
323991,"R-P23991","Dactylis glomerata","Dactylis glomerata","a",5
323991,"R-P23991","Geranium lucidum","Geranium lucidum","1",5
323991,"R-P23991","Geranium molle","Geranium molle","y",0.1
323991,"R-P23991","Geranium robertianum","Geranium robertianum","o",62.5
323991,"R-P23991","Holcus lanatus","Holcus lanatus","*",1
323991,"R-P23991","Lactuca serriola","Lactuca serriola","+",1
323991,"R-P23991","Lamium maculatum","Lamium maculatum","*",1
323991,"R-P23991","Tanacetum parthenium","Tanacetum parthenium","+",1
323991,"R-P23991","Taraxacum officinale","Taraxacum","+",1
323991,"R-P23991","Urtica dioica","Urtica dioica","*",1
323992,"R-P23992","Bromus diandrus","Anisantha diandra","+",1
323992,"R-P23992","Bromus sterilis","Anisantha sterilis","y",0.1
323992,"R-P23992","Anthriscus caucalis","Anthriscus caucalis","*",1
323992,"R-P23992","Convolvulus arvensis","Convolvulus arvensis","+",1
323992,"R-P23992","Galium aparine","Galium aparine","*",1
323992,"R-P23992","Geranium dissectum","Geranium dissectum","+",1
323992,"R-P23992","Geranium lucidum","Geranium lucidum","3",37.5
323992,"R-P23992","Geranium molle","Geranium molle","+",1
323992,"R-P23992","Geranium robertianum","Geranium robertianum","*",1
323992,"R-P23992","Geranium rotundifolium","Geranium rotundifolium","+",1
323992,"R-P23992","Hordeum murinum subsp. murinum","Hordeum murinum","+",1
323992,"R-P23992","Senecio jacobaea","Jacobaea vulgaris","+",1
323992,"R-P23992","Sedum albura","Sedum album","b",5
323992,"R-P23992","Stellaria media","Stellaria media","+",1
323992,"R-P23992","Umbilicus rupestris","Umbilicus rupestris","+",1
323992,"R-P23992","Urtica dioica","Urtica dioica","*",1
323992,"R-P23992","Valerianella carinata","Valerianella locusta","+",1
323994,"R-P23994","Anthriscus caucalis","Anthriscus caucalis","2",15
323994,"R-P23994","Galium aparine","Galium aparine","+",1
323994,"R-P23994","Geranium lucidum","Geranium lucidum","4",62.5
323994,"R-P23994","Holcus lanatus","Holcus lanatus","+",1
323994,"R-P23994","Poa anua","Ochlopoa annua","+",1
323994,"R-P23994","Polygonum aviculare","Polygonum aviculare","*",1
323994,"R-P23994","Tanacetum parthenium","Tanacetum parthenium","a",5
323994,"R-P23994","Urtica dioica","Urtica dioica","+",1
323994,"R-P23994","Urtica urens","Urtica urens","+",1
323996,"R-P23996","Bromus sterilis","Anisantha sterilis","*",1
323996,"R-P23996","Asplenium billotii","Asplenium obovatum","y",0.1
323996,"R-P23996","Bellis perennis","Bellis perennis","+",1
323996,"R-P23996","Crepis lampsanoides","Crepis lampsanoides","+",1
323996,"R-P23996","Galium aparine","Galium aparine","+",1
323996,"R-P23996","Geranium lucidum","Geranium lucidum","5",87.5
323996,"R-P23996","Geranium molle","Geranium molle","+",1
323996,"R-P23996","Geranium robertianum","Geranium robertianum","+",1
323996,"R-P23996","Geum urbanum","Geum urbanum","y",0.1
323996,"R-P23996","Lactuca serriola","Lactuca serriola","y",0.1
323996,"R-P23996","Tanacetum parthenium","Tanacetum parthenium","a",5
323997,"R-P23997","Anthriscus caucalis","Anthriscus caucalis","3",37.5
323997,"R-P23997","Erophila verna","Draba verna","+",1
323997,"R-P23997","Geranium lucidum","Geranium lucidum","4",62.5
323997,"R-P23997","Geranium molle","Geranium molle","z",1
323997,"R-P23997","Holcus lanatus","Holcus lanatus","1",5
323997,"R-P23997","Stellaria media","Stellaria media","a",5
323997,"R-P23997","Trifolium repens","Trifolium repens","+",1
323997,"R-P23997","Umbilicus rupestris","Umbilicus rupestris","+",1
323997,"R-P23997","Veronica arvensis","Veronica arvensis","+",1
323999,"R-P23999","Anthemis arvensis","Anthemis arvensis","2",15
323999,"R-P23999","Anthoxanthum aristatum subsp. aristatum","Anthoxanthum ovatum","3",37.5
323999,"R-P23999","Aphanes microcarpa","Aphanes microcarpa","+",1
323999,"R-P23999","Arnoseris minima","Arnoseris minima","1",5
323999,"R-P23999","Arrhenatherum elatius subsp. bulbosum","Arrhenatherum elatius","y",0.1
323999,"R-P23999","Conopodium majus subsp. ramosum","Conopodium arvense","+",1
323999,"R-P23999","Centaurea cyanus","Cyanus segetum","1",5
323999,"R-P23999","Leontodon taraxacoides subsp. longirostris","Leontodon saxatilis ","+",1
323999,"R-P23999","Lupinus luteus","Lupinus luteus","y",0.1
323999,"R-P23999","Micropyrum tenellum","Micropyrum tenellum","1",5
323999,"R-P23999","Ornithopus compressus","Ornithopus compressus","y",0.1
323999,"R-P23999","Ornithopus pepusillus","Ornithopus perpusillus","+",1
323999,"R-P23999","Raphanus raphanistrum","Raphanus raphanistrum","y",0.1
323999,"R-P23999","Rumex angiocarpus","Rumex acetosella","+",1
323999,"R-P23999","Scleranthus annuus subsp. polycarpos","Scleranthus polycarpos","1",5
323999,"R-P23999","Vicia sativa subsp. nigra","Vicia sativa","+",1
324001,"R-P24001","Bromus diandrus","Anisantha diandra","y",0.1
324001,"R-P24001","Anthemis arvensis","Anthemis arvensis","i",37.5
324001,"R-P24001","Anthoxanthum aristatum subsp. aristatum","Anthoxanthum ovatum","4",62.5
324001,"R-P24001","Arnoseris minima","Arnoseris minima","+",1
324001,"R-P24001","Lolium rigidum","Lolium rigidum","+",1
324001,"R-P24001","Lupinus angustifolius","Lupinus angustifolius","y",0.1
324001,"R-P24001","Lupinus luteus","Lupinus luteus","+",1
324001,"R-P24001","Micropyrum tenellum","Micropyrum tenellum","*",1
324001,"R-P24001","Ornithopus compressus","Ornithopus compressus","+",1
324001,"R-P24001","Ornithopus pepusillus","Ornithopus perpusillus","+",1
324001,"R-P24001","Raphanus raphanistrum","Raphanus raphanistrum","y",0.1
324001,"R-P24001","Rumex angiocarpus","Rumex acetosella","+",1
324001,"R-P24001","Scleranthus annuus subsp. polycarpos","Scleranthus polycarpos","1",5
324001,"R-P24001","Spergula arvensis","Spergula arvensis","1",5
324001,"R-P24001","Vicia lutea","Vicia lutea","+",1
324001,"R-P24001","Vicia sativa subsp. nigra","Vicia sativa","1",5
324001,"R-P24001","Vulpia myuros","Vulpia myuros","y",0.1
324006,"R-P24006","Anthemis arvensis","Anthemis arvensis","3",37.5
324006,"R-P24006","Arnoseris minima","Arnoseris minima","1",5
324006,"R-P24006","Centaurea cyanus","Cyanus segetum","1",5
324006,"R-P24006","Lolium perenne","Lolium perenne","1",5
324006,"R-P24006","Micropyrum tenellum","Micropyrum tenellum","+",1
324006,"R-P24006","Odontites verna subsp. verna","Odontites vernus","2",15
324006,"R-P24006","Ornithopus compressus","Ornithopus compressus","+",1
324006,"R-P24006","Rumex angiocarpus","Rumex acetosella","+",1
324006,"R-P24006","Scleranthus annuus subsp. polycarpos","Scleranthus polycarpos","e",15
324006,"R-P24006","Stellaria media","Stellaria media","+",1
324006,"R-P24006","Vicia lutea","Vicia lutea","1",5
324006,"R-P24006","Vicia sativa subsp. nigra","Vicia sativa","1",5
324006,"R-P24006","Vulpia bromoides","Vulpia bromoides","+",1
324008,"R-P24008","Anthemis arvensis","Anthemis arvensis","e",15
324008,"R-P24008","Anthoxanthum aristatum subsp. aristatum","Anthoxanthum ovatum","1",5
324008,"R-P24008","Aphanes microcarpa","Aphanes microcarpa","2",15
324008,"R-P24008","Bromus hordeaceus","Bromus hordeaceus","*",1
324008,"R-P24008","Conopodium majus subsp. ramosum","Conopodium arvense","1",5
324008,"R-P24008","Crepis capillaris","Crepis capillaris","+",1
324008,"R-P24008","Linaria elegans","Linaria elegans","+",1
324008,"R-P24008","Moenchia erecta","Moenchia erecta","y",0.1
324008,"R-P24008","Ornithopus pepusillus","Ornithopus perpusillus","a",5
324008,"R-P24008","Rumex angiocarpus","Rumex acetosella","1",5
324008,"R-P24008","Scleranthus annuus subsp. polycarpos","Scleranthus polycarpos","e",15
324008,"R-P24008","Trisetum ovatum","Trisetaria ovata","g",15
324009,"R-P24009","Anthemis arvensis","Anthemis arvensis","1",5
324009,"R-P24009","Arnoseris minima","Arnoseris minima","e",15
324009,"R-P24009","Centranthus calcitrapae","Centranthus calcitrapae","y",0.1
324009,"R-P24009","Centaurea cyanus","Cyanus segetum","1",5
324009,"R-P24009","Micropyrum tenellum","Micropyrum tenellum","1",5
324009,"R-P24009","Odontites verna subsp. verna","Odontites vernus","y",0.1
324009,"R-P24009","Ornithopus pepusillus","Ornithopus perpusillus","1",5
324009,"R-P24009","Raphanus raphanistrum","Raphanus raphanistrum","+",1
324009,"R-P24009","Rumex angiocarpus","Rumex acetosella","+",1
324009,"R-P24009","Scleranthus annuus subsp. polycarpos","Scleranthus polycarpos","e",15
324009,"R-P24009","Vicia sativa subsp. nigra","Vicia sativa","+",1
324010,"R-P24010","Anthemis arvensis","Anthemis arvensis","3",37.5
324010,"R-P24010","Aphanes microcarpa","Aphanes microcarpa","+",1
324010,"R-P24010","Arnoseris minima","Arnoseris minima","1",5
324010,"R-P24010","Centranthus calcitrapae","Centranthus calcitrapae","*",1
324010,"R-P24010","Conopodium majus subsp. ramosum","Conopodium arvense","y",0.1
324010,"R-P24010","Centaurea cyanus","Cyanus segetum","1",5
324010,"R-P24010","Logfia minima","Filago minima","+",1
324010,"R-P24010","Micropyrum tenellum","Micropyrum tenellum","1",5
324010,"R-P24010","Odontites verna subsp. verna","Odontites vernus","1",5
324010,"R-P24010","Raphanus raphanistrum","Raphanus raphanistrum","+",1
324010,"R-P24010","Rumex angiocarpus","Rumex acetosella","+",1
324010,"R-P24010","Scleranthus annuus subsp. polycarpos","Scleranthus polycarpos","e",15
324010,"R-P24010","Vicia sativa subsp. nigra","Vicia sativa","y",0.1
324011,"R-P24011","Bromus sterilis","Anisantha sterilis","e",15
324011,"R-P24011","Anthemis arvensis","Anthemis arvensis","e",15
324011,"R-P24011","Aphanes arvensis","Aphanes arvensis","e",15
324011,"R-P24011","Crepis capillaris","Crepis capillaris","2",15
324011,"R-P24011","Galium mollugo","Galium mollugo","+",1
324011,"R-P24011","Chrysanthemum segetum","Glebionis segetum","+",1
324011,"R-P24011","Medicago arabica","Medicago arabica","1",5
324011,"R-P24011","Myosotis arvensis","Myosotis arvensis","1",5
324011,"R-P24011","Papaver rhoeas","Papaver rhoeas","1",5
324011,"R-P24011","Ranunculus parviflorus","Ranunculus parviflorus","+",1
324011,"R-P24011","Raphanus raphanistrum","Raphanus raphanistrum","1",5
324011,"R-P24011","Sonchus oleraceus","Sonchus oleraceus","1",5
324011,"R-P24011","Vicia hirsuta","Vicia hirsuta","1",5
324011,"R-P24011","Vicia sativa subsp. nigra","Vicia sativa","1",5
324011,"R-P24011","Viola arvensis","Viola arvensis","1",5
324015,"R-P24015","Anthriscus caucalis","Anthriscus caucalis","+",1
324015,"R-P24015","Calendula arvensis","Calendula arvensis","2",15
324015,"R-P24015","Centranthus calcitrapae","Centranthus calcitrapae","a",5
324015,"R-P24015","Cerastium glomeratum","Cerastium glomeratum","4",62.5
324015,"R-P24015","Erodium botrys","Erodium botrys","+",1
324015,"R-P24015","Fumaria reuteri","Fumaria reuteri","f",15
324015,"R-P24015","Galium aparine","Galium aparine","+",1
324015,"R-P24015","Geranium molle","Geranium molle","+",1
324015,"R-P24015","Hypochoeris radicata","Hypochaeris radicata","+",1
324015,"R-P24015","Jasione montana","Jasione montana","&",1
324015,"R-P24015","Leontodon taraxacoides subsp. longirostris","Leontodon saxatilis ","+",1
324015,"R-P24015","Linaria amethystea","Linaria amethystea","a",5
324015,"R-P24015","Medicago lupulina","Medicago lupulina","a",5
324015,"R-P24015","Mercurialis annua","Mercurialis annua","+",1
324015,"R-P24015","Mibora ninima","Mibora minima","3",37.5
324015,"R-P24015","Poa annua","Ochlopoa annua","+",1
324015,"R-P24015","Papaver dubium","Papaver dubium","*",1
324015,"R-P24015","Ranunculus parviflorus","Ranunculus parviflorus","+",1
324015,"R-P24015","Rumex induratus","Rumex induratus","+",1
324015,"R-P24015","Senecio vulgaris","Senecio vulgaris","a",5
324015,"R-P24015","Sonchus oleraceus","Sonchus oleraceus","+",1
324015,"R-P24015","Spergula arvensis","Spergula arvensis","3",37.5
324015,"R-P24015","Stachys arvensis","Stachys arvensis","1",5
324015,"R-P24015","Stellaria media","Stellaria media","2",15
324015,"R-P24015","Trifolium arvense","Trifolium arvense","y",0.1
324015,"R-P24015","Veronica arvensis","Veronica arvensis","1",5
324015,"R-P24015","Vicia disperma","Vicia disperma","b",5
324016,"R-P24016","Calendula arvensis","Calendula arvensis","f",15
324016,"R-P24016","Centranthus calcitrapae","Centranthus calcitrapae","1",5
324016,"R-P24016","Cerastium glomeratum","Cerastium glomeratum","3",37.5
324016,"R-P24016","Erodium botrys","Erodium botrys","1",5
324016,"R-P24016","Fumaria reuteri","Fumaria reuteri","f",15
324016,"R-P24016","Chrysanthemum segetum","Glebionis segetum","*",1
324016,"R-P24016","Hypochoeris radicata","Hypochaeris radicata","+",1
324016,"R-P24016","Linaria amethystea","Linaria amethystea","2",15
324016,"R-P24016","Mibora ninima","Mibora minima","3",37.5
324016,"R-P24016","Myosotis discolor","Myosotis discolor","+",1
324016,"R-P24016","Poa annua","Ochlopoa annua","+",1
324016,"R-P24016","Ornithopus compressus","Ornithopus compressus","y",0.1
324016,"R-P24016","Papaver dubium","Papaver dubium","*",1
324016,"R-P24016","Pimpinella villosa","Pimpinella villosa","+",1
324016,"R-P24016","Rumex acetosella","Rumex acetosella","a",5
324016,"R-P24016","Senecio lividus","Senecio lividus","+",1
324016,"R-P24016","Senecio vulgaris","Senecio vulgaris","1",5
324016,"R-P24016","Sonchus oleraceus","Sonchus oleraceus","+",1
324016,"R-P24016","Spergula arvensis","Spergula arvensis","e",15
324016,"R-P24016","Stellaria media","Stellaria media","1",5
324016,"R-P24016","Trifolium arvense","Trifolium arvense","*",1
324016,"R-P24016","Vicia hirsuta","Vicia hirsuta","b",5
324016,"R-P24016","Vicia lutea","Vicia lutea","+",1
324016,"R-P24016","Vicia sativa","Vicia sativa","+",1
324017,"R-P24017","Andryala integrifolia","Andryala integrifolia","+",1
324017,"R-P24017","Anthemis arvensis","Anthemis arvensis","+",1
324017,"R-P24017","Anthoxanthum aristatum","Anthoxanthum ovatum","2",15
324017,"R-P24017","Arabidopsis thaliana","Arabidopsis thaliana","+",1
324017,"R-P24017","Cerastium glomeratum","Cerastium glomeratum","2",15
324017,"R-P24017","Convolvulus arvensis","Convolvulus arvensis","1",5
324017,"R-P24017","Crepis capillaris","Crepis capillaris","*",1
324017,"R-P24017","Fumaria reuteri","Fumaria reuteri","1",5
324017,"R-P24017","Hypochoeris glabra","Hypochaeris glabra","+",1
324017,"R-P24017","Hypochoeris radicata","Hypochaeris radicata","+",1
324017,"R-P24017","Leucanthemopsis pallida subsp. flaveola","Leucanthemopsis flaveola","f",15
324017,"R-P24017","Linaria amethystea","Linaria amethystea","1",5
324017,"R-P24017","Lotus corniculatus","Lotus corniculatus","+",1
324017,"R-P24017","Myosotis discolor","Myosotis discolor","+",1
324017,"R-P24017","Ornithopus perpusillus","Ornithopus perpusillus","+",1
324017,"R-P24017","Papaver dubium","Papaver dubium","1",5
324017,"R-P24017","Rumex acetosella","Rumex acetosella","e",15
324017,"R-P24017","Senecio gallicus","Senecio gallicus","a",5
324017,"R-P24017","Senecio lividus","Senecio lividus","+",1
324017,"R-P24017","Sesamoides canescens","Sesamoides interrupta","+",1
324018,"R-P24018","Calendula arvensis","Calendula arvensis","1",5
324018,"R-P24018","Cardamine hirsuta","Cardamine hirsuta","y",0.1
324018,"R-P24018","Carduus tenuiflorus","Carduus tenuiflorus","+",1
324018,"R-P24018","Centranthus calcitrapae","Centranthus calcitrapae","y",0.1
324018,"R-P24018","Dactylis glomerata","Dactylis glomerata","+",1
324018,"R-P24018","Erodium cicutarium","Erodium cicutarium","1",5
324018,"R-P24018","Foeniculum vulgare","Foeniculum vulgare","+",1
324018,"R-P24018","Fumaria reuteri","Fumaria reuteri","1",5
324018,"R-P24018","Geranium rotundifolium","Geranium rotundifolium","1",5
324018,"R-P24018","Holcus Lanatus","Holcus lanatus","y",0.1
324018,"R-P24018","Leontodon taraxacoides subsp. longirostris","Leontodon saxatilis ","+",1
324018,"R-P24018","Linaria amethystea","Linaria amethystea","a",5
324018,"R-P24018","Mercurialis annua","Mercurialis annua","*",1
324018,"R-P24018","Mibora ninima","Mibora minima","e",15
324018,"R-P24018","Papaver dubium","Papaver dubium","1",5
324018,"R-P24018","Ranunculus parviflorus","Ranunculus parviflorus","1",5
324018,"R-P24018","Raphanus raphanistrum","Raphanus raphanistrum","+",1
324018,"R-P24018","Senecio vulgaris","Senecio vulgaris","1",5
324018,"R-P24018","Stellaria media","Stellaria media","e",15
324018,"R-P24018","Taraxacum officinale","Taraxacum","+",1
324018,"R-P24018","Trifolium repens","Trifolium repens","a",5
324018,"R-P24018","Veronica arvensis","Veronica arvensis","+",1
324018,"R-P24018","Veronica hederifolla","Veronica hederifolia","+",1
324018,"R-P24018","Vicia lutea","Vicia lutea","+",1
324018,"R-P24018","Vicia sativa","Vicia sativa","a",5
324019,"R-P24019","Andryala integrifolia","Andryala integrifolia","+",1
324019,"R-P24019","Calendula arvensis","Calendula arvensis","2",15
324019,"R-P24019","Centranthus calcitrapae","Centranthus calcitrapae","y",0.1
324019,"R-P24019","Cerastium glomeratum","Cerastium glomeratum","2",15
324019,"R-P24019","Crepis capillaris","Crepis capillaris","+",1
324019,"R-P24019","Fumaria reuteri","Fumaria reuteri","3",37.5
324019,"R-P24019","Hypochoeris radicata","Hypochaeris radicata","1",5
324019,"R-P24019","Lamium amplexicaule","Lamium amplexicaule","*",1
324019,"R-P24019","Linaria amethystea","Linaria amethystea","a",5
324019,"R-P24019","Mercurialis annua","Mercurialis annua","y",0.1
324019,"R-P24019","Mibora ninima","Mibora minima","1",5
324019,"R-P24019","Poa annua","Ochlopoa annua","1",5
324019,"R-P24019","Papaver dubium","Papaver dubium","+",1
324019,"R-P24019","Senecio vulgaris","Senecio vulgaris","a",5
324019,"R-P24019","Sonchus oleraceus","Sonchus oleraceus","+",1
324019,"R-P24019","Spergula arvensis","Spergula arvensis","+",1
324019,"R-P24019","Stellaria media","Stellaria media","2",15
324019,"R-P24019","Trifolium repens","Trifolium repens","*",1
324021,"R-P24021","Bromus diandrus","Anisantha diandra","e",15
324021,"R-P24021","Anthemis arvensis","Anthemis arvensis","+",1
324021,"R-P24021","Avena barbata","Avena barbata","f",15
324021,"R-P24021","Carduus tenuiflorus","Carduus tenuiflorus","y",0.1
324021,"R-P24021","Convolvulus arvensis","Convolvulus arvensis","+",1
324021,"R-P24021","Geranium molle","Geranium molle","a",5
324021,"R-P24021","Hirschfeldia incana","Hirschfeldia incana","e",15
324021,"R-P24021","Hordeum murinum subsp. murinum","Hordeum murinum","2",15
324021,"R-P24021","Lolium perenne","Lolium perenne","+",1
324021,"R-P24021","Malva sylvestris","Malva sylvestris","a",5
324021,"R-P24021","Plantago lanceolata","Plantago lanceolata","1",5
324021,"R-P24021","Rumex obtusifolius","Rumex obtusifolius","y",0.1
324021,"R-P24021","Trifolium pratense","Trifolium pratense","+",1
324021,"R-P24021","Vicia sativa","Vicia sativa","*",1
324022,"R-P24022","Bromus diandrus","Anisantha diandra","+",1
324022,"R-P24022","Bromus sterilis","Anisantha sterilis","2",15
324022,"R-P24022","Calepina irregularis","Calepina irregularis","y",0.1
324022,"R-P24022","Galium aparine","Galium aparine","*",1
324022,"R-P24022","Hirschfeldia incana","Hirschfeldia incana","+",1
324022,"R-P24022","Hordeum murinum subsp. murinum","Hordeum murinum","3",37.5
324022,"R-P24022","Lactuca serriola","Lactuca serriola","+",1
324022,"R-P24022","Mentha suaveolens","Mentha suaveolens","+",1
324022,"R-P24022","Poa annua","Ochlopoa annua","+",1
324022,"R-P24022","Plantago lanceolata","Plantago lanceolata","+",1
324022,"R-P24022","Sisymbrium officinale","Sisymbrium officinale","+",1
