"SIVIMID","Sintaxon","Relevé.number","Temp","Precip","UTM10X10","UTM1X1","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Authors","Year","Title","Publication","EUNIS2020","Type","DEG_LON","DEG_LAT","Accuracy","Elevation","ANTHROPIC","Vegetation","Class","Order","Alliance","Twinspan"
"T-P05151","Fumario capreolatae-Veronicetum persicae",505151,141,14232,"30TVP60","",15060,6,"Laredo","","ATL_COAST","N_DUNES",NA,"",NA,8,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V32   ","No forest",-3.407921691,43.41210307,"3 - UTM10x10 + Elevation",6,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05152","Fumario capreolatae-Veronicetum persicae",505152,142,14387,"30TVP60","",15061,6,"Laredo","","ATL_COAST","N_DUNES",NA,"",NA,10,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.427658288,43.4084292,"3 - UTM10x10 + Elevation",6,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05153","Fumario capreolatae-Veronicetum persicae",505153,138,14041,"30TVN69","",15062,20,"Ampuero","","ATL_COAST","N_DUNES",NA,"",NA,60,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.412385948,43.34185211,"3 - UTM10x10 + Elevation",20,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05154","Fumario capreolatae-Veronicetum persicae",505154,139,14099,"30TVN69","",15063,10,"Ampuero","","ATL_COAST","N_DUNES",NA,"",NA,100,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.427152425,43.33639519,"3 - UTM10x10 + Elevation",10,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05155","Fumario capreolatae-Veronicetum persicae",505155,140,13964,"30TVP60","",15064,8,"Colindres","","ATL_COAST","N_DUNES",NA,"",NA,100,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.482028566,43.41181472,"3 - UTM10x10 + Elevation",8,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05156","Fumario capreolatae-Veronicetum persicae",505156,139,13963,"30TVP60","30TVP6905",15065,40,"Liendo","","ATL_COAST","N_DUNES",NA,"",NA,100,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.370812932,43.40322498,"1 - UTM1x1 + Elevation",40,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05157","Fumario capreolatae-Veronicetum persicae",505157,139,14459,"30TVN69","30TVN6492",15066,60,"Ramales de la Victoria","","ATL_COAST","N_DUNES",NA,"",NA,100,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.434207631,43.28774388,"1 - UTM1x1 + Elevation",60,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05158","Fumario capreolatae-Veronicetum persicae",505158,121,12416,"30TVN68","30TVN6182",15067,450,"Soba","","ATL_COAST","N_DUNES",NA,"",NA,15,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.472939711,43.19574246,"1 - UTM1x1 + Elevation",450,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05159","Fumario capreolatae-Veronicetum persicae",505159,117,14108,"30TVN58","30TVN5381",15068,400,"Soba","","ATL_COAST","N_DUNES",NA,"",NA,40,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.571297047,43.18448787,"2 - UTM1x1 + Centroid",400,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05160","Fumario capreolatae-Veronicetum persicae",505160,135,14196,"30TVP61","30TVP6311",15069,150,"Santoña","","ATL_COAST","N_DUNES",NA,"",NA,12,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.447737463,43.45157345,"1 - UTM1x1 + Elevation",150,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05161","Fumario capreolatae-Veronicetum persicae",505161,136,14517,"30TVP61","30TVP6311",15070,150,"Santoña","","ATL_COAST","N_DUNES",NA,"",NA,10,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V37   ","No forest",-3.447764035,43.45517509,"1 - UTM1x1 + Elevation",150,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05162","Fumario capreolatae-Veronicetum persicae",505162,140,14170,"30TVP60","30TVP6706",15071,10,"Laredo","","ATL_COAST","N_DUNES",NA,"",NA,10,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V37   ","No forest",-3.402981194,43.41212059,"1 - UTM1x1 + Elevation",10,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05163","Fumario capreolatae-Veronicetum persicae",505163,134,14234,"30TVP60","30TVP6603",15072,220,"Limpias","","ATL_COAST","N_DUNES",NA,"",NA,100,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.410221807,43.3868824,"1 - UTM1x1 + Elevation",220,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05164","Fumario capreolatae-Veronicetum persicae",505164,139,14711,"30TVP70","30TVP7003",15073,60,"Liendo","","ATL_COAST","N_DUNES",NA,"",NA,80,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.363306397,43.38704106,"1 - UTM1x1 + Elevation",60,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05165","Fumario capreolatae-Veronicetum persicae",505165,135,13658,"30TVN68","30TVN6289",15074,90,"Ramales de la Victoria","","ATL_COAST","N_DUNES",NA,"",NA,8,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V37   ","No forest",-3.456138786,43.25344087,"1 - UTM1x1 + Elevation",90,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05166","Fumario capreolatae-Veronicetum persicae",505166,137,15263,"30TVN68","30TVN6089",15075,90,"Ramales de la Victoria","","ATL_COAST","N_DUNES",NA,"",NA,10,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V37   ","No forest",-3.490660904,43.25689987,"1 - UTM1x1 + Elevation",90,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05167","Fumario capreolatae-Veronicetum persicae",505167,128,14430,"30TVN68","30TVN6083",15076,280,"Soba","","ATL_COAST","N_DUNES",NA,"",NA,50,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.487751603,43.20108313,"1 - UTM1x1 + Elevation",280,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05168","Fumario capreolatae-Veronicetum persicae",505168,136,15692,"30TVN59","30TVN5191",15077,250,"Arredondo","","ATL_COAST","N_DUNES",NA,"",NA,10,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.599284675,43.27799351,"1 - UTM1x1 + Elevation",250,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05169","Fumario capreolatae-Veronicetum persicae",505169,141,14090,"30TVP70","30TVP7306",15078,50,"Castro Urdiales, Sonabia","","ATL_COAST","N_DUNES",NA,"",NA,6,"0749a","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.326402973,43.4123648,"1 - UTM1x1 + Elevation",50,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05170","Fumario capreolatae-Veronicetum persicae",505170,141,NA,"30TVP70","30TVP7306",15042,60,"Castro Urdiales, Sonabia","","ATL_COAST","N_DUNES",NA,"",NA,10,"0749b","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V32   ","No forest",-3.323903901,43.40696924,"1 - UTM1x1 + Elevation",60,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05171","Fumario capreolatae-Veronicetum persicae",505171,139,13846,"30TVP70","30TVP7006",15080,40,"Liendo","","ATL_COAST","N_DUNES",NA,"",NA,6,"0749b","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V32   ","No forest",-3.365916494,43.41044431,"1 - UTM1x1 + Elevation",40,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05172","Fumario capreolatae-Veronicetum persicae",505172,144,14102,"30TVP60","30TVP6407",15081,8,"Laredo","","ATL_COAST","N_DUNES",NA,"",NA,10,"0749b","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.437616441,43.41919683,"1 - UTM1x1 + Elevation",8,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05173","Fumario capreolatae-Veronicetum persicae",505173,139,14190,"30TVP60","",15082,10,"Laredo","","ATL_COAST","N_DUNES",NA,"",NA,8,"0749b","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V32   ","No forest",-3.429822882,43.36519965,"3 - UTM10x10 + Elevation",10,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05174","Fumario capreolatae-Veronicetum persicae",505174,141,14387,"30TVP60","",15083,6,"Laredo","","ATL_COAST","N_DUNES",NA,"",NA,6,"0749b","Herrera, Mercedes","1995","Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria)."," Guineana, 1: 1-453."," V15   ","No forest",-3.430102895,43.40481826,"3 - UTM10x10 + Elevation",6,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P05975","Chelidonio maji-Smyrnietum olusatri",505975,147,15648,"29TNG17","",15596,60,"Cangas, Nerga","","ATL_COAST","N_DUNES",95,"N",5,15,"2333a","Amigo Vázquez, J. & Romero Buján, M.I.","1997","'Comportamiento fitosociológico de Smyrnium olusatrum L. en el noroeste ibérico'.","Lazaroa, 18: 153-164."," V32   ","No forest",-8.764134987,42.26992447,"3 - UTM10x10 + Elevation",60,"Yes","ANTHROPOGENIC VEGETATION","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","V15Z Weeds of rich soils"
"T-P07935","Xanthio-Polygonetum persicariae",507935,119,11823,"30TXN15","30TXN1154",15936,520,"Odieta, Ciaurriz, río Ulzama","","ATL_COAST","N_DUNES",NA,"",NA,30,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," V15   ","No forest",-1.632632329,42.93281139,"1 - UTM1x1 + Elevation",520,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P07937","Xanthio-Polygonetum persicariae",507937,127,8286,"30TXN03","30TXN0039",15937,390,"Olza, Ibero, río Arakil","","ATL_COAST","N_DUNES",NA,"",NA,40,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," V15   ","No forest",-1.662699505,42.78908468,"3 - UTM10x10 + Elevation",390,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P07941","Xanthio-Polygonetum persicariae",507941,121,8994,"30TXN14","30TXN1341",15938,420,"Burlada, río Arga","","ATL_COAST","N_DUNES",NA,"",NA,30,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," V15   ","No forest",-1.613081875,42.8209131,"1 - UTM1x1 + Elevation",420,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P07943","Xanthio-Polygonetum persicariae",507943,113,14203,"30TWN92","30TWN9423",15939,340,"Puente la Reina, río Arga","","ATL_COAST","N_DUNES",NA,"",NA,40,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," V15   ","No forest",-7,43,"5 - UTMs missing from DEM",340,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P07948","Xanthio-Polygonetum persicariae",507948,114,10088,"30TWN93","30TWN9534",15940,370,"Belascoain, río Arga","","ATL_COAST","N_DUNES",NA,"",NA,50,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," C35a  ","No forest",-1.865425645,42.78764921,"4 - UTM10x10 + Centroid",370,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P07949","Xanthio-Polygonetum persicariae",507949,113,14203,"30TWN92","30TWN9521",15941,330,"Mañeru, Soto Aldea, río Arga","","ATL_COAST","N_DUNES",NA,"",NA,20,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," V15   ","No forest",-7,43,"5 - UTMs missing from DEM",330,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P07953","Xanthio-Polygonetum persicariae",507953,113,14203,"30TWN92","30TWN9423",15942,340,"Puente la Reina, río Arga","","ATL_COAST","N_DUNES",NA,"",NA,20,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," V15   ","No forest",-7,43,"5 - UTMs missing from DEM",340,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P07954","Xanthio-Polygonetum persicariae",507954,124,10074,"30TXN14","30TXN1342",15943,420,"Burlada, río Arga","","ATL_COAST","N_DUNES",NA,"",NA,30,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," V15   ","No forest",-1.608149638,42.82265427,"1 - UTM1x1 + Elevation",420,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P07957","Xanthio-Polygonetum persicariae",507957,113,14203,"30TWN92","30TWN9520",15944,330,"Mendigorria, río Arga","","ATL_COAST","N_DUNES",NA,"",NA,8,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," R55   ","No forest",-7,43,"5 - UTMs missing from DEM",330,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P07961","Xanthio-Polygonetum persicariae",507961,128,8406,"30TXN03","30TXN0039",15945,390,"Olza, Ibero, río Arakil","","ATL_COAST","N_DUNES",NA,"",NA,15,"0215d","Biurrun, I.","1999","Flora y vegetación de los ríos y humedales de Navarra."," Guineana, 5: 1-338."," V37   ","No forest",-1.662544403,42.79628705,"3 - UTM10x10 + Elevation",390,"Yes","ANTHROPOGENIC VEGETATION","Bidentetea","Bidentetalia","Bidention tripartitae","V15Z Weeds of rich soils"
"T-P10738","Setario-Echinochloetum colonae",510738,110,6849,"29TQG33","",17109,750,"Bercianos","","ATL_COAST","N_DUNES",50,"",NA,35,"169","Navarro Andrés, F. & Valle Gutiérrez, C.J.","1984","Vegetación herbácea del centro-occidente zamorano."," Studia Botanica, 3:63-177."," V37   ","No forest",-6.169282088,41.85661338,"4 - UTM10x10 + Centroid",750,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P10739","Setario-Echinochloetum colonae",510739,110,6849,"29TQG33","",17110,760,"Bercianos","","ATL_COAST","N_DUNES",60,"",NA,30,"169","Navarro Andrés, F. & Valle Gutiérrez, C.J.","1984","Vegetación herbácea del centro-occidente zamorano."," Studia Botanica, 3:63-177."," V37   ","No forest",-6.169282088,41.85661338,"4 - UTM10x10 + Centroid",760,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12049","Amarantho hybridi-Chenopodietum polyspermi",512049,125,7900,"29TPH91","",17619,500,"Ponferrada","","ATL_COAST","N_DUNES",NA,"",NA,NA,"2484","Penas Merino, Ángel; Díaz González, Tomás E.; Puente García, Emilio; García González, Marta E. & Terrón Alfonso, Arsenio","1988","Aportaciones al conocimiento de las comunidades de malas hierbas de cultivo en la província de León."," Acta Bot. Barc., 37: 317-330."," V37   ","No forest",-6.628735997,42.57369008,"3 - UTM10x10 + Elevation",500,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12081","Holosteo umbellati-Veronicetum persicae",512081,123,8368,"29TPH81","",17598,480,"Villaverde de la Abadia","","ATL_COAST","N_DUNES",60,"",NA,50,"2891","Penas Merino, Ángel; Díaz González, Tomás E.; Puente García, Emilio; García González, Marta E. & Terrón Alfonso, Arsenio","1988","Aportaciones al conocimiento de las comunidades de malas hierbas de cultivo en la província de León."," Acta Bot. Barc., 37: 317-330."," V15   ","No forest",-6.783677537,42.59748459,"3 - UTM10x10 + Elevation",480,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12082","Holosteo umbellati-Veronicetum persicae",512082,103,10210,"29TQH22","",17599,830,"Boeza","","ATL_COAST","N_DUNES",80,"",NA,50,"2891","Penas Merino, Ángel; Díaz González, Tomás E.; Puente García, Emilio; García González, Marta E. & Terrón Alfonso, Arsenio","1988","Aportaciones al conocimiento de las comunidades de malas hierbas de cultivo en la província de León."," Acta Bot. Barc., 37: 317-330."," V15   ","No forest",-6.264961345,42.65308025,"3 - UTM10x10 + Elevation",830,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12083","Holosteo umbellati-Veronicetum persicae",512083,120,8816,"29TPH90","",17600,510,"Villalibre de la Jurisdicción","","ATL_COAST","N_DUNES",80,"",NA,100,"2891","Penas Merino, Ángel; Díaz González, Tomás E.; Puente García, Emilio; García González, Marta E. & Terrón Alfonso, Arsenio","1988","Aportaciones al conocimiento de las comunidades de malas hierbas de cultivo en la província de León."," Acta Bot. Barc., 37: 317-330."," V15   ","No forest",-6.678433678,42.507273,"3 - UTM10x10 + Elevation",510,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12084","Holosteo umbellati-Veronicetum persicae",512084,124,9275,"29TPH90","",17601,510,"Villalibre de la Jurisdicción","","ATL_COAST","N_DUNES",30,"",NA,25,"2891","Penas Merino, Ángel; Díaz González, Tomás E.; Puente García, Emilio; García González, Marta E. & Terrón Alfonso, Arsenio","1988","Aportaciones al conocimiento de las comunidades de malas hierbas de cultivo en la província de León."," Acta Bot. Barc., 37: 317-330."," V15   ","No forest",-6.659523567,42.51688346,"3 - UTM10x10 + Elevation",510,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12085","Holosteo umbellati-Veronicetum persicae",512085,122,8263,"29TPH81","",17602,480,"Villaverde de la Abadia","","ATL_COAST","N_DUNES",80,"",NA,50,"2891","Penas Merino, Ángel; Díaz González, Tomás E.; Puente García, Emilio; García González, Marta E. & Terrón Alfonso, Arsenio","1988","Aportaciones al conocimiento de las comunidades de malas hierbas de cultivo en la província de León."," Acta Bot. Barc., 37: 317-330."," V15   ","No forest",-6.777182291,42.57068697,"3 - UTM10x10 + Elevation",480,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12086","Holosteo umbellati-Veronicetum persicae",512086,124,8042,"29TPH81","",17603,480,"Villaverde de la Abadia","","ATL_COAST","N_DUNES",90,"",NA,50,"2891","Penas Merino, Ángel; Díaz González, Tomás E.; Puente García, Emilio; García González, Marta E. & Terrón Alfonso, Arsenio","1988","Aportaciones al conocimiento de las comunidades de malas hierbas de cultivo en la província de León."," Acta Bot. Barc., 37: 317-330."," V15   ","No forest",-6.755406046,42.57320459,"3 - UTM10x10 + Elevation",480,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12293","Setario-Echinochloetum colonae",512293,104,16982,"29TQH15","",17298,900,"Villablino","","ATL_COAST","N_DUNES",100,"",NA,15,"169","Puente García, Emilio","1988","Flora y vegetación de la cuenca alta del río Sil."," Instituación Fray Bernardino de Sahagún. Diput. Prov. de León. 536 pp."," V     ","No forest",-6.418686539,42.8754966,"3 - UTM10x10 + Elevation",900,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12294","Setario-Echinochloetum colonae",512294,99,10294,"29TQH05","",17299,920,"Palacios del Sil","","ATL_COAST","N_DUNES",70,"",NA,30,"169","Puente García, Emilio","1988","Flora y vegetación de la cuenca alta del río Sil."," Instituación Fray Bernardino de Sahagún. Diput. Prov. de León. 536 pp."," V15   ","No forest",-6.450563657,42.87634,"3 - UTM10x10 + Elevation",920,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12295","Setario-Echinochloetum colonae",512295,96,12602,"29TQH15","",17300,960,"Cuevas del Sil","","ATL_COAST","N_DUNES",80,"",NA,30,"169","Puente García, Emilio","1988","Flora y vegetación de la cuenca alta del río Sil."," Instituación Fray Bernardino de Sahagún. Diput. Prov. de León. 536 pp."," V37   ","No forest",-6.326442569,42.93584328,"3 - UTM10x10 + Elevation",960,"Yes","ANTHROPOGENIC VEGETATION","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","V15Z Weeds of rich soils"
"T-P12298","Aperetalia spicae-venti",512298,101,14302,"29TQH15","",17303,910,"Cuevas de Sil","","ATL_COAST","N_DUNES",40,"",NA,25,"O133","Puente García, Emilio","1988","Flora y vegetación de la cuenca alta del río Sil."," Instituación Fray Bernardino de Sahagún. Diput. Prov. de León. 536 pp."," V11   ","No forest",-6.397575147,42.89233314,"3 - UTM10x10 + Elevation",910,"Yes","ANTHROPOGENIC VEGETATION","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","V15Z Weeds of rich soils"
