"Relevé number","SIVIMID","EUNIS_REVISED","EUNIS2020","PCluster","Class","Order","Alliance","Sintaxon","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"114","R-P24656","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","N",NA,5,2012,-6.673297363,42.33635588,"1 - UTM1x1 + Elevation",902
"115","R-P24657","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","N",15,10,2012,-6.677199256,42.32002271,"1 - UTM1x1 + Elevation",1050
"116","R-P24658","V39"," R55   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","S",40,3,2012,-6.543966388,42.28100147,"1 - UTM1x1 + Elevation",866
"117","R-P24659","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","W",3,10,2012,-6.794126269,42.40805166,"2 - UTM1x1 + Centroid",730
"118","R-P24660","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","E",NA,6,2012,-6.787392057,42.41727889,"1 - UTM1x1 + Elevation",403
"119","R-P24661","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","NW",NA,10,2012,-6.789817624,42.41719861,"1 - UTM1x1 + Elevation",397
"120","R-P24662","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",60,30,2012,-6.69268168,42.41857237,"1 - UTM1x1 + Elevation",474
"121","R-P24663","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,8,2012,-6.727176107,42.42645875,"1 - UTM1x1 + Elevation",435
"122","R-P24664","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,3,2012,-6.628567767,42.40261375,"1 - UTM1x1 + Elevation",906
"123","R-P24665","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,3,2012,-6.727896352,42.39762161,"1 - UTM1x1 + Elevation",951
"124","R-P24666","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",5,7,2012,-6.7084962,42.39825169,"1 - UTM1x1 + Elevation",797
"125","R-P24667","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",5,10,2012,-6.669707884,42.35808151,"1 - UTM1x1 + Elevation",845
"126","R-P24668","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",NA,5,2012,-6.516097979,42.34669323,"1 - UTM1x1 + Elevation",1200
"127","R-P24669","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","",15,10,2012,-6.703963652,42.40380101,"1 - UTM1x1 + Elevation",791
"128","R-P24670","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Chelidonio maji-Smyrnietum olusatri","",NA,10,2012,-6.658718358,42.41966287,"1 - UTM1x1 + Elevation",610
"129","R-P24671","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",3,3,2012,-6.54860636,42.27725598,"1 - UTM1x1 + Elevation",889
"130","R-P24672","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","W",NA,20,2012,-6.628567767,42.40261375,"1 - UTM1x1 + Elevation",890
"131","R-P24673","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",5,15,2012,-6.806796313,42.41663522,"1 - UTM1x1 + Elevation",375
"132","R-P24674","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","N",10,5,2012,-6.736346023,42.41715555,"1 - UTM1x1 + Elevation",674
"133","R-P24675","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","W",3,6,2012,-6.704069534,42.40559845,"1 - UTM1x1 + Elevation",700
"134","R-P24676","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,8,2012,-6.814727332,42.42717622,"1 - UTM1x1 + Elevation",366
"135","R-P24677","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,2012,-6.628592361,42.27655082,"1 - UTM1x1 + Elevation",1190
"136","R-P28995","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Chenopodio boni-henrici-Senecionetum nebrodensis","",NA,4,2014,-3.681499287,43.1352586,"1 - UTM1x1 + Elevation",1420
"137","R-P29001","V39"," V     ",0,"Epilobietea angustifolii","Circaeo lutetianae-Stachyetalia sylvaticae","Aegopodion podagrariae","Galio aparines-Anthriscetum sylvestris","",NA,100,2014,-3.553063157,43.07291722,"1 - UTM1x1 + Elevation",770
"138","R-P29002","V39"," V39   ",7,"Epilobietea angustifolii","Circaeo lutetianae-Stachyetalia sylvaticae","Aegopodion podagrariae","Galio aparines-Anthriscetum sylvestris","",NA,60,2014,-3.570626544,43.11245261,"2 - UTM1x1 + Centroid",760
"139","R-P29004","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,80,2014,-3.4600105,43.11295076,"2 - UTM1x1 + Centroid",750
"140","R-P29005","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,100,2014,-3.597753212,43.12131899,"1 - UTM1x1 + Elevation",840
"141","R-P29006","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,100,2014,-3.597700622,43.11591634,"1 - UTM1x1 + Elevation",840
"142","R-P29007","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,30,2014,-3.595207484,43.11232738,"2 - UTM1x1 + Centroid",820
"143","S-P11129","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1989,-4.457617041,42.9911302,"1 - UTM1x1 + Elevation",1200
"144","S-P11130","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Senecioni duriaei-Chenopodietum boni-henrici","N",2,10,1989,-4.429480143,43.04731528,"1 - UTM1x1 + Elevation",1960
"145","S-P11131","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Senecioni duriaei-Chenopodietum boni-henrici","",NA,10,1989,-4.429521961,43.04911572,"1 - UTM1x1 + Elevation",1760
"146","S-P11132","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Senecioni duriaei-Chenopodietum boni-henrici","SW",5,20,1989,-4.43201878,43.05088546,"1 - UTM1x1 + Elevation",1760
"147","S-P11133","V38"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Senecioni duriaei-Chenopodietum boni-henrici","SE",5,12,1989,-4.341871144,42.97093409,"2 - UTM1x1 + Centroid",1710
"148","S-P11134","V39"," V     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Senecioni duriaei-Chenopodietum boni-henrici","SE",5,8,1989,-4.341871144,42.97093409,"2 - UTM1x1 + Centroid",1710
"149","S-P11135","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Senecioni duriaei-Chenopodietum boni-henrici","",NA,10,1989,-4.407221638,43.04038732,"1 - UTM1x1 + Elevation",1940
"150","S-P11136","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Senecioni duriaei-Chenopodietum boni-henrici","N",10,15,1989,-4.341871144,42.97093409,"2 - UTM1x1 + Centroid",1800
"151","S-P11137","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,20,1989,-4.48897882,42.96911467,"2 - UTM1x1 + Centroid",1070
"152","S-P11138","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,12,1989,-4.48897882,42.96911467,"2 - UTM1x1 + Centroid",1070
"153","S-P11139","V39"," V     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,20,1989,-4.490065996,43.01412495,"2 - UTM1x1 + Centroid",1130
"154","S-P11140","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","SE",5,20,1989,-4.475859575,42.93326482,"2 - UTM1x1 + Centroid",1120
"155","S-P11141","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,20,1989,-4.451145285,42.92457585,"2 - UTM1x1 + Centroid",1070
"156","S-P11142","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,30,1989,-4.452627041,42.9875917,"2 - UTM1x1 + Centroid",1140
"157","S-P11143","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,30,1989,-4.446161128,42.92103694,"1 - UTM1x1 + Elevation",1130
"158","S-P11144","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,20,1989,-4.487612527,43.01415687,"1 - UTM1x1 + Elevation",1200
"159","S-P12113","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","NW",15,15,1975,-6.431495524,43.49997367,"3 - UTM10x10 + Elevation",50
"160","S-P12114","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","NW",10,10,1975,-6.553964927,43.5214375,"3 - UTM10x10 + Elevation",100
"161","S-P12115","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","N",10,15,1975,-6.419789733,43.46791233,"3 - UTM10x10 + Elevation",90
"162","S-P12116","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","NE",10,20,1975,-6.621196556,43.56974371,"3 - UTM10x10 + Elevation",5
"163","S-P12117","V38"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","",NA,20,1975,-6.940918116,43.53574652,"3 - UTM10x10 + Elevation",30
"164","S-P12118","V38"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","",NA,20,1975,-6.999259579,43.55712554,"3 - UTM10x10 + Elevation",20
"165","S-P12119","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","SE",15,20,1975,-6.663215521,43.5684033,"3 - UTM10x10 + Elevation",5
"166","S-P12120","V38"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","N",15,15,1975,-6.145593991,43.56762876,"3 - UTM10x10 + Elevation",10
"167","S-P12121","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","",NA,15,1975,-6.034755943,43.57963101,"3 - UTM10x10 + Elevation",10
"168","S-P12122","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","E",10,15,1975,-7.054020897,43.52458326,"3 - UTM10x10 + Elevation",30
"169","S-P12123","V38"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","SE",20,15,1975,-7.003961648,43.55335946,"3 - UTM10x10 + Elevation",10
"170","S-P12124","V38"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","N",15,20,1975,-6.945734907,43.57159262,"3 - UTM10x10 + Elevation",15
"171","S-P12125","V38"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","",NA,10,1975,-6.962087663,43.55662122,"3 - UTM10x10 + Elevation",15
"172","S-P12126","V38"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","NE",5,15,1975,-7.019259908,43.56002427,"3 - UTM10x10 + Elevation",20
"173","S-P15131","V39"," V     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1967,-2.29159175,43.17831819,"1 - UTM1x1 + Elevation",100
"174","S-P15132","V39"," V     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",2,50,1967,-2.189131221,43.29649937,"1 - UTM1x1 + Elevation",20
"175","S-P15133","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",5,20,1967,-2.25087686,43.28791586,"1 - UTM1x1 + Elevation",25
"176","S-P15134","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,10,1967,-1.895377618,43.31565038,"2 - UTM1x1 + Centroid",80
"177","S-P15135","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",20,50,1967,-1.965249735,43.26767938,"1 - UTM1x1 + Elevation",20
"178","S-P15136","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,100,1967,-2.073035698,43.14794089,"1 - UTM1x1 + Elevation",100
"179","S-P15137","V39","      ?",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",15,20,1967,-2.417635987,43.12139835,"1 - UTM1x1 + Elevation",150
"180","S-P15138","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1967,-1.66010672,43.13484527,"1 - UTM1x1 + Elevation",190
"181","S-P15139","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1967,-1.843525255,43.3187396,"1 - UTM1x1 + Elevation",120
"182","S-P15140","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1967,-1.603399487,43.14137081,"2 - UTM1x1 + Centroid",120
"183","S-P15141","V39","      ?",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",20,50,1967,-2.254396908,43.20149416,"2 - UTM1x1 + Centroid",50
"184","S-P15142","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,50,1967,-1.979371956,43.30742628,"1 - UTM1x1 + Elevation",20
"185","S-P15143","V39"," R55   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",5,200,1967,-1.78376686,43.34693392,"1 - UTM1x1 + Elevation",15
"186","S-P15144","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",25,50,1967,-1.734874045,43.32479284,"1 - UTM1x1 + Elevation",8
"187","S-P15145","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1967,-1.974220923,43.02643256,"1 - UTM1x1 + Elevation",310
"188","S-P15146","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,100,1967,-1.969251875,43.02998989,"1 - UTM1x1 + Elevation",490
"189","S-P15147","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,50,1967,-1.504837161,43.14912973,"2 - UTM1x1 + Centroid",100
"190","S-P15148","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,50,1967,-2.100370981,42.96085661,"1 - UTM1x1 + Elevation",650
"191","S-P15149","V39"," R57   ",0,"Epilobietea angustifolii","Circaeo lutetianae-Stachyetalia sylvaticae","Aegopodion podagrariae","Galio aparines-Anthriscetum sylvestris","",5,100,1967,-1.508988744,42.97809312,"1 - UTM1x1 + Elevation",640
"192","S-P15150","V39"," V38   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Balloto-Conion maculati","",NA,20,1967,-1.710895694,42.94092363,"1 - UTM1x1 + Elevation",530
"193","S-P15151","V39"," R55   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Balloto-Conion maculati","",NA,20,1967,-1.969251875,43.02998989,"1 - UTM1x1 + Elevation",480
"194","S-P15152","V39"," V     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,50,1967,-1.766112841,42.99916413,"2 - UTM1x1 + Centroid",920
"195","S-P15153","V39"," R55   ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranietum robertiano-lucidi","",5,20,1967,-2.269424273,43.17997973,"1 - UTM1x1 + Elevation",120
"196","S-P15154","V39"," R55   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",5,20,1967,-2.262020399,43.18173316,"1 - UTM1x1 + Elevation",120
"197","S-P15155","V39"," R55   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",5,50,1967,-2.269359848,43.18538217,"1 - UTM1x1 + Elevation",190
"198","S-P15156","V39"," R55   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",5,20,1967,-2.41271908,43.12137322,"1 - UTM1x1 + Elevation",180
"199","S-P15157","V39"," V     ",0,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranietum robertiano-lucidi","",NA,20,1967,-2.217657394,43.18684124,"1 - UTM1x1 + Elevation",180
"200","S-P16228","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,20,1987,-5.853391817,42.66948427,"3 - UTM10x10 + Elevation",900
"201","S-P16229","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,4,1987,-5.784118781,42.75763513,"3 - UTM10x10 + Elevation",990
"202","S-P16230","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,20,1987,-5.868498864,42.83839277,"3 - UTM10x10 + Elevation",1050
"203","S-P16231","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,5,1987,-6.28897324,42.69201194,"3 - UTM10x10 + Elevation",860
"204","S-P16232","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,20,1987,-6.276102577,42.63295209,"3 - UTM10x10 + Elevation",800
"205","S-P16233","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,4,1987,-5.838343321,42.82113585,"3 - UTM10x10 + Elevation",1000
"206","S-P16234","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,20,1987,-6.501838542,42.61366083,"3 - UTM10x10 + Elevation",630
"207","S-P16235","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,40,1987,-6.295195632,42.25420972,"3 - UTM10x10 + Elevation",980
"208","S-P16236","V39"," V39   ",7,"Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,25,1987,-6.377725136,42.1653602,"3 - UTM10x10 + Elevation",1090
"209","S-P17963","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1982,-2.739314292,43.21443251,"1 - UTM1x1 + Elevation",110
"210","S-P17964","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,30,1982,-2.734389712,43.21442118,"1 - UTM1x1 + Elevation",110
"211","S-P17965","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1982,-2.662416887,43.31688458,"1 - UTM1x1 + Elevation",90
"212","S-P17966","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1982,-2.657473961,43.3186708,"1 - UTM1x1 + Elevation",80
"213","S-P17967","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,30,1982,-2.65095979,43.16377029,"1 - UTM1x1 + Elevation",180
"214","S-P17968","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,30,1982,-2.648478904,43.16736462,"1 - UTM1x1 + Elevation",180
"215","S-P17969","V39"," V     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,30,1982,-2.646008126,43.16915796,"1 - UTM1x1 + Elevation",180
"216","S-P17970","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1982,-2.575129549,43.10047977,"1 - UTM1x1 + Elevation",250
"217","S-P17971","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,1982,-2.577587227,43.10048887,"1 - UTM1x1 + Elevation",250
"218","S-P17972","V39"," R     ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,10,1982,-2.673561842,43.07739006,"2 - UTM1x1 + Centroid",450
"219","S-P18282","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","S",40,30,1974,-5.92266808,43.15577265,"1 - UTM1x1 + Elevation",850
"220","S-P18283","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","SE",30,30,1974,-5.92266808,43.15577265,"1 - UTM1x1 + Elevation",830
"221","S-P18284","V39"," V38   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,40,1974,-6.025787152,43.20171132,"1 - UTM1x1 + Elevation",300
"222","S-P18285","V39"," R57   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","S",20,40,1974,-6.028245514,43.20164621,"2 - UTM1x1 + Centroid",250
"223","S-P19751","V39"," V39   ",7,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","S",1.8,4,2001,-5.633738198,42.784607,"3 - UTM10x10 + Elevation",970
"224","S-P20421","V39"," R55   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","N",NA,4,1972,-8.828947458,42.2630368,"3 - UTM10x10 + Elevation",50
"225","S-P20422","V39"," H25   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","E",NA,4,1972,-8.821048616,42.25623789,"3 - UTM10x10 + Elevation",60
"226","S-P20423","V35"," V35   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","N",NA,4,1972,-8.768052046,42.20671344,"3 - UTM10x10 + Elevation",50
"227","S-P20424","V37"," V32   ",0,"Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galactito tomentosae-Digitaletum purpureae","N",NA,4,1972,-8.646193414,42.44144945,"3 - UTM10x10 + Elevation",7
