"Releve number","Twinspan2","Class","EUNIS","Sintaxon","SIVIMID","Plant.Cover","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
322254,"Weeds (V15)",4,"V15","Linario eleganti-Anthoxanthetum aristati","R-P22254",30,"SE",5,60,"1999",-8.061560413,42.03309657,"1 - UTM1x1 + Elevation",1000
322255,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22255",90,"",NA,80,"1999",-8.11606147,41.92984124,"1 - UTM1x1 + Elevation",500
322256,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22256",100,"E",NA,40,"1999",-8.064703041,41.9663355,"2 - UTM1x1 + Centroid",480
322257,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22257",90,"W",NA,60,"1999",-8.10724013,41.87981846,"1 - UTM1x1 + Elevation",380
322258,"Weeds (V15)",9,"V37","Chrysantemo segeti-Raphanetum raphanistri","R-P22258",100,"W",NA,30,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410
322259,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22259",90,"W",NA,30,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",412
322260,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22260",85,"SW",NA,40,"1999",-8.099465518,41.87296248,"3 - UTM10x10 + Elevation",425
322261,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22261",90,"E",NA,50,"1999",-8.005130567,41.86653533,"2 - UTM1x1 + Centroid",400
322262,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22262",90,"E",NA,50,"1999",-8.005130567,41.86653533,"2 - UTM1x1 + Centroid",395
322263,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22263",100,"SW",NA,50,"1999",-8.51023593,41.85933625,"3 - UTM10x10 + Elevation",700
322264,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22264",90,"NW",NA,70,"1999",-8.085228607,41.90600619,"1 - UTM1x1 + Elevation",350
322265,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22265",45,"NW",2,100,"1999",-8.085371374,41.90780044,"1 - UTM1x1 + Elevation",350
322266,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22266",100,"",NA,50,"1999",-8.084514966,41.89703488,"1 - UTM1x1 + Elevation",420
322268,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22268",90,"W",NA,60,"1999",-8.062346234,41.9214247,"1 - UTM1x1 + Elevation",450
322269,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22269",90,"W",NA,80,"1999",-8.062488437,41.92321902,"1 - UTM1x1 + Elevation",450
322270,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22270",70,"S",3,40,"1999",-8.010201192,41.90211028,"1 - UTM1x1 + Elevation",850
322271,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22271",100,"W",5,50,"1999",-7.973276132,41.95413704,"1 - UTM1x1 + Elevation",630
322272,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22272",30,"S",5,100,"1999",-8.033090552,41.91731228,"3 - UTM10x10 + Elevation",665
322273,"Weeds (V15)",4,"V15","Chrysantemo segeti-Raphanetum raphanistri","R-P22273",90,"",NA,50,"1999",-7.921455893,41.90775824,"1 - UTM1x1 + Elevation",880
322274,"Weeds (V15)",4,"V15","Lamio amplexicaulis-Veronicetum hederifoliae","R-P22274",70,"W",NA,40,"1999",-7.926537639,41.91114109,"1 - UTM1x1 + Elevation",860
322275,"Weeds (V15)",9,"V","Lamio hybridi-Echinochloetum crus-gallii","R-P22275",20,"W",NA,30,"1999",-8.094550028,41.90199074,"1 - UTM1x1 + Elevation",405
322276,"Weeds (V15)",4,"V15","Lamio hybridi-Echinochloetum crus-gallii","R-P22276",40,"NW",NA,50,"1999",-8.15045287,41.87788344,"1 - UTM1x1 + Elevation",400
322277,"Weeds (V15)",9,"V","Lamio hybridi-Echinochloetum crus-gallii","R-P22277",40,"NE",NA,40,"1999",-8.148196657,41.87978546,"1 - UTM1x1 + Elevation",400
322278,"Weeds (V15)",4,"V","Lamio hybridi-Echinochloetum crus-gallii","R-P22278",35,"W",NA,80,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",425
322279,"Weeds (V15)",4,"V15","Lamio hybridi-Echinochloetum crus-gallii","R-P22279",60,"W",NA,50,"1999",-8.077737788,41.90273734,"1 - UTM1x1 + Elevation",420
322280,"Weeds (V15)",9,"V37","Lamio hybridi-Echinochloetum crus-gallii","R-P22280",40,"S",3,100,"1999",-8.003531808,41.97082532,"1 - UTM1x1 + Elevation",560
322281,"Weeds (V15)",4,"V15","Lamio hybridi-Echinochloetum crus-gallii","R-P22281",50,"NE",NA,40,"1999",-8.096442216,41.95592432,"1 - UTM1x1 + Elevation",840
322282,"Weeds (V15)",7,"V34","Lamio hybridi-Echinochloetum crus-gallii","R-P22282",70,"SW",NA,40,"1999",-8.113658797,41.92994856,"1 - UTM1x1 + Elevation",480
322284,"Weeds (V15)",4,"V15","Lamio hybridi-Echinochloetum crus-gallii","R-P22284",50,"W",NA,80,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410
322285,"Weeds (V15)",4,"V15","Lamio hybridi-Echinochloetum crus-gallii","R-P22285",20,"NW",3,100,"1999",-8.093950157,41.86420491,"1 - UTM1x1 + Elevation",640
322286,"Weeds (V15)",9,"V37","Lamio hybridi-Echinochloetum crus-gallii","R-P22286",70,"SW",NA,100,"1999",-7.994772141,41.95140092,"1 - UTM1x1 + Elevation",600
322287,"Weeds (V15)",9,"V37","Lamio hybridi-Echinochloetum crus-gallii","R-P22287",30,"SW",NA,70,"1999",-7.976100077,41.95941625,"1 - UTM1x1 + Elevation",625
322288,"Weeds (V15)",4,"V15","Lamio hybridi-Echinochloetum crus-gallii","R-P22288",35,"S",NA,50,"1999",-7.968607623,41.95624458,"2 - UTM1x1 + Centroid",900
322289,"Weeds (V15)",4,"V15","Lamio hybridi-Echinochloetum crus-gallii","R-P22289",30,"W",NA,50,"1999",-7.917064959,41.91334875,"1 - UTM1x1 + Elevation",860
322290,"Weeds (V15)",4,"V15","Lamio hybridi-Echinochloetum crus-gallii","R-P22290",40,"W",NA,50,"1999",-7.919191453,41.90965615,"1 - UTM1x1 + Elevation",865
322291,"Weeds (V15)",4,"V15","Lamio hybridi-Echinochloetum crus-gallii","R-P22291",30,"S",NA,100,"1999",-7.933282832,41.93785441,"2 - UTM1x1 + Centroid",720
322293,"Mesic ruderals (V39)",9,"V37","Sisymbrio officinalis-Hordeetum murini","R-P22293",100,"S",NA,2,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",390
322294,"Mesic ruderals (V39)",10,"V38","Sisymbrio officinalis-Hordeetum murini","R-P22294",100,"S",5,2,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",392
322295,"Mesic ruderals (V39)",5,"V32","Sisymbrio officinalis-Hordeetum murini","R-P22295",70,"",NA,3,"1999",-8.094550028,41.90199074,"1 - UTM1x1 + Elevation",405
322296,"Weeds (V15)",9,"V37","Sisymbrio officinalis-Hordeetum murini","R-P22296",90,"N",NA,2,"1999",-8.116205221,41.9316354,"1 - UTM1x1 + Elevation",490
322297,"Trampled (V35)",5,"V32","Sisymbrio officinalis-Hordeetum murini","R-P22297",100,"E",5,3,"1999",-8.11125611,41.93005582,"1 - UTM1x1 + Elevation",500
322298,"Mesic ruderals (V39)",5,"V32","Bromo diandri-Carduetum tenuiflori","R-P22298",100,"NW",NA,10,"1999",-7.941424446,41.97892401,"1 - UTM1x1 + Elevation",580
322299,"Mesic ruderals (V39)",5,"V32","Bromo diandri-Carduetum tenuiflori","R-P22299",100,"NW",NA,10,"1999",-7.943690447,41.97702558,"1 - UTM1x1 + Elevation",590
322302,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum matricarioidis","R-P22302",20,"",NA,2,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",400
322303,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum matricarioidis","R-P22303",60,"",NA,2,"1999",-7.966652503,41.93101631,"1 - UTM1x1 + Elevation",795
322304,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum matricarioidis","R-P22304",60,"",NA,2,"1999",-7.95080331,41.94430692,"1 - UTM1x1 + Elevation",810
322305,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum matricarioidis","R-P22305",70,"NE",NA,2,"1999",-8.096442216,41.95592432,"1 - UTM1x1 + Elevation",830
322306,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum matricarioidis","R-P22306",70,"",NA,3,"1999",-7.917203052,41.91514346,"1 - UTM1x1 + Elevation",870
322307,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum matricarioidis","R-P22307",60,"SW",NA,3,"1999",-8.003531808,41.97082532,"1 - UTM1x1 + Elevation",560
322308,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum matricarioidis","R-P22308",60,"E",NA,4,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",420
322309,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum matricarioidis","R-P22309",80,"W",10,2,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410
322313,"Trampled (V35)",7,"V34","Crassulo tillaeae-Saginetum apetalae","R-P22313",30,"",NA,1,"1999",-8.052735922,41.92184909,"2 - UTM1x1 + Centroid",810
322314,"Trampled (V35)",7,"V34","Crassulo tillaeae-Saginetum apetalae","R-P22314",50,"",NA,1,"1999",-8.202905451,41.90072054,"1 - UTM1x1 + Elevation",570
322339,"Walls",1,"?","Parietarietum judaicae","R-P22339",30,"NW",90,3,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",380
322340,"Weeds (V15)",1,"?","Parietarietum judaicae","R-P22340",20,"SE",90,2,"1999",-8.101645234,41.93048438,"3 - UTM10x10 + Elevation",480
323777,"Walls",1,"?","Cymbalarietum muralis","R-P23777",80,"W",90,4,"1986",-6.855415177,42.37359619,"2 - UTM1x1 + Centroid",663
323786,"Mesic ruderals (V39)",11,"V39","Associació-Desconeguda","R-P23786",100,"W",30,100,"1986",-6.748331028,42.25108404,"1 - UTM1x1 + Elevation",1480
323851,"Weeds (V15)",5,"V32","Galio parisiensis-Logfietum minimae","R-P23851",70,"",NA,NA,"1986",-6.885371298,42.35096596,"3 - UTM10x10 + Elevation",1200
323856,"Weeds (V15)",4,"V15","Galio parisiensis-Logfietum minimae","R-P23856",90,"NW",30,NA,"1986",-6.861693731,42.32115273,"3 - UTM10x10 + Elevation",1020
323907,"Trampled (V35)",8,"V35","Lolio-Plantaginetum majoris","R-P23907",70,"",NA,1,"1986",-6.805884296,42.32122055,"3 - UTM10x10 + Elevation",1000
323912,"Trampled (V35)",8,"V","Lolio-Plantaginetum majoris","R-P23912",70,"",NA,10,"1986",-6.864005268,42.3192739,"3 - UTM10x10 + Elevation",1040
323931,"Mesic ruderals (V39)",5,"V32","Galio aparines-Conietum maculati","R-P23931",90,"W",5,30,"1986",-6.792262196,42.29646044,"3 - UTM10x10 + Elevation",1000
323932,"Mesic ruderals (V39)",9,"V37","Galio aparines-Conietum maculati","R-P23932",100,"",NA,10,"1986",-6.811675658,42.3768543,"3 - UTM10x10 + Elevation",1200
323933,"Mesic ruderals (V39)",9,"V37","Galio aparines-Conietum maculati","R-P23933",100,"SW",20,4,"1986",-6.803317844,42.35912377,"3 - UTM10x10 + Elevation",1200
323934,"Mesic ruderals (V39)",11,"V39","Galio aparines-Conietum maculati","R-P23934",100,"SW",15,25,"1986",-6.787049106,42.33084935,"3 - UTM10x10 + Elevation",880
323935,"Mesic ruderals (V39)",11,"V39","Galio aparines-Conietum maculati","R-P23935",100,"",NA,2,"1986",-6.794250948,42.2891911,"3 - UTM10x10 + Elevation",980
323936,"Mesic ruderals (V39)",11,"V39","Galio aparines-Conietum maculati","R-P23936",100,"S",3,4,"1986",-6.792434257,42.3396754,"3 - UTM10x10 + Elevation",980
323937,"Mesic ruderals (V39)",10,"V38","Comunidad de Chenopodium bonus-henricus","R-P23937",NA,"NE",10,80,"1986",-6.789888778,42.25691991,"1 - UTM1x1 + Elevation",1850
323941,"Mesic ruderals (V39)",11,"V39","Geranio robertiani-Caryolophetum sempervirentis","R-P23941",100,"",NA,20,"1986",-6.906536601,42.37905898,"3 - UTM10x10 + Elevation",880
323942,"Mesic ruderals (V39)",11,"V39","Geranio robertiani-Caryolophetum sempervirentis","R-P23942",100,"SE",60,10,"1986",-6.951458027,42.35950892,"3 - UTM10x10 + Elevation",960
323944,"Mesic ruderals (V39)",11,"V39","Geranio robertiani-Caryolophetum sempervirentis","R-P23944",100,"NW",15,4,"1986",-6.93725768,42.36540068,"3 - UTM10x10 + Elevation",900
323945,"Mesic ruderals (V39)",11,"V39","Geranio robertiani-Caryolophetum sempervirentis","R-P23945",100,"SW",25,4,"1986",-6.798471247,42.35928467,"3 - UTM10x10 + Elevation",1260
323948,"Mesic ruderals (V39)",11,"V39","Geranio robertiani-Caryolophetum sempervirentis","R-P23948",100,"N",15,20,"1986",-6.860262829,42.37702709,"1 - UTM1x1 + Elevation",660
323949,"Mesic ruderals (V39)",11,"V39","Geranio robertiani-Caryolophetum sempervirentis","R-P23949",100,"",NA,25,"1986",-6.860262829,42.37702709,"1 - UTM1x1 + Elevation",660
323950,"Mesic ruderals (V39)",11,"V39","Comunidad de Smyrnium olusatrum","R-P23950",100,"",NA,12,"1986",-6.847038344,42.39908231,"3 - UTM10x10 + Elevation",500
323951,"Mesic ruderals (V39)",11,"V39","Comunidad de Smyrnium olusatrum","R-P23951",80,"S",15,2,"1986",-6.792109824,42.33428357,"3 - UTM10x10 + Elevation",900
323959,"Trampled (V35)",7,"V34","Polygono-Matricarietum matricarioidis","R-P23959",90,"",NA,3,"1986",-6.82410259,42.42146088,"3 - UTM10x10 + Elevation",350
323960,"Trampled (V35)",8,"V35","Polygono-Matricarietum matricarioidis","R-P23960",80,"",NA,2,"1986",-6.821895586,42.42513626,"3 - UTM10x10 + Elevation",350
323961,"Trampled (V35)",8,"V","Polygono-Matricarietum matricarioidis","R-P23961",60,"S",3,2,"1986",-6.908769888,42.41499923,"3 - UTM10x10 + Elevation",350
323966,"Weeds (V15)",4,"V15","Oxalidi latifoliae-Veronicetum persicae","R-P23966",100,"",NA,15,"1986",-6.701848045,42.36785213,"3 - UTM10x10 + Elevation",1260
323967,"Weeds (V15)",4,"V15","Oxalidi latifoliae-Veronicetum persicae","R-P23967",80,"S",3,40,"1986",-6.789903594,42.33795834,"3 - UTM10x10 + Elevation",980
323968,"Weeds (V15)",4,"V15","Oxalidi latifoliae-Veronicetum persicae","R-P23968",90,"",NA,20,"1986",-6.797279383,42.33951481,"3 - UTM10x10 + Elevation",1000
323969,"Weeds (V15)",4,"V15","Oxalidi latifoliae-Veronicetum persicae","R-P23969",90,"",NA,40,"1986",-6.873388684,42.43240945,"3 - UTM10x10 + Elevation",780
323970,"Weeds (V15)",4,"V15","Oxalidi latifoliae-Veronicetum persicae","R-P23970",90,"NE",5,10,"1986",-6.852661296,42.37188065,"1 - UTM1x1 + Elevation",670
323971,"Weeds (V15)",4,"V15","Oxalidi latifoliae-Veronicetum persicae","R-P23971",70,"",NA,10,"1986",-6.817286682,42.38927325,"3 - UTM10x10 + Elevation",880
323972,"Weeds (V15)",4,"V15","Oxalidi latifoliae-Veronicetum persicae","R-P23972",80,"SE",15,20,"1986",-6.951458027,42.35950892,"3 - UTM10x10 + Elevation",950
323973,"Weeds (V15)",4,"V15","Oxalidi latifoliae-Veronicetum persicae","R-P23973",80,"SE",5,10,"1986",-6.968374135,42.39674089,"3 - UTM10x10 + Elevation",750
323975,"Weeds (V15)",4,"V15","Setario verticillatae-Echinochloetum crus-galli","R-P23975",50,"SW",10,100,"1986",-6.794142933,42.28739382,"3 - UTM10x10 + Elevation",1000
323976,"Weeds (V15)",4,"V15","Setario verticillatae-Echinochloetum crus-galli","R-P23976",40,"",NA,50,"1986",-6.808197581,42.31934278,"3 - UTM10x10 + Elevation",920
323977,"Weeds (V15)",9,"V37","Setario verticillatae-Echinochloetum crus-galli","R-P23977",65,"SW",15,70,"1986",-6.799849534,42.30161151,"3 - UTM10x10 + Elevation",900
323978,"Weeds (V15)",4,"V15","Setario verticillatae-Echinochloetum crus-galli","R-P23978",40,"SW",10,100,"1986",-6.802378921,42.30332841,"3 - UTM10x10 + Elevation",880
323979,"Weeds (V15)",9,"V","Setario verticillatae-Echinochloetum crus-galli","R-P23979",30,"",NA,30,"1986",-6.806318264,42.32840955,"3 - UTM10x10 + Elevation",900
323980,"Weeds (V15)",9,"V","Setario verticillatae-Echinochloetum crus-galli","R-P23980",10,"",NA,100,"1986",-6.787049106,42.33084935,"3 - UTM10x10 + Elevation",900
323983,"Trampled (V35)",9,"V37","Urtico urentis-Malvetum neglectae","R-P23983",50,"",NA,1,"1986",-6.781557753,42.32022567,"3 - UTM10x10 + Elevation",1000
323984,"Trampled (V35)",9,"V37","Urtico urentis-Malvetum neglectae","R-P23984",60,"S",10,2,"1986",-6.80610126,42.32481505,"3 - UTM10x10 + Elevation",900
323985,"Trampled (V35)",9,"V37","Urtico urentis-Malvetum neglectae","R-P23985",80,"",NA,4,"1986",-6.797062809,42.33592028,"3 - UTM10x10 + Elevation",900
323988,"Trampled (V35)",9,"V37","Urtico urentis-Malvetum neglectae","R-P23988",100,"",NA,1,"1986",-6.785335962,42.3831308,"3 - UTM10x10 + Elevation",1260
323989,"Mesic ruderals (V39)",11,"V39","Anthrisco-Geranietum lucidi","R-P23989",100,"E",90,2,"1986",-6.812063445,42.30300642,"3 - UTM10x10 + Elevation",990
323990,"Mesic ruderals (V39)",9,"V37","Anthrisco-Geranietum lucidi","R-P23990",90,"",NA,2,"1986",-6.80765505,42.31035653,"3 - UTM10x10 + Elevation",900
323991,"Mesic ruderals (V39)",11,"V39","Anthrisco-Geranietum lucidi","R-P23991",85,"W",35,4,"1986",-6.799957766,42.30340878,"3 - UTM10x10 + Elevation",900
323992,"Mesic ruderals (V39)",11,"V","Anthrisco-Geranietum lucidi","R-P23992",80,"NW",90,10,"1986",-6.875592824,42.42873318,"3 - UTM10x10 + Elevation",680
323994,"Mesic ruderals (V39)",11,"V39","Anthrisco-Geranietum lucidi","R-P23994",100,"",NA,2,"1986",-7.023324777,42.38221689,"3 - UTM10x10 + Elevation",960
323996,"Mesic ruderals (V39)",11,"V39","Anthrisco-Geranietum lucidi","R-P23996",90,"NW",10,4,"1986",-6.906982932,42.38624705,"3 - UTM10x10 + Elevation",680
323997,"Weeds (V15)",11,"V39","Anthrisco-Geranietum lucidi","R-P23997",100,"W",70,1,"1986",-6.831084897,42.3365878,"3 - UTM10x10 + Elevation",1040
323999,"Weeds (V15)",4,"V15","Linario eleganti-Anthoxanthetum aristati","R-P23999",80,"",NA,200,"1986",-6.995282441,42.38985921,"4 - UTM10x10 + Centroid",98
324001,"Weeds (V15)",4,"V15","Linario eleganti-Anthoxanthetum aristati","R-P24001",100,"S",10,100,"1986",-6.995282441,42.38985921,"4 - UTM10x10 + Centroid",97
324006,"Weeds (V15)",4,"V15","Linario eleganti-Anthoxanthetum aristati","R-P24006",100,"",NA,80,"1986",-6.752607733,42.38526237,"4 - UTM10x10 + Centroid",126
324008,"Weeds (V15)",4,"V15","Linario eleganti-Anthoxanthetum aristati","R-P24008",100,"N",15,80,"1986",-6.877098566,42.29744784,"4 - UTM10x10 + Centroid",121
324009,"Weeds (V15)",4,"V15","Linario eleganti-Anthoxanthetum aristati","R-P24009",60,"W",25,200,"1986",-6.877098566,42.29744784,"4 - UTM10x10 + Centroid",104
324010,"Weeds (V15)",4,"V15","Linario eleganti-Anthoxanthetum aristati","R-P24010",70,"W",25,150,"1986",-6.877098566,42.29744784,"4 - UTM10x10 + Centroid",104
324011,"Weeds (V15)",4,"V15","Aphanion arvensis","R-P24011",90,"SE",3,40,"1986",-6.900602278,42.40087127,"3 - UTM10x10 + Elevation",500
324015,"Weeds (V15)",4,"V15","Linario amethysteae-Calenduletum arvensis","R-P24015",100,"S",5,50,"1986",-6.843947086,42.4279995,"3 - UTM10x10 + Elevation",500
324016,"Weeds (V15)",4,"V15","Linario amethysteae-Calenduletum arvensis","R-P24016",80,"SW",5,25,"1986",-6.867644676,42.37857876,"3 - UTM10x10 + Elevation",600
324017,"Weeds (V15)",5,"+","Linario amethysteae-Calenduletum arvensis","R-P24017",100,"N",15,25,"1986",-6.906233053,42.41328501,"3 - UTM10x10 + Elevation",350
324018,"Weeds (V15)",4,"V15","Linario amethysteae-Calenduletum arvensis","R-P24018",70,"S",NA,15,"1986",-6.805342058,42.31223428,"3 - UTM10x10 + Elevation",1000
324019,"Weeds (V15)",4,"V15","Linario amethysteae-Calenduletum arvensis","R-P24019",80,"SW",15,8,"1986",-6.845822858,42.41893234,"3 - UTM10x10 + Elevation",500
324021,"Mesic ruderals (V39)",5,"V32","Sisymbrio officinalis-Hordeetum murini","R-P24021",90,"",NA,2,"1986",-6.797279383,42.33951481,"3 - UTM10x10 + Elevation",1000
324022,"Mesic ruderals (V39)",9,"V37","Sisymbrio officinalis-Hordeetum murini","R-P24022",100,"",NA,2,"1986",-6.826874911,42.38715228,"3 - UTM10x10 + Elevation",680
324023,"Mesic ruderals (V39)",5,"V32","Sisymbrio officinalis-Hordeetum murini","R-P24023",90,"",NA,2,"1986",-7.048826985,42.36330962,"3 - UTM10x10 + Elevation",960
324024,"Mesic ruderals (V39)",9,"V37","Sisymbrio officinalis-Hordeetum murini","R-P24024",100,"S",10,2,"1986",-6.792326103,42.33787812,"3 - UTM10x10 + Elevation",950
324025,"Mesic ruderals (V39)",5,"V32","","R-P24025",90,"S",30,4,"",-6.826785866,42.34573582,"3 - UTM10x10 + Elevation",580
324026,"Mesic ruderals (V39)",5,"V32","","R-P24026",90,"",NA,3,"",-6.855305085,42.37539332,"1 - UTM1x1 + Elevation",660
324027,"Mesic ruderals (V39)",5,"V32","","R-P24027",100,"",NA,4,"",-6.798943615,42.32685361,"3 - UTM10x10 + Elevation",1000
324028,"Mesic ruderals (V39)",5,"V32","","R-P24028",80,"",NA,5,"",-6.797320285,42.29989455,"3 - UTM10x10 + Elevation",1000
324029,"Mesic ruderals (V39)",5,"V32","","R-P24029",100,"",NA,2,"",-6.787157083,42.33264664,"3 - UTM10x10 + Elevation",990
324030,"Mesic ruderals (V39)",5,"V32","","R-P24030",100,"",NA,20,"",-6.857728847,42.37531167,"3 - UTM10x10 + Elevation",680
324031,"Mesic ruderals (V39)",5,"V32","","R-P24031",90,"NW",20,10,"",-7.048942545,42.36510634,"3 - UTM10x10 + Elevation",960
324032,"Mesic ruderals (V39)",5,"V32","","R-P24032",100,"SE",60,2,"",-7.023439688,42.38401365,"3 - UTM10x10 + Elevation",960
324033,"Mesic ruderals (V39)",5,"V32","","R-P24033",90,"",NA,2,"",-6.803679291,42.32489553,"3 - UTM10x10 + Elevation",1000
324034,"Mesic ruderals (V39)",5,"V32","","R-P24034",100,"",NA,1,"",-6.805775828,42.3194233,"3 - UTM10x10 + Elevation",1000
324035,"Mesic ruderals (V39)",5,"V32","","R-P24035",100,"",NA,2,"",-6.776178187,42.39243749,"3 - UTM10x10 + Elevation",1250
324040,"Mesic ruderals (V39)",5,"V32","Bromo diandri-Carduetum tenuiflori","R-P24040",100,"",NA,15,"1986",-6.826418776,42.41958264,"3 - UTM10x10 + Elevation",350
324041,"Mesic ruderals (V39)",6,"V33","Bromo diandri-Carduetum tenuiflori","R-P24041",100,"",NA,15,"1986",-6.871727466,42.40545324,"3 - UTM10x10 + Elevation",350
324042,"Mesic ruderals (V39)",6,"V33","Bromo diandri-Carduetum tenuiflori","R-P24042",100,"S",15,10,"1986",-6.859602957,42.40586269,"3 - UTM10x10 + Elevation",350
324045,"Mesic ruderals (V39)",6,"V33","Bromo diandri-Carduetum tenuiflori","R-P24045",100,"",NA,10,"1986",-6.849793121,42.40439221,"3 - UTM10x10 + Elevation",350
324046,"Mesic ruderals (V39)",10,"V38","Bromo diandri-Carduetum tenuiflori","R-P24046",100,"S",10,4,"1986",-6.80201604,42.33755677,"3 - UTM10x10 + Elevation",880
324047,"Mesic ruderals (V39)",5,"V32","Bromo diandri-Carduetum tenuiflori","R-P24047",100,"",NA,4,"1986",-6.815516372,42.40013733,"3 - UTM10x10 + Elevation",680
324048,"Mesic ruderals (V39)",9,"V37","Bromo diandri-Carduetum tenuiflori","R-P24048",100,"S",20,2,"1986",-6.809750844,42.30488424,"3 - UTM10x10 + Elevation",900
324049,"Mesic ruderals (V39)",5,"V32","Bromo diandri-Carduetum tenuiflori","R-P24049",100,"W",10,3,"1986",-6.797320285,42.29989455,"3 - UTM10x10 + Elevation",1000
324336,"Weeds (V15)",4,"V15","Bidenti tripartitae-Polygonetum lapathifolii","R-P24336",80,"",NA,10,"2012",-6.665383717,42.3672244,"1 - UTM1x1 + Elevation",948
324468,"Walls",1,"V","Parietarietum judaicae","R-P24468",40,"NW",100,8,"2012",-6.815273097,42.43616221,"1 - UTM1x1 + Elevation",376
324469,"Mesic ruderals (V39)",11,"V","Parietarietum judaicae","R-P24469",90,"W",90,10,"2012",-6.812628673,42.43264865,"1 - UTM1x1 + Elevation",376
324470,"Mesic ruderals (V39)",5,"V","Parietarietum judaicae","R-P24470",50,"S",100,30,"2012",-6.663168896,42.37089703,"1 - UTM1x1 + Elevation",940
324474,"Walls",1,"?","Cymbalarietum muralis","R-P24474",70,"SW",100,4,"2012",-6.695318936,42.42208899,"1 - UTM1x1 + Elevation",477
324573,"Mesic ruderals (V39)",10,"V38","Carduo carpetani-Onopordetum acanthii","R-P24573",95,"NE",15,50,"2012",-6.594293849,42.27042867,"1 - UTM1x1 + Elevation",1000
324575,"Xeric ruderals (V38)",9,"V37","Carduo carpetani-Onopordetum acanthii","R-P24575",100,"",NA,15,"2012",-6.553448027,42.27710588,"1 - UTM1x1 + Elevation",869
324576,"Mesic ruderals (V39)",10,"V38","Carduo bourgeani-Silybetum mariani","R-P24576",90,"W",3,8,"2012",-6.817371617,42.43068973,"1 - UTM1x1 + Elevation",366
324594,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum discoideae","R-P24594",90,"",NA,20,"2012",-6.792026305,42.41352377,"1 - UTM1x1 + Elevation",395
324597,"Trampled (V35)",8,"V","Polygono arenastri-Matricarietum discoideae","R-P24597",50,"",NA,5,"2012",-6.539325868,42.28474679,"1 - UTM1x1 + Elevation",868
324598,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum discoideae","R-P24598",30,"",NA,10,"2012",-6.673297363,42.33635588,"1 - UTM1x1 + Elevation",920
324599,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum discoideae","R-P24599",20,"",NA,3,"2012",-6.505503574,42.33080983,"2 - UTM1x1 + Centroid",941
324602,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum discoideae","R-P24602",20,"N",10,10,"2012",-6.706388931,42.40372252,"1 - UTM1x1 + Elevation",753
324603,"Trampled (V35)",8,"V35","Polygono arenastri-Matricarietum discoideae","R-P24603",20,"NE",3,5,"2012",-6.54972355,42.34025315,"1 - UTM1x1 + Elevation",1014
