species,family,n.replications,n.EUNIS.habitats,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance,SD_Disturbance.Severity,SD_Disturbance.Severity.herblayer,SD_Disturbance.Frequency,SD_Disturbance.Frequency.herblayer,SD_Mowing.Frequency,SD_Grazing.Pressure,SD_Soil.Disturbance
Campanula radicosa,Campanulaceae,999,4,0.32609,0.3087,2.31058,2.31058,0.01832,0.33913,0.11304,0,0,0,0,0,0,0
Campanula ramosissima,Campanulaceae,379,7,0.78,0.46,0.41083,1.57187,0.04528,0.23,0.325,0.0015,0.0055,1.3739,0.0443,0.1801,0.0068,0.0034
Campanula rapunculoides,Campanulaceae,999,77,0.66163,0.30042,0.2299,1.42895,0.15857,0.19045,0.21184,6.00E-04,9.00E-04,0.1665,0.0119,0.1687,3.00E-04,9.00E-04
Campanula rapunculus,Campanulaceae,999,72,0.59529,0.36528,0.43381,1.58226,0.34163,0.23092,0.20832,8.00E-04,0.0013,0.2563,0.0122,0.2713,6.00E-04,0.001
Campanula rhomboidalis,Campanulaceae,999,25,0.56037,0.2869,0.36931,1.52859,0.20886,0.17857,0.18246,0.0014,0.0015,0.4229,0.0201,0.4032,0.001,0.0011
Campanula rotundifolia,Campanulaceae,999,136,0.49867,0.37124,0.68831,1.52516,0.36837,0.24661,0.2012,3.00E-04,4.00E-04,0.0759,0.0143,0.105,3.00E-04,3.00E-04
Campanula sarmatica,Campanulaceae,999,6,0.42609,0.42609,1.61678,1.61678,0.4318,0.33182,0.15652,0.0041,0.0041,0.075,0.075,1.9851,0.0037,0.0026
Campanula scheuchzeri,Campanulaceae,999,71,0.39581,0.28048,0.63863,1.14505,0.09785,0.24453,0.12155,5.00E-04,4.00E-04,0.1129,0.0663,0.1141,4.00E-04,4.00E-04
Campanula scutellata,Campanulaceae,336,7,0.505,0.46,0.97449,2.04335,0.73874,0.3,0.275,0.0014,0.0026,0.5032,0.0232,0.4778,5.00E-04,0.0013
Campanula serrata,Campanulaceae,999,28,0.4391,0.30822,0.67256,1.31864,0.1617,0.2011,0.15749,0.0023,0.0017,0.5178,0.3019,0.5432,0.0014,0.0018
Campanula sibirica,Campanulaceae,999,54,0.46022,0.42321,1.18846,1.75011,0.41046,0.32687,0.1584,0.001,0.0011,0.1619,0.031,0.354,9.00E-04,6.00E-04
Campanula sparsa,Campanulaceae,999,41,0.56536,0.2979,0.34593,1.45394,0.21512,0.23841,0.17158,0.0026,0.0029,0.7628,0.1802,0.7087,0.0023,0.0019
Campanula spatulata,Campanulaceae,999,36,0.61951,0.23383,0.19906,1.47686,0.01689,0.26455,0.11765,0.0016,7.00E-04,0.3204,0.0128,0.0269,7.00E-04,4.00E-04
Campanula speciosa,Campanulaceae,987,12,0.49048,0.33043,0.58304,1.14514,0.16719,0.2625,0.18261,0.0119,0.0121,2.4331,0.5158,2.9082,0.0102,0.0063
Campanula spicata,Campanulaceae,999,19,0.51489,0.27528,0.40643,1.4305,0.1568,0.25412,0.11196,0.0048,0.0043,1.2298,0.1784,1.1814,0.0025,0.0024
Campanula stevenii,Campanulaceae,999,7,0.49467,0.492,2.0325,2.0325,1.09426,0.34937,0.1474,0.0021,0.0021,0.0209,0.0209,0.7201,0.0027,0.0016
Campanula thyrsoides,Campanulaceae,999,15,0.42536,0.29214,0.64748,1.60086,0.12376,0.25942,0.10556,0.0036,0.0029,0.8261,0.045,0.9161,0.0012,0.0011
Campanula trachelium,Campanulaceae,999,76,0.68242,0.16139,0.06838,1.31848,0.03347,0.18973,0.10809,2.00E-04,4.00E-04,0.0817,0.0064,0.0705,1.00E-04,2.00E-04
Campanula trichocalycina,Campanulaceae,999,9,0.7,0.10365,0.01174,1.31072,0,0.20672,0.10221,0.0014,0.0025,0.5335,0.0217,0.3289,0.001,3.00E-04
Campanula tridentata,Campanulaceae,999,9,0.2816,0.2816,1.71052,1.71052,0,0.23373,0.08457,4.00E-04,4.00E-04,0.0254,0.0254,0,5.00E-04,7.00E-04
Campanula tubulosa,Campanulaceae,990,9,0.68182,0.2381,0.15257,1.30865,0.06905,0.33636,0.13182,0.0067,0.023,3.02,0.1696,3.1694,0.0087,0.0113
Campanula versicolor,Campanulaceae,999,8,0.43077,0.41154,0.79871,0.85232,0.25964,0.24615,0.11154,0.0051,0.0018,0.6368,0.2944,1.0389,0.0012,3.00E-04
Campanula zoysii,Campanulaceae,999,11,0.24946,0.21042,0.68848,0.78574,0,0.17128,0.06559,0.005,0.0022,0.8555,0.562,0,0.0029,0.0016
Camphorosma annua,Chenopodiaceae,999,9,0.41129,0.41129,2.13236,2.13236,0.09362,0.57167,0.2896,0.0042,0.0042,0.1138,0.1138,1.2578,0.0048,0.0047
Camphorosma monspeliaca,Chenopodiaceae,999,31,0.49217,0.48143,1.1075,1.1669,0.17659,0.33624,0.26559,0.0047,0.0047,0.2835,0.2009,0.7309,0.0041,0.0035
Camphorosma songorica,Chenopodiaceae,999,3,0.40172,0.40172,2.30103,2.30103,0.10671,0.59138,0.28214,0.0039,0.0039,0.0016,0.0016,1.2074,0.0039,0.005
Cannabis sativa,Cannabaceae,999,33,0.81917,0.74939,0.95171,1.85721,0.6684,0.13644,0.61157,0.0019,0.003,0.3132,0.0258,0.4692,0.0013,0.005
Capparis orientalis,Capparaceae,31,5,0.27,0.245,0.63302,0.63865,0.09528,0.095,0.07,0.0285,0.0287,1.0827,1.0814,3.6846,0.0089,0.0167
Capparis spinosa,Capparaceae,999,20,0.54769,0.44016,0.7263,0.96674,0.23302,0.24841,0.17073,0.0088,0.008,0.6073,0.3731,1.241,0.0065,0.0043
Capsella bursa-pastoris,Brassicaceae,999,108,0.77406,0.76726,1.79113,2.07279,0.64778,0.2119,0.65925,4.00E-04,4.00E-04,0.0208,0.0033,0.0849,5.00E-04,7.00E-04
Capsella rubella,Brassicaceae,999,31,0.82036,0.80731,1.56891,2.0257,0.90815,0.20703,0.54552,0.0013,0.0014,0.0864,0.0109,0.1812,0.0012,0.002
Caragana arborescens,Fabaceae,999,12,0.72895,0.25854,0.18501,1.49618,0.08929,0.18636,0.20976,0.0032,0.018,2.256,0.051,2.7368,0.0029,0.0042
Caragana frutex,Fabaceae,999,24,0.47958,0.46223,1.53876,1.74548,0.50416,0.36565,0.15731,0.001,0.0011,0.0674,0.0175,0.3805,0.0011,6.00E-04
Caragana scythica,Fabaceae,999,5,0.43824,0.43824,1.62395,1.62395,0.45771,0.39444,0.14286,0.0078,0.0078,0.1133,0.1133,1.8286,0.0082,0.0033
Cardamine acris,Brassicaceae,289,7,0.345,0.345,1.49147,1.49147,0.28819,0.12,0.15238,0.0047,0.0047,0.0341,0.0341,0.9325,4.00E-04,0.0046
Cardamine alpina,Brassicaceae,999,11,0.211,0.20249,1.45654,1.59905,0,0.1405,0.13831,0.0022,0.0015,0.3099,0.034,0.2334,0.0016,9.00E-04
Cardamine amara,Brassicaceae,999,70,0.52128,0.35153,0.53708,1.44003,0.1487,0.14514,0.12009,8.00E-04,6.00E-04,0.1223,0.0159,0.1643,3.00E-04,2.00E-04
Cardamine asarifolia,Brassicaceae,999,8,0.275,0.25,1.2161,1.63264,0.0688,0.115,0.105,0,0,0,0,0,0,0
Cardamine bellidifolia,Brassicaceae,999,10,0.2625,0.2625,1.65155,1.65155,0,0.205,0.14615,0.002,0.002,0.0671,0.0671,0,0.0068,0.0025
Cardamine bulbifera,Brassicaceae,999,46,0.69681,0.12167,0.02129,1.3032,0.00557,0.18999,0.10177,1.00E-04,2.00E-04,0.0401,0.005,0.0249,1.00E-04,1.00E-04
Cardamine chelidonia,Brassicaceae,999,16,0.69528,0.12152,0.02045,1.29557,0.01018,0.19367,0.10126,4.00E-04,0.0012,0.2282,0.0139,0.1844,3.00E-04,0
Cardamine dentata,Brassicaceae,999,28,0.48304,0.28727,0.45362,1.52391,0.185,0.14727,0.11296,0.0067,0.0051,1.1782,0.1032,1.2265,0.0023,0.0023
Cardamine enneaphyllos,Brassicaceae,999,38,0.68218,0.11947,0.02396,1.13344,0.00197,0.18472,0.09754,3.00E-04,2.00E-04,0.0622,0.0494,0.0202,1.00E-04,1.00E-04
Cardamine flexuosa,Brassicaceae,999,72,0.58549,0.27937,0.28955,1.33126,0.1078,0.18194,0.13031,0.0011,0.0011,0.2656,0.0491,0.2545,8.00E-04,7.00E-04
Cardamine glanduligera,Brassicaceae,999,29,0.69227,0.14047,0.04083,1.30283,0.00383,0.18499,0.1021,5.00E-04,8.00E-04,0.1772,0.0085,0.0856,3.00E-04,4.00E-04
Cardamine glauca,Brassicaceae,999,24,0.58333,0.26875,0.27796,1.28245,0.01989,0.21343,0.12857,0.008,0.0069,1.5414,0.1323,0.1393,0.0062,0.0036
Cardamine graeca,Brassicaceae,999,22,0.70272,0.17517,0.05888,1.34823,0.02243,0.21463,0.11986,0.0014,0.003,0.4209,0.0548,0.3651,9.00E-04,0.0016
Cardamine heptaphylla,Brassicaceae,999,30,0.69177,0.12448,0.02803,1.29636,0.00735,0.18423,0.10064,2.00E-04,2.00E-04,0.0667,0.0029,0.0417,1.00E-04,0
Cardamine hirsuta,Brassicaceae,999,96,0.59769,0.45571,0.64594,1.51584,0.28825,0.22901,0.32316,0.0016,0.0018,0.2246,0.0284,0.3441,0.0011,0.0017
Cardamine impatiens aggr.,Brassicaceae,999,55,0.68003,0.20271,0.10313,1.32585,0.03773,0.17993,0.11071,4.00E-04,8.00E-04,0.1658,0.011,0.1258,3.00E-04,4.00E-04
Cardamine kitaibelii,Brassicaceae,999,16,0.68838,0.12249,0.02717,1.30385,0.00393,0.18507,0.1018,7.00E-04,5.00E-04,0.1606,0.0065,0.089,3.00E-04,2.00E-04
Cardamine matthioli,Brassicaceae,999,23,0.47355,0.44483,1.2998,1.84092,0.72816,0.175,0.17542,0.0042,0.004,0.3569,0.0201,0.8813,0.0018,0.0032
Cardamine nymanii,Brassicaceae,999,7,0.14889,0.14889,1.47765,1.47765,0.07863,0.10465,0.1878,0.0033,0.0033,0.0786,0.0786,1.0467,0.0012,0.0053
Cardamine parviflora,Brassicaceae,999,18,0.46167,0.43223,1.15759,1.8924,0.47979,0.3319,0.13929,0.0058,0.0057,0.6078,0.0529,1.2348,0.0054,0.0026
Cardamine pentaphyllos,Brassicaceae,999,23,0.68771,0.1498,0.05318,1.30415,0.0057,0.16689,0.09971,5.00E-04,6.00E-04,0.1549,0.0067,0.0631,3.00E-04,1.00E-04
Cardamine plumierii,Brassicaceae,574,15,0.44286,0.22857,0.45458,1.06263,0.06139,0.21304,0.09,0.0181,0.0083,3.1548,0.8781,2.1516,0.0104,0.0065
Cardamine pratensis,Brassicaceae,999,89,0.50611,0.44923,0.99542,1.85174,0.67239,0.31658,0.22332,3.00E-04,3.00E-04,0.0448,0.0042,0.067,4.00E-04,2.00E-04
Cardamine quinquefolia,Brassicaceae,999,9,0.69911,0.11875,0.01539,1.31362,0.00175,0.19911,0.1,0,2.00E-04,0.034,0.0014,0.0039,0,0
Cardamine raphanifolia,Brassicaceae,999,20,0.55964,0.29647,0.356,1.47034,0.06436,0.17134,0.11813,0.004,0.0025,0.7228,0.0817,0.5471,0.0017,9.00E-04
Cardamine resedifolia,Brassicaceae,999,32,0.31397,0.27605,1.02499,1.36817,0.01111,0.17834,0.125,0.0015,0.0011,0.246,0.0657,0.0296,0.0014,8.00E-04
Cardamine rivularis,Brassicaceae,999,17,0.23223,0.22957,1.40006,1.49016,0.08583,0.12241,0.14359,0.0034,0.0027,0.5143,0.2707,0.5048,0.0021,0.0021
Cardamine trifolia,Brassicaceae,999,29,0.69209,0.12775,0.02997,1.29492,0.00369,0.1874,0.10084,2.00E-04,3.00E-04,0.079,0.018,0.0425,2.00E-04,1.00E-04
Cardamine waldsteinii,Brassicaceae,999,10,0.69835,0.13859,0.03128,1.31148,0.00164,0.17778,0.1,8.00E-04,0.0014,0.3178,0.1432,0.1744,7.00E-04,3.00E-04
Cardopatium corymbosum,Compositae,999,13,0.69167,0.69167,1.58401,1.58401,0.59482,0.364,0.31,0.0079,0.0079,0.2418,0.2418,1.2477,0.0058,0.0065
Carduus acanthoides,Compositae,999,77,0.71714,0.69501,1.38943,1.78673,0.86446,0.18028,0.37675,0.001,0.0012,0.0784,0.0131,0.1557,8.00E-04,0.0017
Carduus acicularis,Compositae,999,11,0.68261,0.60435,0.89493,1.96466,0.62137,0.28696,0.34348,4.00E-04,0.0115,1.9826,0.0889,1.7287,0.002,0.0055
Carduus adpressus,Compositae,999,11,0.47917,0.45417,1.31838,1.53326,0.44825,0.24583,0.15417,0.0061,0.0055,0.0392,0.0015,1.3998,0.001,0.0012
Carduus argyroa,Compositae,707,4,0.87273,0.86364,1.9864,1.9864,0.44794,0.275,0.44286,0.0054,0.0098,0.1533,0.1533,2.765,0.0055,0.0167
Carduus bourgeanus,Compositae,999,10,0.78889,0.75185,1.74294,1.92642,0.5076,0.19643,0.40357,0.0031,0.0043,0.0379,0.029,1.3776,0.0038,0.0056
Carduus candicans,Compositae,999,30,0.51341,0.43377,0.91327,1.66363,0.30458,0.29745,0.21438,0.0045,0.0046,0.7427,0.0511,1.1207,0.002,0.0028
Carduus carduelis,Compositae,999,24,0.3575,0.31504,1.05847,1.36729,0.14191,0.22881,0.11111,0.0045,0.0047,0.641,0.5719,1.1074,0.0033,0.0058
Carduus carlinoides,Compositae,999,16,0.37527,0.36667,1.70537,1.74283,0.09501,0.30729,0.20938,0.0037,0.0036,0.6418,0.0591,0.9294,0.0065,0.0039
Carduus carpetanus,Compositae,999,21,0.41864,0.36752,1.03795,1.51158,0.2247,0.28475,0.19153,0.0041,0.004,0.4869,0.0522,0.9067,0.0029,0.0033
Carduus cephalanthus,Compositae,999,14,0.51667,0.49474,0.88267,0.93425,0.21633,0.22281,0.23621,0.0164,0.0159,0.7108,0.663,1.9637,0.0077,0.0127
Carduus chrysacanthus,Compositae,999,11,0.41837,0.41837,2.13119,2.13119,0.30608,0.508,0.25556,0.0027,0.0027,0.0421,0.0421,1.3512,0.0083,0.004
Carduus collinus,Compositae,999,14,0.46562,0.36559,0.80566,1.64361,0.25704,0.26702,0.16667,0.0058,0.0061,0.9398,0.0817,1.7145,0.0038,0.0062
Carduus crispus,Compositae,999,59,0.62262,0.51887,0.79271,1.4453,0.49026,0.18079,0.24565,0.0011,0.0015,0.1982,0.0268,0.2967,9.00E-04,0.0014
Carduus defloratus aggr.,Compositae,999,70,0.47446,0.29259,0.51524,1.29706,0.13828,0.25419,0.12407,6.00E-04,5.00E-04,0.1387,0.0402,0.1493,4.00E-04,3.00E-04
Carduus hamulosus,Compositae,999,15,0.53504,0.51958,1.55204,2.07234,0.82974,0.39568,0.21786,0.0033,0.0036,0.3507,0.0193,0.6789,0.0035,0.0036
Carduus kerneri,Compositae,999,15,0.38197,0.36364,1.42106,1.68843,0.20609,0.27333,0.1431,0.0053,0.0049,0.1042,0.078,1.6399,0.0073,0.0046
Carduus litigiosus,Compositae,999,16,0.62985,0.21654,0.22766,1.47892,0.13266,0.27687,0.13926,9.00E-04,0.0018,0.4863,0.0221,0.3442,9.00E-04,7.00E-04
Carduus nigrescens,Compositae,999,29,0.62371,0.50851,0.81946,1.5597,0.34293,0.34494,0.26022,0.0046,0.0071,1.1348,0.1098,1.2366,0.0028,0.0039
Carduus nutans,Compositae,999,84,0.60589,0.56807,1.23951,1.85248,0.60056,0.28051,0.2737,0.0013,0.0015,0.1394,0.012,0.2882,0.0013,0.0015
Carduus personata,Compositae,999,41,0.55553,0.34411,0.46388,1.34246,0.12395,0.168,0.12061,0.0012,0.001,0.236,0.0493,0.2945,6.00E-04,7.00E-04
Carduus pycnocephalus,Compositae,999,53,0.79814,0.69781,0.89623,1.78459,0.47512,0.24167,0.39518,0.0014,0.0022,0.1928,0.0387,0.3137,0.001,0.0016
Carduus tenuiflorus,Compositae,999,39,0.77194,0.73312,1.18578,1.91676,0.60232,0.20698,0.42338,0.0038,0.0043,0.1889,0.0268,0.6949,0.0015,0.004
Carduus tmoleus,Compositae,999,25,0.42195,0.33814,1.05517,1.89622,0.05674,0.33902,0.14274,0.003,0.0029,0.3882,0.0261,0.6049,0.0019,0.0015
Carduus uncinatus,Compositae,999,30,0.58435,0.57522,1.68185,1.96697,0.54236,0.33736,0.30203,0.003,0.0032,0.1485,0.0173,0.6047,0.003,0.0038
Carex acuta,Cyperaceae,999,70,0.39233,0.36204,1.22275,1.71924,0.6335,0.17436,0.12662,6.00E-04,5.00E-04,0.0474,0.0072,0.1039,4.00E-04,3.00E-04
Carex acutiformis,Cyperaceae,999,70,0.48808,0.34331,0.61309,1.50976,0.34595,0.1626,0.12276,8.00E-04,6.00E-04,0.1168,0.0134,0.1646,4.00E-04,3.00E-04
Carex adelostoma,Cyperaceae,15,4,0.185,0.185,1.79588,1.79588,0.21325,0.065,0.15,0,0,0,0,2.3666,0.0023,0.0069
Carex alba,Cyperaceae,999,46,0.67395,0.13458,0.05069,1.18156,0.01845,0.19632,0.09949,3.00E-04,4.00E-04,0.0978,0.0431,0.08,1.00E-04,1.00E-04
Carex appropinquata,Cyperaceae,999,32,0.4485,0.30683,0.7836,1.3959,0.36103,0.14825,0.12471,0.0026,0.0024,0.2804,0.0531,0.5531,9.00E-04,0.0011
Carex aquatilis,Cyperaceae,999,27,0.2343,0.20816,1.38201,1.52261,0.21774,0.12657,0.14891,0.003,0.0026,0.184,0.0392,0.7642,0.0019,0.0017
Carex arenaria,Cyperaceae,999,80,0.44967,0.37606,0.99195,1.65328,0.21422,0.303,0.36714,5.00E-04,5.00E-04,0.0817,0.0102,0.1403,7.00E-04,7.00E-04
Carex atherodes,Cyperaceae,999,11,0.56286,0.39429,0.52172,1.40463,0.25157,0.17895,0.12222,0.0043,0.0071,1.702,0.1455,1.6639,0.0019,9.00E-04
Carex atrata,Cyperaceae,999,34,0.28423,0.26404,1.28983,1.45676,0.0337,0.22129,0.1075,0.0012,0.001,0.1059,0.0776,0.1668,0.0011,9.00E-04
Carex atrofusca,Cyperaceae,999,8,0.204,0.204,1.78978,1.78978,0.05155,0.09811,0.03469,0.002,0.002,0.0499,0.0499,1.4689,0.0014,0.0028
Carex australpina,Cyperaceae,999,21,0.60247,0.13621,0.10705,1.12993,0,0.20165,0.0917,0.0022,0.0011,0.4502,0.0676,0.1905,6.00E-04,6.00E-04
Carex baldensis,Cyperaceae,263,8,0.48,0.23,0.42251,1.11405,0.04479,0.24,0.11364,0.0108,0.0091,2.2978,0.2137,3.2014,0.003,0.0034
Carex bicolor,Cyperaceae,999,11,0.19958,0.19958,1.80949,1.80949,0.12931,0.10126,0.03515,0.0011,0.0011,0.0178,0.0178,0.7922,0.0021,0.0015
Carex bigelowii,Cyperaceae,999,42,0.27859,0.25483,1.35525,1.4467,0.02067,0.23815,0.12183,8.00E-04,6.00E-04,0.1014,0.0859,0.1519,9.00E-04,5.00E-04
Carex binervis,Cyperaceae,999,46,0.42551,0.37091,1.19699,1.69588,0.36079,0.35877,0.18211,0.0012,0.0012,0.1416,0.024,0.3986,0.0018,0.0011
Carex bohemica,Cyperaceae,999,18,0.72857,0.7277,1.87756,1.89879,0.03218,0.17918,0.34009,0.0023,0.0024,0.0233,0.0083,0.2303,9.00E-04,0.0011
Carex brachystachys,Cyperaceae,999,32,0.49962,0.19447,0.27355,1.28209,0.01296,0.21589,0.09605,0.0038,0.0022,0.7833,0.1486,0.3681,0.0017,9.00E-04
Carex brevicollis,Cyperaceae,999,15,0.60833,0.22,0.19701,1.43196,0.11257,0.25541,0.11486,0.0049,0.0051,1.5338,0.075,1.2579,0.0016,0.001
Carex brizoides,Cyperaceae,999,60,0.64415,0.31674,0.24133,1.45749,0.1422,0.187,0.13005,5.00E-04,8.00E-04,0.1728,0.0169,0.1864,3.00E-04,4.00E-04
Carex brunnescens,Cyperaceae,999,32,0.41594,0.22336,0.53507,1.34627,0.03158,0.20797,0.09929,0.0048,0.0026,0.7688,0.0552,0.5463,0.002,0.0026
Carex buekii,Cyperaceae,999,22,0.51037,0.46667,0.91043,1.24469,0.67503,0.13713,0.12541,0.0022,0.002,0.2706,0.063,0.5439,0.0014,0.0012
Carex bulgarica,Cyperaceae,999,11,0.18641,0.16635,1.03598,1.11491,0.05556,0.14608,0.087,0.0031,0.0035,0.2293,0.1832,0.7878,0.0034,0.0017
Carex buxbaumii,Cyperaceae,999,22,0.3125,0.27907,1.31493,1.77657,0.48007,0.13778,0.12424,0.0039,0.0035,0.3464,0.0627,1.2889,0.0029,0.0036
Carex camposii,Cyperaceae,999,7,0.48846,0.4037,0.96081,2.0422,0.54318,0.46,0.12222,0.0055,0.0027,0.8184,0.0236,1.5769,0.0064,0.0036
Carex canescens,Cyperaceae,999,71,0.37029,0.20762,0.66461,1.31613,0.21349,0.14171,0.15469,0.0014,9.00E-04,0.1498,0.0203,0.2434,4.00E-04,5.00E-04
Carex capillaris,Cyperaceae,999,45,0.26563,0.25136,1.34901,1.54371,0.12364,0.19091,0.07064,0.001,9.00E-04,0.1349,0.1226,0.4562,0.0013,0.001
Carex capitata,Cyperaceae,474,6,0.24091,0.19,1.23231,1.83121,0.18013,0.11364,0.01364,0.0027,0.0024,0.2147,0.0244,3.3788,0.0045,0.0023
Carex caryophyllea,Cyperaceae,999,115,0.48299,0.44908,1.23049,1.88739,0.67251,0.29988,0.18368,2.00E-04,3.00E-04,0.0535,0.0036,0.0922,4.00E-04,3.00E-04
Carex caudata,Cyperaceae,999,5,0.68462,0.12,0.0261,1.32243,0.01737,0.20784,0.1,0.0054,0.0042,1.5045,0.066,0.8722,0.0019,0
Carex cespitosa,Cyperaceae,999,31,0.52005,0.39205,0.70887,1.54001,0.46998,0.17049,0.12261,0.0017,0.002,0.3225,0.0371,0.4163,7.00E-04,8.00E-04
Carex chordorrhiza,Cyperaceae,999,14,0.21262,0.15312,1.04734,1.50936,0.16211,0.08185,0.16493,0.002,6.00E-04,0.2373,0.0362,0.505,6.00E-04,0.0015
Carex colchica,Cyperaceae,999,29,0.37566,0.36891,1.74912,1.81958,0.26656,0.19823,0.40207,0.0023,0.0024,0.0444,0.0444,0.5682,0.0015,0.0023
Carex cuprina,Cyperaceae,999,62,0.48724,0.44318,1.10228,1.84375,0.56638,0.38726,0.14047,0.0011,0.0011,0.1386,0.0139,0.3127,0.0021,9.00E-04
Carex curvula,Cyperaceae,999,21,0.26764,0.26525,1.48917,1.52663,0.00313,0.22481,0.08586,5.00E-04,5.00E-04,0.0386,0.0384,0.045,7.00E-04,5.00E-04
Carex davalliana,Cyperaceae,999,45,0.31122,0.29533,1.51637,1.90292,0.86347,0.1528,0.06044,8.00E-04,7.00E-04,0.0615,0.0078,0.1717,5.00E-04,4.00E-04
Carex demissa,Cyperaceae,999,48,0.2861,0.2714,1.42085,1.64318,0.4033,0.19286,0.1522,0.0017,0.0017,0.0667,0.0196,0.4296,0.002,0.0012
Carex depauperata,Cyperaceae,999,17,0.68272,0.14405,0.05189,1.31137,0.02443,0.20674,0.10698,0.0029,0.0014,0.6737,0.035,0.442,0.0015,2.00E-04
Carex depressa,Cyperaceae,999,15,0.60182,0.25556,0.26572,1.45939,0.15073,0.21961,0.15636,0.004,0.0059,1.5906,0.0679,1.5058,0.0023,0.0036
Carex diandra,Cyperaceae,999,29,0.21583,0.18453,1.2567,1.4608,0.22264,0.11199,0.17416,0.0021,0.0016,0.1586,0.0357,0.516,0.0013,0.0013
Carex digitata,Cyperaceae,999,69,0.69012,0.12131,0.02814,1.27546,0.00816,0.19491,0.10468,2.00E-04,2.00E-04,0.0504,0.0163,0.0367,1.00E-04,1.00E-04
Carex diluta,Cyperaceae,999,10,0.4303,0.4303,2.06263,2.06263,1.01515,0.53939,0.15758,0.0038,0.0038,0.0138,0.0138,1.9451,0.008,0.0025
Carex dioica,Cyperaceae,999,32,0.23121,0.18382,1.16277,1.63548,0.42619,0.11131,0.08255,0.0013,9.00E-04,0.1388,0.0226,0.4362,7.00E-04,0.0011
Carex disperma,Cyperaceae,999,9,0.68387,0.14706,0.12547,1.26211,0,0.17714,0.11935,0.001,0.005,1.3026,0.1388,0,0.0015,0.0017
Carex distachya,Cyperaceae,999,54,0.69266,0.14399,0.05601,1.32295,0.00944,0.26549,0.10492,3.00E-04,7.00E-04,0.1477,0.0062,0.0632,3.00E-04,2.00E-04
Carex distans,Cyperaceae,999,75,0.47566,0.45322,1.40062,2.00668,0.40345,0.38037,0.1702,9.00E-04,0.001,0.0889,0.0157,0.3478,0.0016,8.00E-04
Carex disticha,Cyperaceae,999,54,0.45135,0.44481,1.73436,1.89671,0.85802,0.2657,0.15735,8.00E-04,8.00E-04,0.0342,0.0107,0.1388,0.0011,6.00E-04
Carex divisa,Cyperaceae,999,59,0.54757,0.50905,1.21452,2.03579,0.40545,0.37863,0.21203,0.0023,0.0024,0.2837,0.0255,0.5264,0.0026,0.0017
Carex divulsa,Cyperaceae,999,70,0.65622,0.26298,0.1853,1.41985,0.13318,0.22433,0.16033,9.00E-04,0.0017,0.3273,0.0179,0.3292,0.001,0.001
Carex echinata,Cyperaceae,999,84,0.33622,0.25833,0.91949,1.49708,0.37587,0.17385,0.14929,7.00E-04,6.00E-04,0.0809,0.0096,0.1552,4.00E-04,4.00E-04
Carex elata,Cyperaceae,999,52,0.37333,0.24366,0.75368,1.44487,0.29833,0.13369,0.11646,0.0011,8.00E-04,0.1449,0.0202,0.2394,6.00E-04,5.00E-04
Carex elongata,Cyperaceae,999,40,0.6375,0.24335,0.2492,1.17777,0.03733,0.16003,0.09336,0.001,7.00E-04,0.1892,0.027,0.1829,3.00E-04,4.00E-04
Carex ericetorum,Cyperaceae,999,41,0.55571,0.206,0.31844,1.49349,0.05647,0.23414,0.1807,0.0015,0.0012,0.302,0.0503,0.2643,6.00E-04,9.00E-04
Carex extensa,Cyperaceae,999,37,0.45214,0.44211,1.62013,2.01049,0.03868,0.38084,0.19299,0.0015,0.0016,0.1481,0.0446,0.3327,0.0023,0.0011
Carex ferruginea,Cyperaceae,999,49,0.46873,0.20355,0.31522,0.95469,0.06169,0.20617,0.09301,0.0013,6.00E-04,0.2701,0.1486,0.1982,6.00E-04,4.00E-04
Carex filiformis,Cyperaceae,999,39,0.50869,0.46144,1.09143,1.86551,0.93631,0.23992,0.16242,6.00E-04,9.00E-04,0.1796,0.0103,0.2134,7.00E-04,9.00E-04
Carex fimbriata,Cyperaceae,999,8,0.29355,0.28065,1.16176,1.39384,0.06081,0.27667,0.09333,0.0077,0.0044,1.6155,0.4312,0.4244,0.0055,0.0022
Carex firma,Cyperaceae,999,34,0.29158,0.25697,0.91487,1.07946,0.00571,0.22007,0.07806,6.00E-04,4.00E-04,0.1411,0.0993,0.068,5.00E-04,3.00E-04
Carex flacca,Cyperaceae,999,151,0.54734,0.34432,0.49092,1.60091,0.36444,0.2763,0.15381,2.00E-04,3.00E-04,0.0604,0.0064,0.0682,3.00E-04,2.00E-04
Carex flava,Cyperaceae,999,64,0.3781,0.34557,1.24646,1.79768,0.664,0.17949,0.11066,0.0011,0.001,0.0987,0.0166,0.2179,6.00E-04,6.00E-04
Carex foetida,Cyperaceae,999,12,0.18883,0.18883,1.5579,1.5579,0.01577,0.16444,0.1462,0.0017,0.0017,0.0357,0.0357,0.2591,0.0018,0.0011
Carex frigida,Cyperaceae,999,25,0.23902,0.2179,1.39379,1.69917,0.16877,0.12067,0.08515,0.0016,0.0013,0.1082,0.0225,0.6707,0.0017,0.0016
Carex fritschii,Cyperaceae,999,13,0.60952,0.23111,0.2191,1.48209,0.15691,0.24,0.12609,0.0039,0.0072,1.8171,0.0771,1.8565,0.0034,0.0031
