Alliance,CANTEUNIS,Species,Type,Value
Saginion procumbentis,V35Z,Plantago major,Constant,50
Saginion procumbentis,V35Z,Sagina procumbens,Diagnostic,70.89423937
Saginion procumbentis,V35Z,Bryum argenteum,Diagnostic,67.76984911
Saginion procumbentis,V35Z,Ochlopoa annua,Diagnostic,26.75948915
Saginion procumbentis,V35Z,Ochlopoa annua,Dominant,29.54545455
Saginion procumbentis,V35Z,Sagina procumbens,Dominant,15.90909091
Saginion procumbentis,V35Z,Bryum argenteum,Dominant,15.90909091
Scleranthion annui,V10Z,Anthemis arvensis,Constant,68.93617021
Scleranthion annui,V10Z,Raphanus raphanistrum aggr.,Constant,57.44680851
Scleranthion annui,V10Z,Spergula arvensis,Constant,50.63829787
Scleranthion annui,V10Z,Mibora minima,Diagnostic,37.51846083
Scleranthion annui,V10Z,Anthemis arvensis,Diagnostic,35.90690465
Scleranthion annui,V10Z,Rumex acetosella,Diagnostic,33.34348225
Scleranthion annui,V10Z,Spergula arvensis,Diagnostic,31.65794499
Scleranthion annui,V10Z,Raphanus raphanistrum aggr.,Diagnostic,31.29628219
Scleranthion annui,V10Z,Arnoseris minima,Diagnostic,28.26082011
Scleranthion annui,V10Z,Scleranthus annuus,Diagnostic,27.19573217
Scleranthion annui,V10Z,Anthoxanthum ovatum,Diagnostic,22.62381707
Scleranthion annui,V10Z,Ornithopus compressus,Diagnostic,16.27535314
Scleranthion annui,V10Z,Mibora minima,Dominant,8.936170213
Scleranthion annui,V10Z,Anthemis arvensis,Dominant,7.659574468
Scleranthion annui,V10Z,Spergula arvensis,Dominant,5.531914894
Senecionion fluviatilis,R55Z,Pteridium aquilinum,Constant,59.67741935
Senecionion fluviatilis,R55Z,Mentha suaveolens,Constant,59.67741935
Senecionion fluviatilis,R55Z,Picris hieracioides,Constant,54.83870968
Senecionion fluviatilis,R55Z,Calystegia sepium,Constant,53.22580645
Senecionion fluviatilis,R55Z,Eupatorium cannabinum,Constant,51.61290323
Senecionion fluviatilis,R55Z,Eupatorium cannabinum,Diagnostic,49.94879932
Senecionion fluviatilis,R55Z,Arundo donax,Diagnostic,48.38709677
Senecionion fluviatilis,R55Z,Angelica sylvestris,Diagnostic,39.54789114
Senecionion fluviatilis,R55Z,Picris hieracioides,Diagnostic,27.93517521
Senecionion fluviatilis,R55Z,Mentha suaveolens,Diagnostic,19.94396098
Senecionion fluviatilis,R55Z,Pteridium aquilinum,Diagnostic,19.08319995
Senecionion fluviatilis,R55Z,Centaurea debeauxii,Diagnostic,15.70253803
Senecionion fluviatilis,R55Z,Silene latifolia,Diagnostic,15.18969057
Senecionion fluviatilis,R55Z,Arundo donax,Dominant,48.38709677
Senecionion fluviatilis,R55Z,Eupatorium cannabinum,Dominant,30.64516129
Senecionion fluviatilis,R55Z,Mentha suaveolens,Dominant,9.677419355
Senecionion fluviatilis,R55Z,Angelica sylvestris,Dominant,8.064516129
Silybo mariani-Urticion piluliferae,V38Z,Silybum marianum,Constant,100
Silybo mariani-Urticion piluliferae,V38Z,Anisantha diandra,Constant,73.68421053
Silybo mariani-Urticion piluliferae,V38Z,Carduus tenuiflorus,Constant,68.42105263
Silybo mariani-Urticion piluliferae,V38Z,Galium aparine,Constant,52.63157895
Silybo mariani-Urticion piluliferae,V38Z,Silybum marianum,Diagnostic,98.0555466
Silybo mariani-Urticion piluliferae,V38Z,Carduus tenuiflorus,Diagnostic,38.2266609
Silybo mariani-Urticion piluliferae,V38Z,Anisantha diandra,Diagnostic,26.06501299
Silybo mariani-Urticion piluliferae,V38Z,Silybum marianum,Dominant,94.73684211
Silybo mariani-Urticion piluliferae,V38Z,Carduus tenuiflorus,Dominant,10.52631579
Silybo mariani-Urticion piluliferae,V38Z,Anisantha diandra,Dominant,5.263157895
Silybo mariani-Urticion piluliferae,V38Z,Ballota nigra,Dominant,5.263157895
Silybo mariani-Urticion piluliferae,V38Z,Conium maculatum,Dominant,5.263157895
Silybo mariani-Urticion piluliferae,V38Z,Echium rosulatum,Dominant,5.263157895
Silybo mariani-Urticion piluliferae,V38Z,Foeniculum vulgare,Dominant,5.263157895
Silybo mariani-Urticion piluliferae,V38Z,Galium aparine,Dominant,5.263157895
Sisymbrion officinalis,V37V,Hordeum murinum,Constant,100
Sisymbrion officinalis,V37V,Sisymbrium officinale,Constant,73.37662338
Sisymbrion officinalis,V37V,Lolium perenne,Constant,52.5974026
Sisymbrion officinalis,V37V,Anisantha sterilis,Constant,51.94805195
Sisymbrion officinalis,V37V,Hordeum murinum,Diagnostic,78.49877713
Sisymbrion officinalis,V37V,Sisymbrium officinale,Diagnostic,50.09999732
Sisymbrion officinalis,V37V,Lolium perenne,Diagnostic,16.66002199
Sisymbrion officinalis,V37V,Hordeum murinum,Dominant,60.38961039
Sisymbrion officinalis,V37V,Sisymbrium officinale,Dominant,16.23376623
Spergulo arvensis-Erodion cicutariae,V10X,Chenopodium album,Constant,83.61581921
Spergulo arvensis-Erodion cicutariae,V10X,Persicaria maculosa,Constant,67.79661017
Spergulo arvensis-Erodion cicutariae,V10X,Echinochloa crus-galli,Constant,62.14689266
Spergulo arvensis-Erodion cicutariae,V10X,Stellaria media,Constant,60.4519774
Spergulo arvensis-Erodion cicutariae,V10X,Digitaria sanguinalis,Constant,54.80225989
Spergulo arvensis-Erodion cicutariae,V10X,Chenopodium album,Diagnostic,59.70609556
Spergulo arvensis-Erodion cicutariae,V10X,Echinochloa crus-galli,Diagnostic,45.72802793
Spergulo arvensis-Erodion cicutariae,V10X,Digitaria sanguinalis,Diagnostic,39.74021501
Spergulo arvensis-Erodion cicutariae,V10X,Solanum nigrum,Diagnostic,35.53685411
Spergulo arvensis-Erodion cicutariae,V10X,Amaranthus hybridus aggr.,Diagnostic,34.11670904
Spergulo arvensis-Erodion cicutariae,V10X,Fallopia convolvulus,Diagnostic,30.22421588
Spergulo arvensis-Erodion cicutariae,V10X,Persicaria maculosa,Diagnostic,26.59844455
Spergulo arvensis-Erodion cicutariae,V10X,Oxalis latifolia,Diagnostic,23.36527909
Spergulo arvensis-Erodion cicutariae,V10X,Portulaca oleracea,Diagnostic,19.60206969
Spergulo arvensis-Erodion cicutariae,V10X,Chenopodium album,Dominant,12.99435028
Spergulo arvensis-Erodion cicutariae,V10X,Amaranthus hybridus aggr.,Dominant,11.86440678
Spergulo arvensis-Erodion cicutariae,V10X,Echinochloa crus-galli,Dominant,10.16949153
Spergulo arvensis-Erodion cicutariae,V10X,Digitaria sanguinalis,Dominant,7.344632768
