"Analysis.Names","heightmean","heightmax","floweringmin","floweringmax","floweringmean","floweringwidth","alien","bryophyte","chamaephyte","geophyte","hemicryptophyte","hydrophyte","therophyte","phanerophyte","repetido","EIVE1.M","EIVE1.N","EIVE1.R","EIVE1.L","EIVE1.T","Disturbance.Severity","Disturbance.Severity.herblayer","Disturbance.Frequency","Disturbance.Frequency.herblayer","Mowing.Frequency","Grazing.Pressure","Soil.Disturbance"
"Avena byzantina",120,120,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,3.2,7.2,8.4,8.7,8.1,NA,NA,NA,NA,NA,NA,NA
"Avena fatua",1500,175,5,9,7,5,0,0,0,0,0,0,1,0,0,3.7,5.5,7.1,7,5,0.85398,0.84527,1.75149,2.03985,0.44489,0.13583,0.79419
"Avena sativa",120,120,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,4,7.3,5.9,7.8,4.8,NA,NA,NA,NA,NA,NA,NA
"Avena sterilis",60,128,2,7,4.5,6,0,0,0,0,0,0,1,0,0,3,5.9,6.5,7.6,6.9,0.81839,0.76998,1.19443,1.8987,0.5223,0.20706,0.5026
"Avenella flexuosa",60,70,5,8,6.5,4,0,0,0,0,1,0,0,0,0,4.3,2.8,2,5,3.6,0.60937,0.19344,0.19807,1.26162,0.04138,0.22253,0.14252
"Baccharis halimifolia",60,400,8,9,8.5,2,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0.53014,0.48143,1.13992,1.68355,0.06567,0.32571,0.24638
"Ballota nigra",120,82,5,11,8,7,0,0,0,0,1,0,0,0,0,4,8.4,6.7,7.3,4.9,0.7258,0.61049,0.80841,1.51302,0.56634,0.17762,0.31416
"Barbarea intermedia",75,70,4,6,5,3,0,0,0,0,1,0,0,0,0,4.5,7.2,6.1,7.8,4.5,0.58462,0.51538,0.87962,1.68825,0.42843,0.332,0.32308
"Barbarea vulgaris",30,100,4,6,5,3,0,0,0,0,1,0,0,0,0,5,6.4,6.2,7.7,4,0.62815,0.58332,1.11012,1.56243,0.46725,0.2075,0.31569
"Bassia prostrata",90,90,6,9,7.5,4,0,0,1,0,0,0,0,0,0,2.5,3.8,7.2,9.2,6,0.5017,0.50095,1.92765,1.99419,0.4472,0.41082,0.25583
"Bellardia trixago",60,60,3,7,5,5,0,0,0,0,0,0,1,0,0,2.5,4.4,6.1,8.2,6.1,0.71667,0.65297,1.31444,1.85583,0.50944,0.30286,0.3481
"Bellis perennis",100,26,3,11,7,9,0,0,0,0,1,0,0,0,0,4.5,5.6,5.8,7.9,4.2,0.51276,0.49581,1.51667,2.20989,0.98959,0.46997,0.3594
"Berula erecta",20,100,5,8,6.5,4,0,0,0,0,1,1,0,0,0,8.3,6.4,7.6,7.4,4.5,0.31196,0.28991,1.3298,1.71904,0.1995,0.14159,0.08428
"Beta vulgaris",80,200,7,10,8.5,4,0,0,0,0,1,0,1,0,0,4.4,8.2,7.6,8.5,5.8,NA,NA,NA,NA,NA,NA,NA
"Betula celtiberica",2000,2000,4,5,4.5,2,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens aureus",200,90,8,12,10,5,1,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens frondosus",70,120,4,11,7.5,8,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens tripartitus",70,90,8,11,9.5,4,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biscutella laevigata",10,70,2,9,5.5,8,0,0,0,0,1,0,0,0,0,3.3,2.2,7.9,8,3.6,0.42598,0.3045,0.66607,1.14676,0.10499,0.25882,0.12547
"Bistorta vivipara",50,30,7,8,7.5,2,0,0,0,0,1,0,0,0,0,4.8,2.8,4.5,7.7,1.6,0.29458,0.26535,1.1401,1.37578,0.07018,0.21938,0.1065
"Bituminaria bituminosa",200,150,4,8,6,5,0,0,0,0,1,0,0,0,0,2.7,4.4,7.3,8.2,6.8,0.69739,0.37492,0.39747,1.45836,0.17241,0.30991,0.17006
"Blackstonia perfoliata aggr.",15,70,4,8,6,5,0,0,0,0,0,0,1,0,0,4.8,3.4,8.1,8,5.6,0.58126,0.43796,0.73263,1.65999,0.39285,0.29543,0.17111
"Blitum bonus-henricus",10,80,5,10,7.5,6,0,0,0,0,1,0,0,0,0,4.1,9.3,6.1,7.7,3.6,0.59893,0.58126,1.32058,1.52129,0.66711,0.23056,0.26966
"Blitum virgatum",10,60,6,11,8.5,6,0,0,0,0,0,0,1,0,1,3.5,8,6.3,8.1,4.7,0.70455,0.69091,1.42967,1.61164,0.60842,0.15909,0.43333
"Bolboschoenus maritimus",90,115,3,10,6.5,8,0,0,0,1,0,0,0,0,0,7.7,6.1,8.3,8.1,5,NA,NA,NA,NA,NA,NA,NA
"Borago officinalis",120,70,1,7,4,7,0,0,0,0,0,0,1,0,0,3.6,7.2,6.3,7.7,5.8,0.84183,0.82049,1.46834,1.98622,0.66712,0.21981,0.49163
"Brachypodium phoenicoides",60,100,4,9,6.5,6,0,0,0,0,1,0,0,0,0,2.8,3.4,6.7,8,6,0.65401,0.30571,0.30554,1.47684,0.17415,0.27738,0.15754
"Brachypodium pinnatum aggr.",40,100,3,9,6,7,0,0,0,0,1,0,0,0,0,3.6,4.1,7.4,5.7,4.2,0.55223,0.365,0.53396,1.58152,0.40993,0.25674,0.1307
"Brachypodium retusum",100,65,3,7,5,5,0,0,0,0,1,0,0,0,0,2.5,2.3,7.1,8.2,6.7,0.68131,0.30136,0.33114,1.39632,0.07553,0.31454,0.14317
"Brachypodium sylvaticum",40,120,4,8,6,5,0,0,0,0,1,0,0,0,0,4.7,5.8,6.3,4,4.4,0.68187,0.18824,0.08946,1.3432,0.02985,0.19867,0.10919
"Brassica barrelieri",50,80,3,6,4.5,4,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,0.645,0.32381,0.35473,1.73636,0.21503,0.245,0.22381
"Brassica napus",30,150,4,9,6.5,6,1,0,0,0,1,0,1,0,0,4.5,7.9,7.1,7.6,5.1,NA,NA,NA,NA,NA,NA,NA
"Brassica nigra",100,200,4,6,5,3,0,0,0,0,0,0,1,0,0,5.2,7.1,7.3,8.1,5.6,0.72571,0.69712,1.27948,1.66029,0.65909,0.16331,0.50213
"Brassica oleracea",70,200,5,8,6.5,4,0,0,1,0,1,0,0,0,0,4.7,8.4,6.6,8.2,5.6,NA,NA,NA,NA,NA,NA,NA
"Brassica tournefortii",100,100,1,3,2,3,0,0,0,0,0,0,1,0,0,1.8,5.1,8.6,9.6,9.3,0.56538,0.47273,1.10962,1.94,0.13462,0.216,0.41538
"Briza maxima",200,70.4,4,6,5,3,0,0,0,0,0,0,1,0,0,2.6,1.9,4.5,7.8,6.6,0.65588,0.42994,0.58594,1.62505,0.22518,0.29386,0.23224
"Briza media",100,81,5,8,6.5,4,0,0,0,0,1,0,0,0,0,4.3,2.7,5.9,7.8,4,0.48219,0.46251,1.46492,1.96549,0.99842,0.23199,0.2101
"Briza minor",60,53.7,4,7,5.5,4,0,0,0,0,0,0,1,0,0,4,4.2,5.3,8,6.8,0.48972,0.45378,1.26571,1.73917,0.29143,0.23785,0.25151
"Bromopsis erecta",60,80,5,8,6.5,4,0,0,0,0,1,0,0,0,1,3.1,3.3,7.9,7.8,4.3,0.51925,0.42909,0.87921,1.75393,0.57646,0.28077,0.17393
"Bromopsis ramosa",90,160,7,8,7.5,2,0,0,0,0,1,0,0,0,0,4.6,6.5,7.3,4.9,4.5,NA,NA,NA,NA,NA,NA,NA
"Bromus arvensis",150,80,5,9,7,5,0,0,0,0,0,0,1,0,0,3.6,5.1,7.5,6.7,4.8,0.67728,0.6381,1.24148,1.85522,0.68119,0.21928,0.42815
"Bromus hordeaceus",40,100,3,8,5.5,6,0,0,0,0,0,0,1,0,0,4.2,4.8,5.8,7.3,4.5,0.55139,0.54271,1.75426,2.13166,0.95232,0.27891,0.39876
"Bromus hordeaceus aggr.",15,100,3,8,5.5,6,0,0,0,0,0,0,1,0,0,4.2,4.8,5.8,7.3,4.5,0.55139,0.54271,1.75426,2.13166,0.95232,0.27891,0.39876
"Bromus lanceolatus",104,85,4,6,5,3,0,0,0,0,0,0,1,0,0,2.8,6,7,7.6,6.8,0.75556,0.74043,1.82638,1.88606,0.99724,0.26818,0.33125
"Bromus racemosus",70,75,4,6,5,3,0,0,0,0,0,0,1,0,0,5.9,5.7,5.4,6.5,4.8,0.53794,0.51485,1.42532,2.07358,1.06823,0.22683,0.28272
"Bromus scoparius",35,40,3,6,4.5,4,0,0,0,0,0,0,1,0,0,2.7,5.5,6.7,8.8,6.5,0.7568,0.66548,1.25564,2.12644,0.4797,0.35207,0.37941
"Bromus secalinus",60,100,4,8,6,5,0,0,0,0,0,0,1,0,0,4.2,5,5.4,6.5,4.5,0.85938,0.85888,2.0511,2.12451,0.27676,0.11178,0.82708
"Bromus squarrosus",40,45,4,7,5.5,4,0,0,0,0,0,0,1,0,0,2.7,4.8,7.2,8.2,5.9,0.56662,0.54339,1.35671,1.89303,0.43573,0.31644,0.30015
"Bryonia dioica",40,40,4,9,6.5,6,0,0,0,0,1,0,0,0,0,4.8,6.9,7.7,7.3,5,0.58917,0.27918,0.38905,1.29228,0.06904,0.21214,0.13271
"Bryophyta",NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryum argenteum",40,40,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buddleja davidii",50,500,7,11,9,5,1,0,0,0,0,0,0,1,0,3.9,5.2,7,7.7,5.4,0.66071,0.42875,0.52812,1.40155,0.17533,0.2,0.19647
"Buglossoides arvensis",15,45,2,7,4.5,6,0,0,0,0,1,0,1,0,0,3.5,5.5,6.9,6.2,4.8,NA,NA,NA,NA,NA,NA,NA
"Bunias erucago",35,70,3,7,5,5,0,0,0,0,0,0,1,0,0,3.2,6.8,6.7,7.5,6.3,0.81345,0.79661,1.6259,2.19358,0.62463,0.24269,0.52921
"Calendula arvensis",15,45.5,1,12,6.5,12,0,0,0,0,0,0,1,0,0,3,6.1,7.6,7.4,6.2,0.83797,0.78765,1.22198,2.00052,0.61603,0.21358,0.52432
"Calendula suffruticosa",40,72,1,12,6.5,12,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,0.525,0.455,1.36502,2.01547,0.11539,0.21,0.525
"Calepina irregularis",25,80,4,6,5,3,0,0,0,0,0,0,1,0,0,3,5.1,7.2,8,6.5,0.77188,0.75745,1.58594,1.9427,0.59914,0.2117,0.57143
"Calluna vulgaris",20,100,5,11,8,7,0,0,0,0,0,0,0,1,0,4.5,1.4,1.3,7.3,3.6,0.49341,0.23973,0.46128,1.4287,0.10023,0.25411,0.16076
"Calystegia sepium",20,400,4,9,6.5,6,0,0,0,1,0,0,0,0,0,5.9,8.6,7.2,6.8,4.5,0.52951,0.44987,0.86164,1.43228,0.45245,0.16559,0.20792
"Calystegia silvatica",400,400,4,7,5.5,4,0,0,0,1,1,0,0,0,0,5.2,7.6,7.6,6.2,6.6,0.65222,0.2398,0.18572,1.37061,0.06262,0.18806,0.1161
"Calystegia soldanella",50,50,3,8,5.5,6,0,0,0,1,1,0,0,0,0,3.8,4.6,7.3,8.8,5.4,0.42608,0.42106,1.97326,2.15196,0.02181,0.12825,0.72253
"Camelina microcarpa",40,90,4,7,5.5,4,0,0,0,0,0,0,1,0,0,3.4,4.9,6.9,7.4,4.9,0.69022,0.67995,1.64148,1.93663,0.58884,0.23966,0.49793
"Camelina sativa",60,80,5,7,6,3,1,0,0,0,0,0,1,0,0,3.7,5,6.4,7,4.7,0.72167,0.7,1.40942,1.85792,0.80419,0.21811,0.60977
"Campanula erinus",150,35,3,8,5.5,6,0,0,0,0,0,0,1,0,0,1.9,3.2,7.9,8.2,6.5,0.78731,0.69743,1.19203,1.62037,0.28883,0.31152,0.34622
"Campanula glomerata",12,40,6,9,7.5,4,0,0,0,0,1,0,0,0,0,3.8,3.9,7.1,7.1,4.1,0.51406,0.42191,0.83163,1.75181,0.61415,0.24082,0.17382
"Campanula lusitanica",80,40,5,8,6.5,4,0,0,0,0,0,0,1,0,0,2.1,2.9,3.2,8.8,5.3,0.42206,0.28406,0.64334,1.77668,0.36221,0.26286,0.17761
"Campanula patula",80,80,5,7,6,3,0,0,0,0,1,0,0,0,0,4.5,4.5,6.2,7.5,4.1,NA,NA,NA,NA,NA,NA,NA
"Campanula rapunculus",25,180,3,8,5.5,6,0,0,0,0,1,0,0,0,0,3.2,4.2,6.3,6.7,5.2,0.59529,0.36528,0.43381,1.58226,0.34163,0.23092,0.20832
"Campanula trachelium",80,150,6,9,7.5,4,0,0,0,0,1,0,0,0,0,4.7,7.4,7.2,3.7,4.3,0.68242,0.16139,0.06838,1.31848,0.03347,0.18973,0.10809
"Capsella bursa-pastoris",14,70,11,19,3,9,0,0,0,0,0,0,1,0,0,3.9,6.6,5.9,7.2,4.3,0.77406,0.76726,1.79113,2.07279,0.64778,0.2119,0.65925
"Cardamine flexuosa",30,40,4,8,6,5,0,0,0,0,0,0,1,0,0,6.3,5.8,4.9,5.1,3.7,0.58549,0.27937,0.28955,1.33126,0.1078,0.18194,0.13031
"Cardamine hirsuta",36,25,2,5,3.5,4,0,0,0,0,0,0,1,0,0,4.4,6.9,5.2,5.8,4.8,0.59769,0.45571,0.64594,1.51584,0.28825,0.22901,0.32316
"Cardamine impatiens",100,60,5,6,5.5,2,0,0,0,0,0,0,1,0,0,5.4,7.7,6.5,4.2,4.1,NA,NA,NA,NA,NA,NA,NA
"Carduus bourgeanus",50,150,3,7,5,5,0,0,0,0,0,0,1,0,0,2.4,8.1,7.1,8.1,5.2,0.78889,0.75185,1.74294,1.92642,0.5076,0.19643,0.40357
"Carduus carlinoides",42,50,7,8,7.5,2,0,0,0,0,1,0,0,0,0,2.1,1.2,7.4,8.8,3.1,0.37527,0.36667,1.70537,1.74283,0.09501,0.30729,0.20938
"Carduus carpetanus",200,140,6,8,7,3,0,0,0,0,1,0,0,0,0,2.8,3.9,5.8,8.8,3.9,0.41864,0.36752,1.03795,1.51158,0.2247,0.28475,0.19153
"Carduus defloratus aggr.",130,130,7,8,7.5,2,0,0,0,0,1,0,0,0,0,3.7,5,7.7,7.1,3.2,NA,NA,NA,NA,NA,NA,NA
"Carduus nigrescens",53,130,4,7,5.5,4,0,0,0,0,1,0,0,0,0,1.9,5.1,6.3,7.9,5.5,0.62371,0.50851,0.81946,1.5597,0.34293,0.34494,0.26022
"Carduus nutans aggr.",75,75,6,8,7,3,0,0,0,0,1,0,0,0,0,3,6,7.3,8,4.4,0.60589,0.56807,1.23951,1.85248,0.60056,0.28051,0.2737
"Carduus pycnocephalus",3000,130,3,6,4.5,4,0,0,0,0,0,0,1,0,0,2.3,6.5,6.9,7.7,6.1,0.79814,0.69781,0.89623,1.78459,0.47512,0.24167,0.39518
"Carduus tenuiflorus",270,150,3,8,5.5,6,0,0,0,0,0,0,1,0,0,2.3,6.7,6.3,8.2,6.3,0.77194,0.73312,1.18578,1.91676,0.60232,0.20698,0.42338
"Carduus x cantabricus",300,300,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex acutiformis",40,100,5,7,6,3,0,0,0,1,1,0,0,0,0,7.4,5.6,7.1,6.6,4.2,0.48808,0.34331,0.61309,1.50976,0.34595,0.1626,0.12276
"Carex arenaria",15,30,5,7,6,3,0,0,0,0,1,0,0,0,0,3.2,1.8,2.5,6.8,4.3,0.44967,0.37606,0.99195,1.65328,0.21422,0.303,0.36714
"Carex cuprina",150,100,3,6,4.5,4,0,0,0,0,1,0,0,0,0,6.6,5.8,6.9,6.7,4.7,0.48724,0.44318,1.10228,1.84375,0.56638,0.38726,0.14047
"Carex distachya",60,40,3,6,4.5,4,0,0,0,0,1,0,0,0,0,2.8,3.3,5.7,6.8,6.4,0.69266,0.14399,0.05601,1.32295,0.00944,0.26549,0.10492
"Carex divisa",15,70,3,5,4,3,0,0,0,1,1,0,0,0,0,6.1,5.2,7.6,8.3,5.6,0.54757,0.50905,1.21452,2.03579,0.40545,0.37863,0.21203
"Carex divulsa",250,60,3,6,4.5,4,0,0,0,0,1,0,0,0,0,4.2,5.8,5.7,5.8,5.2,0.65622,0.26298,0.1853,1.41985,0.13318,0.22433,0.16033
"Carex elata",30,170,4,7,5.5,4,0,0,0,0,1,0,0,0,0,7.8,4.7,6,7.2,4.2,0.37333,0.24366,0.75368,1.44487,0.29833,0.13369,0.11646
"Carex flacca",20,60,3,8,5.5,6,0,0,0,1,1,0,0,0,0,5,3.5,7.7,6.7,4.1,0.54734,0.34432,0.49092,1.60091,0.36444,0.2763,0.15381
"Carex hirta",300,40,4,7,5.5,4,0,0,0,0,1,0,0,0,0,5.3,5.4,5.8,6.8,4.4,0.52271,0.49368,1.29975,1.89665,0.85594,0.32101,0.24412
"Carex laevigata",50,100,3,7,5,5,0,0,0,0,1,0,0,0,0,7.3,4.6,4.7,4.1,4.2,0.5686,0.34167,0.54596,1.53922,0.16042,0.2168,0.1374
"Carex leporina",100,40,5,8,6.5,4,0,0,0,0,1,0,0,0,0,5.8,3.7,3.4,6.5,3.6,0.52308,0.47623,1.12419,1.96656,0.77978,0.31848,0.24065
"Carex muricata",130,50,3,6,4.5,4,0,0,0,0,1,0,0,0,0,4.3,5.3,6.1,6.3,4,0.62769,0.2631,0.22741,1.43767,0.17474,0.20497,0.17303
"Carex pendula",200,150,4,6,5,3,0,0,0,0,1,0,0,0,0,6.3,6.2,6.3,4.5,4.3,0.66743,0.28167,0.18413,1.39139,0.05259,0.18663,0.10692
"Carex remota",80,50,5,7,6,3,0,0,0,0,1,0,0,0,0,6.3,5.7,5.7,3,4.3,0.65725,0.27827,0.16942,1.40771,0.03603,0.18505,0.11135
"Carex reuteriana",30,170,3,7,5,5,0,0,0,0,1,0,0,0,0,6.9,5.4,4.8,5.9,3.6,0.51,0.31128,0.54576,1.63099,0.00778,0.14457,0.11049
"Carex riparia",40,100,3,6,4.5,4,0,0,0,1,1,0,0,0,0,7.5,5.5,7.1,6.8,4.7,0.3721,0.29028,0.80255,1.59014,0.44388,0.15049,0.11311
"Carex sylvatica",20,70,5,8,6.5,4,0,0,0,0,1,0,0,0,0,4.9,5.7,6.4,2.2,4.1,0.6853,0.17303,0.06383,1.33807,0.02782,0.19231,0.10978
"Carlina acaulis",120,33,8,9,8.5,2,0,0,0,0,1,0,0,0,0,3.5,2.8,5.5,7.9,4.1,0.47035,0.41844,1.0593,1.67653,0.48695,0.27035,0.17171
"Carlina corymbosa",85,85,7,9,8,3,0,0,0,0,1,0,0,0,0,2.3,3.7,7.9,7.9,5.9,NA,NA,NA,NA,NA,NA,NA
"Carlina hispanica",100,85,7,9,8,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlina vulgaris",81,81,8,8,8,1,0,0,0,0,1,0,0,0,0,3.3,3.2,7.1,7.2,4.4,NA,NA,NA,NA,NA,NA,NA
"Carpobrotus edulis",4,13,3,6,4.5,4,1,0,1,0,0,0,0,0,0,1.5,5.5,7.3,9.3,8.2,0.53548,0.45889,0.92295,1.43433,0.11829,0.15667,0.51023
"Carthamus lanatus",60,70,5,8,6.5,4,0,0,0,0,0,0,1,0,0,2.7,5.7,7.1,8.2,6.4,0.71654,0.69074,1.43351,1.86391,0.53419,0.29655,0.33812
"Carum carvi",100,60,4,7,5.5,4,0,0,0,0,1,0,0,0,0,4.5,5.8,5.9,7.9,3.4,0.5043,0.49339,1.6217,2.0645,1.03763,0.26147,0.33955
"Carum verticillatum",40,90,5,8,6.5,4,0,0,0,0,1,0,0,0,0,6.6,3,3.4,7.2,5,0.38145,0.37578,1.69419,1.80567,0.57692,0.26609,0.1841
"Castanea sativa",40,300,6,9,7.5,4,0,0,0,0,0,0,0,1,0,4.4,4,3.9,5,5.9,0.70347,0.12232,0.03223,1.30738,0.00761,0.201,0.11794
"Catapodium marinum",70,22,4,6,5,3,0,0,0,0,0,0,1,0,0,3.2,3.6,7,9.3,6.7,0.5016,0.49055,1.0866,1.11703,0.24405,0.22571,0.32238
"Catapodium rigidum",20,40,3,6,4.5,4,0,0,0,0,0,0,1,0,0,2.3,3.2,6.9,8.9,5.6,0.71921,0.60611,0.92427,1.76605,0.28584,0.29641,0.33527
"Caucalis platycarpos",1200,40,4,7,5.5,4,0,0,0,0,0,0,1,0,0,3.1,4.7,8.8,6.5,5.1,0.73643,0.71047,1.31881,1.91926,0.47881,0.21281,0.59419
"Centaurea aspera",600,105,3,7,5,5,0,0,0,0,1,0,0,0,0,1.8,5.1,6.1,8.2,6.6,0.66231,0.59606,1.10099,1.71098,0.38184,0.21208,0.35229
"Centaurea calcitrapa",1000,80,5,9,7,5,0,0,0,0,1,0,0,0,0,3.2,5.7,6.6,8.1,6,0.77273,0.74662,1.38252,1.80114,0.6468,0.22657,0.36103
"Centaurea debeauxii",30,160,7,11,9,5,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0.52704,0.46506,0.98917,1.89011,0.82428,0.20827,0.29964
"Centaurea jacea",80,80,7,9,8,3,0,0,0,0,1,0,0,0,0,4.4,4.9,6,7,3.9,0.51097,0.48199,1.33025,1.98017,1.04662,0.20459,0.27353
"Centaurea lagascana",60,8,6,8,7,3,0,0,0,0,1,0,0,0,0,3.6,3.4,5.2,8.8,3.9,NA,NA,NA,NA,NA,NA,NA
"Centaurea langei",40,105,5,11,8,7,0,0,0,0,1,0,0,0,0,2.4,3.9,7.1,8.1,4.6,NA,NA,NA,NA,NA,NA,NA
"Centaurea nemoralis",120,120,7,9,8,3,0,0,0,0,1,0,0,0,0,3.8,3.6,4.8,6.5,4.3,0.49631,0.45591,1.16166,1.79888,0.89364,0.23547,0.20545
"Centaurea nigra",30,140,6,10,8,5,0,0,0,0,1,0,0,0,0,4.3,4.3,3.7,7.8,3.9,0.48816,0.47654,1.68973,2.00699,1.01649,0.29832,0.30079
"Centaurea ornata",120,80,5,10,7.5,6,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0.57941,0.41053,0.81726,1.65484,0.29659,0.39412,0.22308
"Centaurea scabiosa",70,100,6,10,8,5,0,0,0,0,1,0,0,0,0,3.1,3.7,7.7,7.4,4.3,0.51296,0.46675,1.14011,1.77843,0.72626,0.26281,0.17868
"Centaurea solstitialis",110,75,7,11,9,5,0,0,0,0,0,0,1,0,0,3,5.9,6.3,8.3,5.8,0.76637,0.73507,1.42244,1.93969,0.62543,0.24055,0.46771
"Centaurea sphaerocephala",110,110,3,7,5,5,0,0,0,0,1,0,0,0,0,4.1,5.1,7.3,9.5,8.1,0.39597,0.35238,1.25325,1.78991,0.04049,0.18291,0.44224
"Centaurium erythraea",250,65,6,8,7,3,0,0,0,0,1,0,1,0,0,4.6,4.5,6,7.7,4.8,0.55899,0.42706,0.74232,1.72223,0.45152,0.31581,0.20512
"Centaurium pulchellum",2,30,5,8,6.5,4,0,0,0,0,0,0,1,0,0,5.3,4.1,7.8,8.5,4.8,0.56417,0.54156,1.53225,1.97087,0.29725,0.41624,0.23191
"Centaurium tenuiflorum",10,40,5,8,6.5,4,0,0,0,0,0,0,1,0,0,5.4,3.3,7.7,8.7,7.3,0.6396,0.51589,1.04716,1.58152,0.21756,0.32241,0.2679
"Centranthus calcitrapae",85,80,3,6,4.5,4,0,0,0,0,0,0,1,0,0,2.1,2.9,6.9,8.3,6.5,0.7239,0.54352,0.61852,1.65688,0.23612,0.2867,0.30398
"Centranthus ruber",140,120,4,9,6.5,6,0,0,1,0,0,0,0,0,0,3.3,5,8.4,7.2,5.9,0.68155,0.28367,0.24739,1.33434,0.07845,0.2371,0.16221
"Cerastium arvense",30,30,5,8,6.5,4,0,0,1,0,0,0,0,0,0,3.3,3.8,5.8,7.7,4,0.46142,0.41736,1.14878,1.78546,0.38405,0.27764,0.246
"Cerastium brachypetalum",12,42,3,6,4.5,4,0,0,0,0,0,0,1,0,0,2.8,2.5,7.4,8.9,5.4,0.55609,0.48243,0.91574,1.84215,0.36932,0.29356,0.3049
"Cerastium diffusum",15,15,3,7,5,5,0,0,0,0,0,0,1,0,0,3.4,3.3,4.4,8.2,4.4,0.48548,0.48123,1.95539,2.13758,0.42063,0.39635,0.43959
"Cerastium fontanum",35,65,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,4.6,5.2,5.2,6.4,2.7,NA,NA,NA,NA,NA,NA,NA
"Cerastium glomeratum",15,55,1,8,4.5,8,0,0,0,0,0,0,1,0,0,4.2,5.8,5.3,7.1,4.4,0.67083,0.63295,1.24583,1.99939,0.56795,0.28417,0.48569
"Cerastium gracile",30,28,3,7,5,5,0,0,0,0,0,0,1,0,0,2.3,1.8,5.5,8.8,5.3,0.4546,0.39556,0.98392,1.56315,0.17498,0.28339,0.22934
"Cerastium pumilum",150,25,3,7,5,5,0,0,0,0,0,0,1,0,0,2.3,2.6,7.8,8.2,5.4,0.52614,0.50456,1.55739,1.98904,0.39075,0.35258,0.30733
"Cerastium semidecandrum",250,25,2,6,4,5,0,0,0,0,0,0,1,0,0,2.9,3.4,5.8,8.3,5.2,0.46249,0.43915,1.39189,1.83687,0.38437,0.30571,0.38883
"Ceratocapnos claviculata",100,100,3,10,6.5,8,0,0,0,0,0,0,1,0,0,4.6,6.1,2.5,5,4.8,0.75459,0.19418,0.12484,1.27879,0.02724,0.19687,0.20225
"Ceratochloa cathartica",100,100,1,11,6,11,1,0,0,0,1,0,1,0,0,3.3,6.6,7.2,7.5,6,0.75625,0.74265,1.3741,1.68065,0.92412,0.16765,0.46515
"Chaerophyllum aureum",120,120,5,8,6.5,4,0,0,0,0,1,0,0,0,0,4.5,8,7.8,5.8,4,0.58611,0.40955,0.52961,1.41632,0.38694,0.18157,0.20912
"Chaerophyllum hirsutum",100,140,5,8,6.5,4,0,0,0,0,1,0,0,0,0,6.5,7.4,5.9,5.7,3.1,0.57391,0.35091,0.42459,1.32511,0.19707,0.16702,0.12499
"Chaerophyllum nodosum",600,100,3,6,4.5,4,0,0,0,0,0,0,1,0,0,3.4,4.8,7.5,6.7,6,0.70909,0.22929,0.08512,1.3859,0.03882,0.20929,0.13521
"Chaerophyllum temulum",7,100,5,7,6,3,0,0,0,0,1,0,0,0,0,4.5,8.1,6.5,5.2,4.6,0.68859,0.26809,0.17316,1.34857,0.09545,0.19552,0.14349
"Chamaemelum nobile",40,40,4,7,5.5,4,0,0,1,0,0,0,0,0,0,4.5,4.5,3.6,7.9,5.1,0.49645,0.49125,1.96669,2.28622,0.66223,0.59238,0.32767
"Cheirolophus sempervirens",50,60,5,9,7,5,0,0,0,0,1,0,0,0,0,3.3,5.1,7.3,8.2,7.2,NA,NA,NA,NA,NA,NA,NA
"Chelidonium majus",17,100,3,9,6,7,0,0,0,0,1,0,0,0,0,4.4,8.4,6.8,5.9,4.5,0.69438,0.37984,0.32264,1.37302,0.2083,0.19481,0.20797
"Chenopodiastrum hybridum",17,100,7,8,7.5,2,0,0,0,0,0,0,1,0,0,4.4,8.3,7.6,7.1,4.6,0.83168,0.81588,1.51412,1.95832,0.7027,0.13983,0.75208
"Chenopodiastrum murale",50,90,1,12,6.5,12,0,0,0,0,0,0,1,0,0,3.6,9.2,7.4,8.1,5.7,0.84485,0.83369,1.51154,1.76019,0.95332,0.14743,0.64049
