Original.Taxon,SIVIMID,Analysis.Names,Cover,Cover.percent
Plantago major,NEW-OMAR-BA02,Plantago major,1,5
Plantago major,NEW-OMAR-PA98,Plantago major,1,5
Plantago major,NEW-OMAR-BA15,Plantago major,1,5
Plantago major,NEW-OMAR-BA108,Plantago major,1,5
Plantago major,NEW-OMAR-BA20,Plantago major,1,5
Plantago major,NEW-OMAR-RE27,Plantago major,1,5
Plantago media,NEW-OMAR-LF52,Plantago media,1,5
Avena barbata,NEW-OMAR-MO10,Avena barbata,1,1
Betula celtiberica,NEW-OMAR-LNA75,Betula pubescens,1,5
Betula celtiberica,NEW-OMAR-PA31,Betula pubescens,1,5
Polygonum aviculare,NEW-OMAR-LF09,Polygonum aviculare,1,5
Polypogon monspeliensis,NEW-OMAR-PA98,Polypogon monspeliensis,1,5
Polystichum setiferum,NEW-OMAR-BA19,Polystichum setiferum,1,5
Polystichum setiferum,NEW-OMAR-PA55,Polystichum setiferum,1,5
Polystichum setiferum,NEW-OMAR-LNA76,Polystichum setiferum,1,5
Potentilla erecta,NEW-OMAR-PA16,Potentilla erecta,1,5
Potentilla montana,NEW-OMAR-BA19,Potentilla montana,1,5
Potentilla montana,NEW-OMAR-LNA76,Potentilla montana,1,5
Potentilla montana,NEW-OMAR-LF51,Potentilla montana,1,5
Potentilla reptans,NEW-OMAR-BA02,Potentilla reptans,1,5
Helminthotheca echioides ,NEW-OMAR-MO10,Helminthotheca echioides,1,1
Potentilla reptans,NEW-OMAR-LF105,Potentilla reptans,1,5
Potentilla sterilis,NEW-OMAR-PA69,Potentilla sterilis,1,5
Cirsium vulgare ,NEW-OMAR-NI01,Cirsium vulgare,1,1
Prunella vulgaris ,NEW-OMAR-BA14,Prunella vulgaris,1,5
Prunella vulgaris ,NEW-OMAR-LF11,Prunella vulgaris,1,5
Prunella vulgaris ,NEW-OMAR-LF51,Prunella vulgaris,1,5
Prunella vulgaris ,NEW-OMAR-BA53,Prunella vulgaris,1,5
Pseudarrhenatherum longifolium,NEW-OMAR-PA96,Pseudarrhenatherum longifolium,1,5
Pseudarrhenatherum longifolium,NEW-OMAR-PA50,Pseudarrhenatherum longifolium,1,5
Pseudarrhenatherum longifolium,NEW-OMAR-CC22,Pseudarrhenatherum longifolium,1,5
Pseudarrhenatherum longifolium,NEW-OMAR-PA16,Pseudarrhenatherum longifolium,1,5
Pseudarrhenatherum longifolium,NEW-OMAR-CC90,Pseudarrhenatherum longifolium,1,5
Pseudarrhenatherum longifolium,NEW-OMAR-PA45,Pseudarrhenatherum longifolium,1,5
Pseudarrhenatherum longifolium,NEW-OMAR-PA48,Pseudarrhenatherum longifolium,1,5
Pteridium aquilinum,NEW-OMAR-LT54,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-PA67,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-PA45,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-RE28,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-CC87,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-CO66,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-RE36,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-RE29,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-PA56,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-PA31,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-CC90,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-BA18,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-RI72,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-CC25,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-PA55,Pteridium aquilinum,1,5
Pteridium aquilinum,NEW-OMAR-PA32,Pteridium aquilinum,1,5
Pulicaria dysenterica,NEW-OMAR-BA08,Pulicaria dysenterica,1,5
Pulicaria dysenterica,NEW-OMAR-BA107,Pulicaria dysenterica,1,5
Pycreus flavescens,NEW-OMAR-BA84,Cyperus flavescens,1,5
Quercus robur,NEW-OMAR-TU91,Quercus robur,1,5
Quercus robur,NEW-OMAR-BA19,Quercus robur,1,5
Quercus robur,NEW-OMAR-PA70,Quercus robur,1,5
Quercus robur,NEW-OMAR-PA48,Quercus robur,1,5
Quercus robur,NEW-OMAR-CC25,Quercus robur,1,5
Quercus robur,NEW-OMAR-CC22,Quercus robur,1,5
Quercus robur,NEW-OMAR-LNA76,Quercus robur,1,5
Quercus robur,NEW-OMAR-PA67,Quercus robur,1,5
Quercus robur,NEW-OMAR-CC89,Quercus robur,1,5
Quercus robur,NEW-OMAR-LNA73,Quercus robur,1,5
Quercus robur,NEW-OMAR-BA18,Quercus robur,1,5
Ranunculus bulbosus,NEW-OMAR-LT54,Ranunculus bulbosus,1,5
Ranunculus bulbosus,NEW-OMAR-BA53,Ranunculus bulbosus,1,5
Ranunculus repens,NEW-OMAR-BA14,Ranunculus repens,1,5
Ranunculus repens,NEW-OMAR-BA80,Ranunculus repens,1,5
Ranunculus repens,NEW-OMAR-BA107,Ranunculus repens,1,5
Ranunculus repens,NEW-OMAR-BA04,Ranunculus repens,1,5
Ranunculus repens,NEW-OMAR-BA20,Ranunculus repens,1,5
Ranunculus repens,NEW-OMAR-LF09,Ranunculus repens,1,5
Ranunculus repens,NEW-OMAR-BA43,Ranunculus repens,1,5
Ranunculus repens,NEW-OMAR-LF52,Ranunculus repens,1,5
Betula celtiberica,NEW-OMAR-CC25,Betula pubescens,2,15
Betula celtiberica,NEW-OMAR-PA50,Betula pubescens,2,15
Betula celtiberica,NEW-OMAR-PA47,Betula pubescens,2,15
Rubus caesius,NEW-OMAR-PA16,Rubus caesius,1,5
Betula celtiberica,NEW-OMAR-PA69,Betula pubescens,2,15
Betula celtiberica,NEW-OMAR-CC89,Betula pubescens,2,15
Betula celtiberica,NEW-OMAR-CC90,Betula pubescens,2,15
Betula celtiberica,NEW-OMAR-BA18,Betula pubescens,3,37.5
Betula celtiberica,NEW-OMAR-PA67,Betula pubescens,3,37.5
Betula celtiberica,NEW-OMAR-PA46,Betula pubescens,4,62.5
Betula celtiberica,NEW-OMAR-RE29,Betula pubescens,4,62.5
Betula celtiberica,NEW-OMAR-PA99,Betula pubescens,4,62.5
Betula celtiberica,NEW-OMAR-PA56,Betula pubescens,5,87.5
Betula celtiberica,NEW-OMAR-PA55,Betula pubescens,5,87.5
Betula celtiberica,NEW-OMAR-BA33,Betula pubescens,+,1
Rubus ulmifolius,NEW-OMAR-BA08,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-PA17,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-CO62,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-BA33,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-RI71,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-TU92,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-TU91,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-CC89,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-PA32,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-PA68,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-PA69,Rubus ulmifolius,1,5
Rubus ulmifolius ,NEW-OMAR-PA67,Rubus ulmifolius,1,5
Rumex acetosa,NEW-OMAR-BA53,Rumex acetosa,1,5
Rumex acetosa,NEW-OMAR-LT54,Rumex acetosa,1,5
Rumex acetosa,NEW-OMAR-BA14,Rumex acetosa,1,5
Rumex conglomeratus,NEW-OMAR-BA04,Rumex conglomeratus,1,5
Rumex crispus,NEW-OMAR-BA107,Rumex crispus,1,5
Rumex crispus,NEW-OMAR-BA13,Rumex crispus,1,5
Rumex crispus,NEW-OMAR-BA84,Rumex crispus,1,5
Rumex crispus,NEW-OMAR-LF105,Rumex crispus,1,5
Salix alba,NEW-OMAR-LF105,Salix alba,1,5
Salix alba,NEW-OMAR-CO62,Salix alba,1,5
Salix alba,NEW-OMAR-BA81,Salix alba,1,5
Salix atrocinerea,NEW-OMAR-CO63,Salix cinerea subsp. oleifolia,1,5
Salix atrocinerea,NEW-OMAR-CO61,Salix cinerea subsp. oleifolia,1,5
Salix atrocinerea,NEW-OMAR-PA104,Salix cinerea subsp. oleifolia,1,5
Salix atrocinerea,NEW-OMAR-BA80,Salix cinerea subsp. oleifolia,1,5
Salix atrocinerea,NEW-OMAR-PA67,Salix cinerea subsp. oleifolia,1,5
Salix atrocinerea,NEW-OMAR-PA46,Salix cinerea subsp. oleifolia,1,5
Salix atrocinerea,NEW-OMAR-PA69,Salix cinerea subsp. oleifolia,1,5
Salix caprea,NEW-OMAR-BA82,Salix caprea,1,5
Salix caprea,NEW-OMAR-BA85,Salix caprea,1,5
Salix caprea,NEW-OMAR-CO61,Salix caprea,1,5
Salix caprea,NEW-OMAR-CO63,Salix caprea,1,5
Salix caprea,NEW-OMAR-BA03,Salix caprea,1,5
Salix caprea,NEW-OMAR-BA81,Salix caprea,1,5
Betula celtiberica,NEW-OMAR-RE36,Betula pubescens,+,1
Betula celtiberica,NEW-OMAR-LF09,Betula pubescens,+,1
Betula celtiberica,NEW-OMAR-PA48,Betula pubescens,+,1
Salix euxina,NEW-OMAR-BA04,Salix euxina,1,5
Salix euxina,NEW-OMAR-BA03,Salix euxina,1,5
Sambucus nigra,NEW-OMAR-BA18,Sambucus nigra,1,5
Sambucus nigra,NEW-OMAR-CC90,Sambucus nigra,1,5
Sanguisorba minor,NEW-OMAR-CO66,Sanguisorba minor,1,5
Saxifraga hirsuta,NEW-OMAR-LF09,Saxifraga hirsuta,1,5
Schedonorus arundinaceus,NEW-OMAR-BA12,Schedonorus arundinaceus,1,5
Erigeron sumatrensis,NEW-OMAR-NI01,Erigeron sumatrensis,1,1
Senecio vulgaris,NEW-OMAR-BA06,Senecio vulgaris,1,5
Senecio vulgaris,NEW-OMAR-BA34,Senecio vulgaris,1,5
Serapias lingua,NEW-OMAR-LF52,Serapias lingua,1,5
Serapias lingua,NEW-OMAR-LT54,Serapias lingua,1,5
Silene dioica,NEW-OMAR-LF09,Silene dioica,1,5
Simethis mattiazzii,NEW-OMAR-LC77,Simethis planifolia,1,5
Sisymbrium officinale,NEW-OMAR-PA98,Sisymbrium officinale,1,5
Sisymbrium officinale,NEW-OMAR-PA97,Sisymbrium officinale,1,5
Sisymbrium officinale,NEW-OMAR-LF10,Sisymbrium officinale,1,5
Solanum dulcamara,NEW-OMAR-BA41,Solanum dulcamara,1,5
Solanum dulcamara,NEW-OMAR-LF09,Solanum dulcamara,1,5
Solanum dulcamara,NEW-OMAR-CO62,Solanum dulcamara,1,5
Solidago virgaurea,NEW-OMAR-PA31,Solidago virgaurea,1,5
Solidago virgaurea,NEW-OMAR-PA99,Solidago virgaurea,1,5
Solidago virgaurea,NEW-OMAR-RE28,Solidago virgaurea,1,5
Solidago virgaurea,NEW-OMAR-PA50,Solidago virgaurea,1,5
Solidago virgaurea,NEW-OMAR-RE29,Solidago virgaurea,1,5
Solidago virgaurea,NEW-OMAR-CO63,Solidago virgaurea,1,5
Sonchus asper,NEW-OMAR-BA38,Sonchus asper,1,5
Sonchus asper,NEW-OMAR-BA43,Sonchus asper,1,5
Sonchus oleraceus,NEW-OMAR-BA06,Sonchus oleraceus,1,5
Sonchus oleraceus,NEW-OMAR-BA38,Sonchus oleraceus,1,5
Sonchus oleraceus,NEW-OMAR-BA43,Sonchus oleraceus,1,5
Sonchus oleraceus,NEW-OMAR-BA04,Sonchus oleraceus,1,5
Stachys arvensis,NEW-OMAR-BA34,Stachys arvensis,1,5
Stellaria media,NEW-OMAR-BA42,Stellaria media,1,5
Stellaria media,NEW-OMAR-BA38,Stellaria media,1,5
Stellaria media,NEW-OMAR-BA05,Stellaria media,1,5
Symphyotrichum squamatum,NEW-OMAR-BA03,Symphyotrichum squamatum,1,5
Symphyotrichum squamatum,NEW-OMAR-BA02,Symphyotrichum squamatum,1,5
Symphytum tuberosum,NEW-OMAR-LF09,Symphytum tuberosum,1,5
Betula celtiberica,NEW-OMAR-PA96,Betula pubescens,+,1
Betula celtiberica,NEW-OMAR-PA17,Betula pubescens,+,1
Betula celtiberica,NEW-OMAR-PA70,Betula pubescens,+,1
Betula celtiberica,NEW-OMAR-PA32,Betula pubescens,+,1
Betula celtiberica,NEW-OMAR-RE28,Betula pubescens,+,1
Betula celtiberica,NEW-OMAR-CC22,Betula pubescens,+,1
Betula celtiberica,NEW-OMAR-PA49,Betula pubescens,+,1
Teucrium scorodonia,NEW-OMAR-LF51,Teucrium scorodonia,1,5
Teucrium scorodonia,NEW-OMAR-PA68,Teucrium scorodonia,1,5
Teucrium scorodonia,NEW-OMAR-CC87,Teucrium scorodonia,1,5
Teucrium scorodonia,NEW-OMAR-PA69,Teucrium scorodonia,1,5
Teucrium scorodonia,NEW-OMAR-PA50,Teucrium scorodonia,1,5
Torilis japonica,NEW-OMAR-LF95,Torilis japonica,1,5
Sedum album ,NEW-OMAR-NI01,Sedum album,1,1
Trifolium campestre ,NEW-OMAR-PA104,Trifolium campestre,1,5
Plantago lanceolata ,NEW-OMAR-NI06,Plantago lanceolata,1,1
Trifolium dubium,NEW-OMAR-BA85,Trifolium dubium,1,5
Trifolium pratense ,NEW-OMAR-BA14,Trifolium pratense,1,5
Piptatherum miliaceum ,NEW-OMAR-NI09,Piptatherum miliaceum,1,1
Trifolium pratense ,NEW-OMAR-LT54,Trifolium pratense,1,5
Trifolium repens,NEW-OMAR-BA53,Trifolium repens,1,5
Trifolium repens,NEW-OMAR-BA02,Trifolium repens,1,5
Trifolium repens,NEW-OMAR-LF11,Trifolium repens,1,5
Tussilago farfara,NEW-OMAR-BA15,Tussilago farfara,1,5
Tussilago farfara,NEW-OMAR-PA47,Tussilago farfara,1,5
Brassica oleracea subsp. oleracea,NEW-OMAR-BA03,Brassica oleracea,+,1
Carex cuprina,NEW-OMAR-CA05,Carex cuprina,2,2
Poa trivialis,NEW-OMAR-CA05,Poa trivialis,2,2
Potentilla reptans,NEW-OMAR-CA05,Potentilla reptans,2,2
Umbilicus rupestris,NEW-OMAR-PA68,Umbilicus rupestris,1,5
Urtica dioica,NEW-OMAR-BA82,Urtica dioica,1,5
Urtica dioica,NEW-OMAR-BA81,Urtica dioica,1,5
Urtica dioica,NEW-OMAR-BA13,Urtica dioica,1,5
Urtica dioica,NEW-OMAR-BA15,Urtica dioica,1,5
Urtica dioica,NEW-OMAR-BA41,Urtica dioica,1,5
Urtica dioica,NEW-OMAR-LF09,Urtica dioica,1,5
Helminthotheca echioides ,NEW-OMAR-MO02,Helminthotheca echioides,2,2
Verbena officinalis,NEW-OMAR-CC23,Verbena officinalis,1,5
Verbena officinalis,NEW-OMAR-PA30,Verbena officinalis,1,5
Verbena officinalis,NEW-OMAR-BA15,Verbena officinalis,1,5
Veronica persica,NEW-OMAR-BA38,Veronica persica,1,5
Veronica persica,NEW-OMAR-PA35,Veronica persica,1,5
Veronica persica,NEW-OMAR-BA43,Veronica persica,1,5
Buddleja davidii ,NEW-OMAR-BA04,Buddleja davidii,+,1
Holcus lanatus ,NEW-OMAR-MO03,Holcus lanatus,2,2
Capsella bursa-pastoris subsp. bursa-pastoris,NEW-OMAR-PA35,Capsella bursa-pastoris,1,5
Capsella bursa-pastoris subsp. bursa-pastoris,NEW-OMAR-BA06,Capsella bursa-pastoris,1,5
Agrostis capillaris,NEW-OMAR-CC88,Agrostis capillaris,2,15
Agrostis capillaris,NEW-OMAR-CC23,Agrostis capillaris,2,15
Agrostis capillaris,NEW-OMAR-PA98,Agrostis capillaris,2,15
Agrostis capillaris,NEW-OMAR-RE28,Agrostis capillaris,2,15
Agrostis capillaris,NEW-OMAR-PA32,Agrostis capillaris,2,15
Agrostis curtisii,NEW-OMAR-PA70,Agrostis curtisii,2,15
Agrostis stolonifera,NEW-OMAR-BA85,Agrostis stolonifera,2,15
Anagallis arvensis,NEW-OMAR-BA85,Anagallis arvensis,2,15
Angelica sylvestris,NEW-OMAR-BA81,Angelica sylvestris,2,15
Anisantha madritensis,NEW-OMAR-PA98,Anisantha madritensis,2,15
Capsella bursa-pastoris subsp. bursa-pastoris,NEW-OMAR-BA42,Capsella bursa-pastoris,1,5
Capsella bursa-pastoris subsp. bursa-pastoris,NEW-OMAR-BA05,Capsella bursa-pastoris,1,5
Capsella bursa-pastoris subsp. bursa-pastoris,NEW-OMAR-BA34,Capsella bursa-pastoris,+,1
Capsella bursa-pastoris subsp. rubella,NEW-OMAR-LF10,Capsella bursa-pastoris,+,1
Artemisia vulgaris,NEW-OMAR-PA104,Artemisia vulgaris,2,15
Avena barbata,NEW-OMAR-BA14,Avena barbata,2,15
Cirsium palustre,NEW-OMAR-BA84,Cirsium palustre,1,5
Cirsium palustre,NEW-OMAR-BA85,Cirsium palustre,+,1
Cirsium palustre,NEW-OMAR-BA81,Cirsium palustre,+,1
Conopodium majus subsp. marzianum,NEW-OMAR-PA67,Conopodium majus,+,1
Conopodium majus subsp. marzianum,NEW-OMAR-LF09,Conopodium majus,+,1
Bidens tripartita,NEW-OMAR-BA04,Bidens tripartitus,2,15
Blechnum spicant subsp. spicant,NEW-OMAR-RE28,Blechnum spicant,2,15
Brachypodium rupestre,NEW-OMAR-PA69,Brachypodium rupestre,2,15
Brachypodium rupestre,NEW-OMAR-AC78,Brachypodium rupestre,2,15
Brachypodium rupestre,NEW-OMAR-CO63,Brachypodium rupestre,2,15
Calluna vulgaris,NEW-OMAR-RI71,Calluna vulgaris,2,15
Calluna vulgaris,NEW-OMAR-LC77,Calluna vulgaris,2,15
Calystegia sepium,NEW-OMAR-BA13,Calystegia sepium,2,15
Cardamine hirsuta,NEW-OMAR-BA42,Cardamine hirsuta,2,15
Dittrichia viscosa ,NEW-OMAR-MO07,Dittrichia viscosa,2,2
Carex pendula,NEW-OMAR-CO63,Carex pendula,2,15
Carex pendula,NEW-OMAR-CO62,Carex pendula,2,15
Carex pendula,NEW-OMAR-BA81,Carex pendula,2,15
Castanea sativa,NEW-OMAR-CC90,Castanea sativa,2,15
Castanea sativa,NEW-OMAR-BA33,Castanea sativa,2,15
Centaurea nigra ,NEW-OMAR-LF52,Centaurea nigra,2,15
Centaurea nigra ,NEW-OMAR-LT54,Centaurea nigra,2,15
Centaurea nigra ,NEW-OMAR-BA14,Centaurea nigra,2,15
Cerastium fontanum,NEW-OMAR-BA34,Cerastium fontanum,2,15
Crepis capillaris,NEW-OMAR-LF52,Crepis capillaris,2,15
Crepis vesicaria subsp. taraxacifolia,NEW-OMAR-BA14,Crepis vesicaria,1,5
Cymbalaria muralis,NEW-OMAR-TU92,Cymbalaria muralis,2,15
Daboecia cantabrica,NEW-OMAR-RI72,Daboecia cantabrica,2,15
Daboecia cantabrica,NEW-OMAR-PA70,Daboecia cantabrica,2,15
Daboecia cantabrica,NEW-OMAR-PA69,Daboecia cantabrica,2,15
Dactylis glomerata,NEW-OMAR-PA47,Dactylis glomerata,2,15
Dactylis glomerata,NEW-OMAR-RE29,Dactylis glomerata,2,15
Helminthotheca echioides ,NEW-OMAR-MO07,Helminthotheca echioides,2,2
Dioscorea communis,NEW-OMAR-PA55,Dioscorea communis,2,15
Dipsacus fullonum,NEW-OMAR-BA15,Dipsacus fullonum,2,15
Dipsacus fullonum,NEW-OMAR-PA104,Dipsacus fullonum,2,15
Daucus carota,NEW-OMAR-NI03,Daucus carota,2,2
Crepis vesicaria subsp. taraxacifolia,NEW-OMAR-LF11,Crepis vesicaria,2,15
Erica ciliaris,NEW-OMAR-LC77,Erica ciliaris,2,15
Erica ciliaris,NEW-OMAR-RI71,Erica ciliaris,2,15
Erica ciliaris,NEW-OMAR-LNA75,Erica ciliaris,2,15
Erica ciliaris,NEW-OMAR-PA70,Erica ciliaris,2,15
Erica cinerea,NEW-OMAR-PA17,Erica cinerea,2,15
Erica cinerea,NEW-OMAR-LC77,Erica cinerea,2,15
Erica vagans,NEW-OMAR-PA70,Erica vagans,2,15
Erica vagans,NEW-OMAR-LC77,Erica vagans,2,15
Erica vagans,NEW-OMAR-LNA75,Erica vagans,2,15
Erica vagans,NEW-OMAR-RI72,Erica vagans,2,15
Erigeron bonariensis,NEW-OMAR-BA02,Erigeron bonariensis,2,15
Euphorbia helioscopia,NEW-OMAR-BA85,Euphorbia helioscopia,2,15
Euphorbia helioscopia,NEW-OMAR-BA05,Euphorbia helioscopia,2,15
Euphorbia peplus,NEW-OMAR-BA43,Euphorbia peplus,2,15
Euphorbia peplus,NEW-OMAR-PA35,Euphorbia peplus,2,15
Festuca nigrescens,NEW-OMAR-RE29,Festuca nigrescens,2,15
Festuca nigrescens,NEW-OMAR-PA47,Festuca nigrescens,2,15
Festuca rubra,NEW-OMAR-LF52,Festuca rubra,2,15
Festuca rubra,NEW-OMAR-LT54,Festuca rubra,2,15
Festuca rubra,NEW-OMAR-LF11,Festuca rubra,2,15
Festuca rubra,NEW-OMAR-PA70,Festuca rubra,2,15
Galium aparine,NEW-OMAR-BA58,Galium aparine,2,15
Gaudinia fragilis,NEW-OMAR-LF11,Gaudinia fragilis,2,15
Crepis vesicaria subsp. taraxacifolia,NEW-OMAR-CO63,Crepis vesicaria,+,1
Holcus lanatus ,NEW-OMAR-NI05,Holcus lanatus,2,2
Schedonorus arundinaceus,NEW-OMAR-CA02,Schedonorus arundinaceus,3,3
Helosciadium nodiflorum,NEW-OMAR-BA80,Helosciadium nodiflorum,2,15
Hirschfeldia incana ,NEW-OMAR-BA12,Hirschfeldia incana,2,15
Hirschfeldia incana ,NEW-OMAR-BA15,Hirschfeldia incana,2,15
Holcus lanatus ,NEW-OMAR-LF51,Holcus lanatus,2,15
Blackstonia perfoliata ,NEW-OMAR-CA04,Blackstonia perfoliata,3,3
Holcus lanatus ,NEW-OMAR-LF52,Holcus lanatus,2,15
Holcus lanatus ,NEW-OMAR-LF11,Holcus lanatus,2,15
Dipsacus fullonum,NEW-OMAR-CA05,Dipsacus fullonum,3,3
Holcus lanatus ,NEW-OMAR-BA12,Holcus lanatus,2,15
Holcus mollis,NEW-OMAR-LNA76,Holcus mollis,2,15
Hordeum murinum,NEW-OMAR-LF10,Hordeum murinum,2,15
Juncus inflexus,NEW-OMAR-BA40,Juncus inflexus,2,15
Juncus inflexus,NEW-OMAR-BA81,Juncus inflexus,2,15
Juncus inflexus,NEW-OMAR-BA39,Juncus inflexus,2,15
Juncus inflexus,NEW-OMAR-BA80,Juncus inflexus,2,15
Juncus inflexus,NEW-OMAR-BA85,Juncus inflexus,2,15
Juncus inflexus,NEW-OMAR-BA82,Juncus inflexus,2,15
Dryopteris affinis subsp. affinis,NEW-OMAR-RE28,Dryopteris affinis,1,5
Leontodon gr. taraxacoides,NEW-OMAR-CC23,Leontodon saxatilis,2,15
Leontodon gr. taraxacoides,NEW-OMAR-LF11,Leontodon saxatilis,2,15
Limniris pseudacorus,NEW-OMAR-BA83,Iris pseudacorus,2,15
Linum bienne ,NEW-OMAR-LF52,Linum bienne,2,15
Lolium multiflorum,NEW-OMAR-BA12,Lolium multiflorum,2,15
Lolium multiflorum,NEW-OMAR-BA14,Lolium multiflorum,2,15
Lolium perenne ,NEW-OMAR-BA53,Lolium perenne,2,15
Lolium perenne ,NEW-OMAR-BA14,Lolium perenne,2,15
Lonicera periclymenum,NEW-OMAR-CC87,Lonicera periclymenum,2,15
Lycopus europaeus,NEW-OMAR-BA40,Lycopus europaeus,2,15
Lycopus europaeus,NEW-OMAR-BA84,Lycopus europaeus,2,15
Lythrum salicaria,NEW-OMAR-BA40,Lythrum salicaria,2,15
Lythrum salicaria,NEW-OMAR-BA80,Lythrum salicaria,2,15
Lythrum salicaria,NEW-OMAR-BA82,Lythrum salicaria,2,15
Melampyrum pratense,NEW-OMAR-LNA76,Melampyrum pratense,2,15
Melilotus indicus,NEW-OMAR-PA97,Melilotus indicus,2,15
Mentha aquatica,NEW-OMAR-CO62,Mentha aquatica,2,15
Mentha aquatica,NEW-OMAR-BA84,Mentha aquatica,2,15
Mentha aquatica,NEW-OMAR-BA40,Mentha aquatica,2,15
Mentha aquatica,NEW-OMAR-BA80,Mentha aquatica,2,15
Mercurialis annua,NEW-OMAR-PA35,Mercurialis annua,2,15
Mercurialis annua,NEW-OMAR-BA34,Mercurialis annua,2,15
Ochlopoa annua,NEW-OMAR-BA20,Ochlopoa annua,2,15
Ochlopoa annua,NEW-OMAR-BA108,Ochlopoa annua,2,15
Ochlopoa annua,NEW-OMAR-LF10,Ochlopoa annua,2,15
Oxalis corniculata,NEW-OMAR-BA34,Oxalis corniculata,2,15
Paspalum distichum,NEW-OMAR-BA04,Paspalum distichum,2,15
Persicaria lapathifolia,NEW-OMAR-BA04,Persicaria lapathifolia,2,15
Piptatherum miliaceum ,NEW-OMAR-PA98,Piptatherum miliaceum,2,15
Piptatherum miliaceum ,NEW-OMAR-PA97,Piptatherum miliaceum,2,15
Piptatherum miliaceum ,NEW-OMAR-BA12,Piptatherum miliaceum,2,15
Plantago lanceolata ,NEW-OMAR-LT54,Plantago lanceolata,2,15
Plantago lanceolata ,NEW-OMAR-CC23,Plantago lanceolata,2,15
Plantago lanceolata ,NEW-OMAR-LF11,Plantago lanceolata,2,15
Plantago lanceolata ,NEW-OMAR-BA53,Plantago lanceolata,2,15
Plantago lanceolata ,NEW-OMAR-LF51,Plantago lanceolata,2,15
Plantago major,NEW-OMAR-CC23,Plantago major,2,15
Mentha suaveolens,NEW-OMAR-CA05,Mentha suaveolens,3,3
Poa trivialis,NEW-OMAR-LF09,Poa trivialis,2,15
Polygala vulgaris,NEW-OMAR-CO66,Polygala vulgaris,2,15
Polypogon viridis,NEW-OMAR-BA04,Polypogon viridis,2,15
Medicago sativa ,NEW-OMAR-MO01,Medicago sativa,3,3
Pseudarrhenatherum longifolium,NEW-OMAR-CC88,Pseudarrhenatherum longifolium,2,15
Pseudarrhenatherum longifolium,NEW-OMAR-LC77,Pseudarrhenatherum longifolium,2,15
Pseudarrhenatherum longifolium,NEW-OMAR-CC89,Pseudarrhenatherum longifolium,2,15
Pteridium aquilinum,NEW-OMAR-TU91,Pteridium aquilinum,2,15
Pteridium aquilinum,NEW-OMAR-PA49,Pteridium aquilinum,2,15
Pteridium aquilinum,NEW-OMAR-LNA76,Pteridium aquilinum,2,15
Pteridium aquilinum,NEW-OMAR-PA50,Pteridium aquilinum,2,15
Quercus robur,NEW-OMAR-LNA75,Quercus robur,2,15
Quercus robur,NEW-OMAR-BA33,Quercus robur,2,15
Quercus robur,NEW-OMAR-CC90,Quercus robur,2,15
Rubus caesius,NEW-OMAR-BA81,Rubus caesius,2,15
Rubus caesius,NEW-OMAR-CO63,Rubus caesius,2,15
Dryopteris affinis subsp. affinis,NEW-OMAR-BA18,Dryopteris affinis,1,5
Dryopteris affinis subsp. affinis,NEW-OMAR-LF09,Dryopteris affinis,1,5
Dryopteris affinis subsp. affinis,NEW-OMAR-LNA73,Dryopteris affinis,1,5
Dryopteris affinis subsp. affinis,NEW-OMAR-CC90,Dryopteris affinis,1,5
Dryopteris affinis subsp. affinis,NEW-OMAR-BA19,Dryopteris affinis,2,15
Rubus ulmifolius ,NEW-OMAR-CC88,Rubus ulmifolius,2,15
Rubus ulmifolius ,NEW-OMAR-CC25,Rubus ulmifolius,2,15
Rubus ulmifolius ,NEW-OMAR-PA46,Rubus ulmifolius,2,15
Dryopteris affinis subsp. affinis,NEW-OMAR-CO63,Dryopteris affinis,+,1
Salix atrocinerea,NEW-OMAR-CO62,Salix cinerea subsp. oleifolia,2,15
